gewest;drg_36;drg_beschrijving;mdc_36;soort_drg;klassieke_hospitalisatie;daghospitalisatie
Vlaams Gewest;001;001 Lever- en/of darmtransplantatie;PP;Chirurgisch;118;0
Vlaams Gewest;002;002 Hart- en/of longtransplantatie;PP;Chirurgisch;93;0
Vlaams Gewest;004;004 ECMO of tracheostomie met langdurige mechanische ventilatie met extensieve procedure;PP;Chirurgisch;554;0
Vlaams Gewest;005;005 Tracheostomie met langdurige mechanische ventilatie zonder extensieve procedure;PP;Chirurgisch;621;0
Vlaams Gewest;006;006 Pancreastransplantatie;PP;Chirurgisch;< 5;0
Vlaams Gewest;007;007 Allogene beenmergtransplantatie;PP;Chirurgisch;235;0
Vlaams Gewest;008;008 Autologe beenmergtransplantatie;PP;Chirurgisch;325;0
Vlaams Gewest;009;009 Extracorporele membraanoxygenatie (ECMO);PP;Chirurgisch;18;0
Vlaams Gewest;010;010 Hoofdtrauma met diepe coma;PP;Medisch;26;0
Vlaams Gewest;020;020 Craniotomie voor trauma;01;Chirurgisch;430;< 5
Vlaams Gewest;021;021 Craniotomie behalve voor trauma;01;Chirurgisch;2 931;20
Vlaams Gewest;022;022 Procedures op ventriculaire shunt;01;Chirurgisch;340;< 5
Vlaams Gewest;023;023 Spinale procedures;01;Chirurgisch;807;89
Vlaams Gewest;024;024 Extracraniële vasculaire procedures;01;Chirurgisch;2 899;59
Vlaams Gewest;026;026 Andere procedures op zenuwstelsel en gerelateerde procedures;01;Chirurgisch;1 428;22 349
Vlaams Gewest;040;040 Spinale stoornissen en letsels;01;Medisch;224;46
Vlaams Gewest;041;041 Maligne aandoening van zenuwstelsel;01;Medisch;1 670;297
Vlaams Gewest;042;042 Degeneratieve stoornissen van zenuwstelsel met uitzondering van multipele sclerose;01;Medisch;8 143;222
Vlaams Gewest;043;043 Multipele sclerose en andere demyeliniserende ziekten;01;Medisch;1 746;225
Vlaams Gewest;044;044 Intracraniële hemorragie;01;Medisch;1 905;26
Vlaams Gewest;045;045 CVA en precerebrale occlusie met infarct;01;Medisch;9 184;36
Vlaams Gewest;046;046 Niet gespecifieerde CVA en precerebrale occlusie zonder infarct;01;Medisch;278;52
Vlaams Gewest;047;047 Transitoire cerebrale ischemie (TIA);01;Medisch;4 579;22
Vlaams Gewest;048;048 Stoornissen van perifere, craniale en autonome zenuwen;01;Medisch;1 899;1 867
Vlaams Gewest;049;049 Bacteriële en tuberculeuze infecties van zenuwstelsel;01;Medisch;322;7
Vlaams Gewest;050;050 Niet bacteriële infecties van zenuwstelsel behalve virale meningitis;01;Medisch;571;86
Vlaams Gewest;051;051 Virale meningitis;01;Medisch;354;0
Vlaams Gewest;052;052 Wijziging in bewustzijn;01;Medisch;1 584;24
Vlaams Gewest;053;053 Epileptisch insult;01;Medisch;9 258;207
Vlaams Gewest;054;054 Migraine en andere hoofdpijn;01;Medisch;3 737;177
Vlaams Gewest;055;055 Hoofdtrauma met coma > 1 uur of met hemorragie;01;Medisch;2 136;12
Vlaams Gewest;056;056 Cerebrale contusie/laceratie en gecompliceerde schedelbreuk, met coma < 1 uur of zonder coma;01;Medisch;137;< 5
Vlaams Gewest;057;057 Hersenschud., gesl. schedelbreuk niet aanders gespec., niet gecompl. intracran. letsel, coma < 1u of geen coma;01;Medisch;5 040;44
Vlaams Gewest;058;058 Andere stoornissen van zenuwstelsel;01;Medisch;9 699;1 064
Vlaams Gewest;059;059 Anoxische en andere ernstige hersenschade;01;Medisch;68;13
Vlaams Gewest;073;073 Procedures op oog en orbita;02;Chirurgisch;4 945;90 772
Vlaams Gewest;082;082 Ooginfecties en andere stoornissen van oog;02;Medisch;2 294;2 922
Vlaams Gewest;089;089 Majeure procedures op aangezichts- en schedelbeenderen;03;Chirurgisch;1 215;23 149
Vlaams Gewest;091;091 Andere majeure procedures op hoofd en hals;03;Chirurgisch;546;91
Vlaams Gewest;092;092 Procedures op aangezichtsbeenderen, behalve maj. proc. op aangezichts-/schedelbeenderen;03;Chirurgisch;4 206;21 140
Vlaams Gewest;095;095 Palatoplastie en herstel van hazenlip;03;Chirurgisch;72;26
Vlaams Gewest;097;097 Procedures op tonsillen en adenoïden;03;Chirurgisch;2 879;14 058
Vlaams Gewest;098;098 Andere procedures op oren, neus, mond en keel;03;Chirurgisch;8 419;25 188
Vlaams Gewest;110;110 Maligne aandoeningen van oren, neus, mond, keel, schedel/aangezicht;03;Medisch;571;1 011
Vlaams Gewest;111;111 Vertigo en andere labyrinthstoornissen;03;Medisch;3 856;102
Vlaams Gewest;113;113 Infecties bovenste luchtwegen;03;Medisch;9 550;2 878
Vlaams Gewest;114;114 Dentale en orale ziekten en aandoeningen;03;Medisch;871;92 159
Vlaams Gewest;115;115 Andere diagnoses van oren, neus, mond, keel en schedel/aangezicht;03;Medisch;33 435;11 295
Vlaams Gewest;120;120 Majeure thoracale en respiratoire procedures;04;Chirurgisch;956;< 5
Vlaams Gewest;121;121 Andere respiratoire en thoracale procedures;04;Chirurgisch;2 695;417
Vlaams Gewest;130;130 Diagnose van respiratoire stelsel met kunstmatige beademing 96+uur;04;Medisch;1 436;0
Vlaams Gewest;131;131 Mucoviscidose (cystic fibrosis) - longziekte;04;Medisch;296;32
Vlaams Gewest;132;132 Bronchopulmonale dysplasie en andere chron. resp. ziekten ontstaan in perinatale periode;04;Medisch;79;6
Vlaams Gewest;133;133 Respiratoire insufficiëntie;04;Medisch;1 779;7
Vlaams Gewest;134;134 Longembolie;04;Medisch;3 282;16
Vlaams Gewest;135;135 Majeur thoracaal en respiratoir trauma;04;Medisch;2 339;8
Vlaams Gewest;136;136 Maligne respiratoire aandoening;04;Medisch;3 941;3 187
Vlaams Gewest;137;137 Majeure respiratoire infecties en inflammaties;04;Medisch;4 079;111
Vlaams Gewest;138;138 Bronchiolitis en RSV pneumonie;04;Medisch;10 997;25
Vlaams Gewest;139;139 Andere pneumonie;04;Medisch;26 718;79
Vlaams Gewest;140;140 Chronische obstructieve longaandoening;04;Medisch;11 482;294
Vlaams Gewest;141;141 Astma;04;Medisch;2 147;45
Vlaams Gewest;142;142 Interstitiële en alveolaire longziekte;04;Medisch;1 099;300
Vlaams Gewest;143;143 Andere respiratoire diagnosen behalve tekens, symptomen en mineure diagnosen;04;Medisch;2 762;607
