drg_34;libellé_drg;mdc_34;libellé_mdc;type_de_diagnostic;hospitalisation_classique;hospitalisation_de_jour
1;Transplantation hépatique et/ou intestinale;PP;Pré-MDC;Chirurgical;275;0
2;Transplantation cardiaque et/ou pulmonaire;PP;Pré-MDC;Chirurgical;200;0
3;Transplantation de moelle osseuse;PP;Pré-MDC;Chirurgical;999;< 5
4;Oxygénation par membrane extracorporelle ou trachéostomie avec ventilation mécanique de longue durée et procédure extensive;PP;Pré-MDC;Chirurgical;1539;< 5
5;Trachéostomie avec ventilation mécanique de longue durée sans intervention extensive;PP;Pré-MDC;Chirurgical;338;0
6;Transplantation du pancréas;PP;Pré-MDC;Chirurgical;11;0
20;Craniotomie pour traumatisme;1;Système nerveux;Chirurgical;782;5
21;Craniotomie excepté pour traumatisme;1;Système nerveux;Chirurgical;4966;32
22;Procédures concernant un shunt ventriculaire;1;Système nerveux;Chirurgical;541;< 5
23;Procédures au niveau de la colonne vertébrale et de la moelle épinière;1;Système nerveux;Chirurgical;1436;95
24;Procédures vasculaires extracrâniennes;1;Système nerveux;Chirurgical;5606;95
26;Autres procédures du système nerveux et procédures apparentées;1;Système nerveux;Chirurgical;3147;37564
40;Troubles et lésions de la colonne vertébrale et de la moelle épinière;1;Système nerveux;Médical;471;97
41;Malignité du système nerveux;1;Système nerveux;Médical;3053;383
42;Troubles dégénératifs du système nerveux excepté la sclérose en plaques;1;Système nerveux;Médical;12334;269
43;Sclérose en plaques et autres maladies démyélinisantes;1;Système nerveux;Médical;3452;448
44;Hémorragie intracrânienne;1;Système nerveux;Médical;3243;46
45;Accident vasculaire cérébral et occlusion précérébrale avec infarctus;1;Système nerveux;Médical;15208;65
46;Accident vasculaire cérébral non spécifique et occlusion précérébrale sans infarctus;1;Système nerveux;Médical;593;138
47;Ischémie cérébrale transitoire (TIA);1;Système nerveux;Médical;7616;29
48;Troubles des nerfs crâniens, périphériques et autonomes;1;Système nerveux;Médical;4342;4010
49;Infections bactériennes et tuberculeuses du système nerveux;1;Système nerveux;Médical;705;5
50;Infections non-bactériennes du système nerveux, excepté méningite virale;1;Système nerveux;Médical;1051;63
51;Méningite virale;1;Système nerveux;Médical;1119;< 5
52;Comas et états stuporeux non traumatiques;1;Système nerveux;Médical;2676;36
53;Crise épileptique;1;Système nerveux;Médical;17177;352
54;Migraine et autres céphalées;1;Système nerveux;Médical;6767;329
55;Traumatisme crânien avec coma > 1 h ou hémorragie;1;Système nerveux;Médical;3774;23
56;Contusion ou lacération cérébrale et fracture du crâne compliquée, coma < 1 h ou pas de coma;1;Système nerveux;Médical;326;< 5
57;Contusion, fracture du crâne fermée non autrement spécifiée, lésion intracrânienne non compliquée, coma < 1 h ou pas de coma;1;Système nerveux;Médical;8355;50
58;Autres troubles du système nerveux;1;Système nerveux;Médical;20079;1773
70;Procédures orbitaires;2;Affections des yeux;Chirurgical;571;264
73;Procédures sur  l'œil excepté sur l'orbite;2;Affections des yeux;Chirurgical;10808;149425
80;Infections aiguës majeures de l'œil;2;Affections des yeux;Médical;659;29
82;Troubles oculaires excepté infections majeures;2;Affections des yeux;Médical;2886;2967
89;Procédures majeures sur les os de la face et du crâne;3;Nez, gorge, oreilles;Chirurgical;1914;27175
90;Procédures majeures du larynx et de la trachée;3;Nez, gorge, oreilles;Chirurgical;317;162
91;Autres procédures majeures de la tête et du cou;3;Nez, gorge, oreilles;Chirurgical;739;52
92;Procédures sur les os de la face, excepté procédures majeures des os du crâne ou de la face;3;Nez, gorge, oreilles;Chirurgical;6056;25888
93;Procédures sur sinus et mastoïde;3;Nez, gorge, oreilles;Chirurgical;4768;4134
95;Réparation de la fente labiale et du palais;3;Nez, gorge, oreilles;Chirurgical;159;26
97;Procédures sur amygdales et végétations;3;Nez, gorge, oreilles;Chirurgical;7196;31363
98;Autres procédures sur l'oreille, le nez, la bouche et la gorge;3;Nez, gorge, oreilles;Chirurgical;13420;38596
110;Affections malignes de l'oreille, du nez, de la bouche, de la gorge, du crâne et de la face;3;Nez, gorge, oreilles;Médical;1557;1462
111;Vertige et autres troubles labyrinthiques;3;Nez, gorge, oreilles;Médical;6086;64
113;Infection des voies aériennes supérieures;3;Nez, gorge, oreilles;Médical;23870;880
114;Maladies et lésions dentaires et buccales;3;Nez, gorge, oreilles;Médical;4383;124135
115;Autres diagnostics de l'oreille, du nez, de la bouche, de la gorge, du crâne et de la face;3;Nez, gorge, oreilles;Médical;67850;8685
120;Interventions majeures sur le système respiratoire et le thorax;4;Système respiratoire;Chirurgical;3929;364
121;Autres interventions sur le système respiratoire et le thorax;4;Système respiratoire;Chirurgical;4091;454
130;Affection du système respiratoire avec assistance ventilatoire pendant plus de 96 heures;4;Système respiratoire;Médical;884;0
131;Mucoviscidose (cystic fibrosis) - maladie pulmonaire;4;Système respiratoire;Médical;884;31
132;Dysplasie bronchopulmonaire et autres maladies respiratoires chroniques apparaissant en période périnatale;4;Système respiratoire;Médical;126;5
133;Insuffisance respiratoire;4;Système respiratoire;Médical;1242;6
134;Embolie pulmonaire;4;Système respiratoire;Médical;5616;18
135;Traumatisme majeur thoracique et respiratoire;4;Système respiratoire;Médical;3921;22
136;Affection maligne respiratoire;4;Système respiratoire;Médical;8143;5042
137;Inflammations et infections majeures du système respiratoire;4;Système respiratoire;Médical;8916;198
138;Bronchiolite et pneumonie à virus respiratoire syncytial (RSV);4;Système respiratoire;Médical;12168;28
139;Autre pneumonie;4;Système respiratoire;Médical;33365;150
140;Maladie pulmonaire obstructive chronique;4;Système respiratoire;Médical;32386;870
141;Asthme;4;Système respiratoire;Médical;4990;116
142;Maladie pulmonaire interstitielle et alvéolaire;4;Système respiratoire;Médical;2059;449
143;Autres diagnostics respiratoires excepté les signes, symptômes et diagnostics mineurs;4;Système respiratoire;Médical;5664;1240
144;Signes respiratoires, symptômes et diagnostics mineurs;4;Système respiratoire;Médical;21620;4306
160;Réparation majeure d'anomalie cardiaque par voie cardiothoracique;5;Système circulatoire;Chirurgical;119;0
161;Implantation d'un défibrillateur cardiaque et d'un système d'assistance cardiaque;5;Système circulatoire;Chirurgical;1825;21
162;Procédures sur les valves cardiaques avec infarctus du myocarde aigu ou diagnostic principal complexe;5;Système circulatoire;Chirurgical;562;0
163;Procédures sur les valves cardiaques sans cathétérisme cardiaque ni diagnostic principal complexe;5;Système circulatoire;Chirurgical;3517;0
165;Pontage coronarien avec infarctus aigu du myocarde ou diagnostic principal complexe;5;Système circulatoire;Chirurgical;1108;< 5
166;Pontage coronarien sans infarctus aigu du myocarde ni disgnostic principal complexe;5;Système circulatoire;Chirurgical;4447;0
167;Autres procédures cardiothoraciques et thoracovasculaires;5;Système circulatoire;Chirurgical;3547;207
169;Procédures vasculaires abdominales majeures;5;Système circulatoire;Chirurgical;2235;26
170;Implantation de pacemaker permanent avec infarctus aigu du myocarde, décompensation cardiaque ou choc;5;Système circulatoire;Chirurgical;422;0
171;Implantation de pacemaker permanent sans infarctus aigu du myocarde ni décompensation cardiaque ni choc;5;Système circulatoire;Chirurgical;6959;12
174;Procédures coronariennes percutanées avec infarctus aigu du myocarde;5;Système circulatoire;Chirurgical;9464;536
175;Procédures coronariennes percutanées sans infarctus aigu du myocarde;5;Système circulatoire;Chirurgical;31703;2698
176;Remplacement de pacemaker et de défibrillateur cardiaque;5;Système circulatoire;Chirurgical;2277;383
177;Révision de pacemaker et de défibrillateur cardiaque excepté remplacement d'appareil;5;Système circulatoire;Chirurgical;823;40
180;Autres procédures sur le système circulatoire;5;Système circulatoire;Chirurgical;2728;20194
181;Procédures sur les artères des membres inférieurs;5;Système circulatoire;Chirurgical;18765;1454
182;Autres procédures sur les vaisseaux périphériques;5;Système circulatoire;Chirurgical;4760;4038
190;Infarctus aigu du myocarde;5;Système circulatoire;Médical;7068;681
