drg_34;libellé_drg;mdc_34;libellé_mdc;type_de_diagnostic;hospitalisation_classique;hospitalisation_de_jour
1;Transplantation hépatique et/ou intestinale;PP;Pré-MDC;Chirurgical;311;0
2;Transplantation cardiaque et/ou pulmonaire;PP;Pré-MDC;Chirurgical;185;0
3;Transplantation de moelle osseuse;PP;Pré-MDC;Chirurgical;956;< 5
4;Oxygénation par membrane extracorporelle ou trachéostomie avec ventilation mécanique de longue durée et procédure extensive;PP;Pré-MDC;Chirurgical;1.563;< 5
5;Trachéostomie avec ventilation mécanique de longue durée sans intervention extensive;PP;Pré-MDC;Chirurgical;348;0
6;Transplantation du pancréas;PP;Pré-MDC;Chirurgical;17;0
20;Craniotomie pour traumatisme;1;Système nerveux;Chirurgical;785;7
21;Craniotomie excepté pour traumatisme;1;Système nerveux;Chirurgical;4.906;26
22;Procédures concernant un shunt ventriculaire;1;Système nerveux;Chirurgical;625;< 5
23;Procédures au niveau de la colonne vertébrale et de la moelle épinière;1;Système nerveux;Chirurgical;1.339;81
24;Procédures vasculaires extracrâniennes;1;Système nerveux;Chirurgical;5.343;80
26;Autres procédures du système nerveux et procédures apparentées;1;Système nerveux;Chirurgical;3.223;37.354
40;Troubles et lésions de la colonne vertébrale et de la moelle épinière;1;Système nerveux;Médical;552;94
41;Malignité du système nerveux;1;Système nerveux;Médical;3.100;411
42;Troubles dégénératifs du système nerveux excepté la sclérose en plaques;1;Système nerveux;Médical;12.842;218
43;Sclérose en plaques et autres maladies démyélinisantes;1;Système nerveux;Médical;4.431;492
44;Hémorragie intracrânienne;1;Système nerveux;Médical;3.309;43
45;Accident vasculaire cérébral et occlusion précérébrale avec infarctus;1;Système nerveux;Médical;15.545;58
46;Accident vasculaire cérébral non spécifique et occlusion précérébrale sans infarctus;1;Système nerveux;Médical;612;132
47;Ischémie cérébrale transitoire (TIA);1;Système nerveux;Médical;7.286;36
48;Troubles des nerfs crâniens, périphériques et autonomes;1;Système nerveux;Médical;4.288;3.991
49;Infections bactériennes et tuberculeuses du système nerveux;1;Système nerveux;Médical;717;10
50;Infections non-bactériennes du système nerveux, excepté méningite virale;1;Système nerveux;Médical;1.010;66
51;Méningite virale;1;Système nerveux;Médical;1.191;< 5
52;Comas et états stuporeux non traumatiques;1;Système nerveux;Médical;2.630;52
53;Crise épileptique;1;Système nerveux;Médical;17.266;379
54;Migraine et autres céphalées;1;Système nerveux;Médical;6.524;332
55;Traumatisme crânien avec coma > 1 h ou hémorragie;1;Système nerveux;Médical;3.687;14
56;Contusion ou lacération cérébrale et fracture du crâne compliquée, coma < 1 h ou pas de coma;1;Système nerveux;Médical;300;< 5
57;Contusion, fracture du crâne fermée non autrement spécifiée, lésion intracrânienne non compliquée, coma < 1 h ou pas de coma;1;Système nerveux;Médical;8.825;40
58;Autres troubles du système nerveux;1;Système nerveux;Médical;20.323;1.565
70;Procédures orbitaires;2;Affections des yeux;Chirurgical;543;440
73;Procédures sur  l'œil excepté sur l'orbite;2;Affections des yeux;Chirurgical;10.337;145.158
80;Infections aiguës majeures de l'œil;2;Affections des yeux;Médical;626;17
82;Troubles oculaires excepté infections majeures;2;Affections des yeux;Médical;2.984;2.993
89;Procédures majeures sur les os de la face et du crâne;3;Nez, gorge, oreilles;Chirurgical;1.968;25.133
90;Procédures majeures du larynx et de la trachée;3;Nez, gorge, oreilles;Chirurgical;364;140
91;Autres procédures majeures de la tête et du cou;3;Nez, gorge, oreilles;Chirurgical;661;56
92;Procédures sur les os de la face, excepté procédures majeures des os du crâne ou de la face;3;Nez, gorge, oreilles;Chirurgical;5.395;23.110
93;Procédures sur sinus et mastoïde;3;Nez, gorge, oreilles;Chirurgical;4.787;3.863
95;Réparation de la fente labiale et du palais;3;Nez, gorge, oreilles;Chirurgical;166;19
97;Procédures sur amygdales et végétations;3;Nez, gorge, oreilles;Chirurgical;7.584;31.348
98;Autres procédures sur l'oreille, le nez, la bouche et la gorge;3;Nez, gorge, oreilles;Chirurgical;13.430;37.652
110;Affections malignes de l'oreille, du nez, de la bouche, de la gorge, du crâne et de la face;3;Nez, gorge, oreilles;Médical;1.593;1.486
111;Vertige et autres troubles labyrinthiques;3;Nez, gorge, oreilles;Médical;5.791;64
113;Infection des voies aériennes supérieures;3;Nez, gorge, oreilles;Médical;23.633;907
114;Maladies et lésions dentaires et buccales;3;Nez, gorge, oreilles;Médical;4.424;119.410
115;Autres diagnostics de l'oreille, du nez, de la bouche, de la gorge, du crâne et de la face;3;Nez, gorge, oreilles;Médical;63.276;8.057
120;Interventions majeures sur le système respiratoire et le thorax;4;Système respiratoire;Chirurgical;3.606;291
121;Autres interventions sur le système respiratoire et le thorax;4;Système respiratoire;Chirurgical;3.971;415
130;Affection du système respiratoire avec assistance ventilatoire pendant plus de 96 heures;4;Système respiratoire;Médical;985;0
131;Mucoviscidose (cystic fibrosis) - maladie pulmonaire;4;Système respiratoire;Médical;877;35
132;Dysplasie bronchopulmonaire et autres maladies respiratoires chroniques apparaissant en période périnatale;4;Système respiratoire;Médical;116;7
133;Insuffisance respiratoire;4;Système respiratoire;Médical;1.097;9
134;Embolie pulmonaire;4;Système respiratoire;Médical;5.456;19
135;Traumatisme majeur thoracique et respiratoire;4;Système respiratoire;Médical;3.916;13
