code;beschrijving;medisch_of_chirurgicsh;mdc;soort_hospitalisatie;aantal_verblijven
001;Levertransplantatie;Chirurgisch;p1;Klass. hosp;233
002;Hart en/of longtransplantatie;Chirurgisch;p4;Klass. hosp;153
003;Beenmergtransplantatie;Chirurgisch;p2;Klass. hosp;793
003;Beenmergtransplantatie;Chirurgisch;p2;Daghosp.;4
004;Tracheostomie behalve voor aandoeningen van gelaat, mond en hals;Chirurgisch;p3;Klass. hosp;2575
004;Tracheostomie behalve voor aandoeningen van gelaat, mond en hals;Chirurgisch;p3;Daghosp.;4
005;Tracheostomie voor aandoeningen van gelaat, mond en hals;Chirurgisch;p3;Klass. hosp;470
020;Craniotomie na trauma;Chirurgisch;01;Klass. hosp;876
020;Craniotomie na trauma;Chirurgisch;01;Daghosp.;4
021;Craniotomie behalve na trauma;Chirurgisch;01;Klass. hosp;4627
021;Craniotomie behalve na trauma;Chirurgisch;01;Daghosp.;24
022;Ingrepen op ventriculaire shunt;Chirurgisch;01;Klass. hosp;702
022;Ingrepen op ventriculaire shunt;Chirurgisch;01;Daghosp.;4
023;Ingrepen op de wervelzuil en het ruggemerg;Chirurgisch;01;Klass. hosp;1526
023;Ingrepen op de wervelzuil en het ruggemerg;Chirurgisch;01;Daghosp.;79
024;Ingrepen op extracraniale bloedvaten;Chirurgisch;01;Klass. hosp;4311
024;Ingrepen op extracraniale bloedvaten;Chirurgisch;01;Daghosp.;34
025;Ingrepen op neurologisch systeem voor perifere zenuwaandoeningen;Chirurgisch;01;Klass. hosp;2830
025;Ingrepen op neurologisch systeem voor perifere zenuwaandoeningen;Chirurgisch;01;Daghosp.;31077
026;Ingrepen op neurologisch systeem voor craniale zenuwen en overige neurologisch systeem aandoening;Chirurgisch;01;Klass. hosp;1717
026;Ingrepen op neurologisch systeem voor craniale zenuwen en overige neurologisch systeem aandoening;Chirurgisch;01;Daghosp.;242
040;Aandoeningen en letsels van de wervelzuil en het ruggemerg;Medisch;01;Klass. hosp;612
040;Aandoeningen en letsels van de wervelzuil en het ruggemerg;Medisch;01;Daghosp.;592
041;Nieuwvormingen van het zenuwstelsel;Medisch;01;Klass. hosp;3261
041;Nieuwvormingen van het zenuwstelsel;Medisch;01;Daghosp.;199
042;Degeneratieve aandoeningen van het zenuwstelsel;Medisch;01;Klass. hosp;13163
042;Degeneratieve aandoeningen van het zenuwstelsel;Medisch;01;Daghosp.;150
043;Multipel sclerose en cerebellaire ataxie;Medisch;01;Klass. hosp;2913
043;Multipel sclerose en cerebellaire ataxie;Medisch;01;Daghosp.;413
044;Intracraniale hemorragie;Medisch;01;Klass. hosp;3271
044;Intracraniale hemorragie;Medisch;01;Daghosp.;35
045;CVA met herseninfarct;Medisch;01;Klass. hosp;15308
045;CVA met herseninfarct;Medisch;01;Daghosp.;10
046;Niet gespecificeerde CVA en precerebrale occlusie zonder herseninfarct;Medisch;01;Klass. hosp;1697
046;Niet gespecificeerde CVA en precerebrale occlusie zonder herseninfarct;Medisch;01;Daghosp.;205
047;TIA;Medisch;01;Klass. hosp;7655
047;TIA;Medisch;01;Daghosp.;88
048;Aandoeningen van de craniale en perifere zenuwen;Medisch;01;Klass. hosp;5175
048;Aandoeningen van de craniale en perifere zenuwen;Medisch;01;Daghosp.;9237
