code;beschrijving;medisch_of_chirurgisch;mdc;soort_hospitalisatie;aantal_verblijven
001;Lever- en/of darmtransplantatie;Chirurgisch;PP;Klass. hosp;295
002;Hart- en/of longtransplantatie;Chirurgisch;PP;Klass. hosp;213
003;Beenmergtransplantatie;Chirurgisch;PP;Klass. hosp;947
003;Beenmergtransplantatie;Chirurgisch;PP;Daghosp.;6
004;Extracorporele membraanoxygenatie of tracheostomie met langdurige mechanische ventilatie met extensieve procedure;Chirurgisch;PP;Klass. hosp;1528
004;Extracorporele membraanoxygenatie of tracheostomie met langdurige mechanische ventilatie met extensieve procedure;Chirurgisch;PP;Daghosp.;1
005;Tracheostomie met langdurige mechanische ventilatie zonder extensieve procedure;Chirurgisch;PP;Klass. hosp;357
006;Pancreastransplantatie;Chirurgisch;PP;Klass. hosp;11
020;Craniotomie voor trauma;Chirurgisch;01;Klass. hosp;819
020;Craniotomie voor trauma;Chirurgisch;01;Daghosp.;3
021;Craniotomie behalve voor trauma;Chirurgisch;01;Klass. hosp;4968
021;Craniotomie behalve voor trauma;Chirurgisch;01;Daghosp.;31
022;Procedures op een ventriculaire shunt;Chirurgisch;01;Klass. hosp;550
022;Procedures op een ventriculaire shunt;Chirurgisch;01;Daghosp.;1
023;Spinale procedures;Chirurgisch;01;Klass. hosp;1530
023;Spinale procedures;Chirurgisch;01;Daghosp.;140
024;Extracraniale vasculaire procedures;Chirurgisch;01;Klass. hosp;5134
024;Extracraniale vasculaire procedures;Chirurgisch;01;Daghosp.;83
026;Andere procedures op het zenuwstelsel en gerelateerde procedures;Chirurgisch;01;Klass. hosp;3491
026;Andere procedures op het zenuwstelsel en gerelateerde procedures;Chirurgisch;01;Daghosp.;37290
040;Spinale stoornissen en letsels;Medisch;01;Klass. hosp;667
040;Spinale stoornissen en letsels;Medisch;01;Daghosp.;88
041;Maligniteit van het zenuwstelsel;Medisch;01;Klass. hosp;3103
041;Maligniteit van het zenuwstelsel;Medisch;01;Daghosp.;323
042;Degeneratieve stoornissen van het zenuwstelsel met uitzondering van multipele sclerose;Medisch;01;Klass. hosp;13477
042;Degeneratieve stoornissen van het zenuwstelsel met uitzondering van multipele sclerose;Medisch;01;Daghosp.;170
043;Multipele sclerose en andere demyeliniserende ziekten;Medisch;01;Klass. hosp;4120
043;Multipele sclerose en andere demyeliniserende ziekten;Medisch;01;Daghosp.;325
044;Intracraniële hemorragie;Medisch;01;Klass. hosp;3586
044;Intracraniële hemorragie;Medisch;01;Daghosp.;48
045;CVA en precerebrale occlusie met infarct;Medisch;01;Klass. hosp;15443
045;CVA en precerebrale occlusie met infarct;Medisch;01;Daghosp.;37
046;Niet specifieke CVA en precerebrale occlusie zonder infarct;Medisch;01;Klass. hosp;741
046;Niet specifieke CVA en precerebrale occlusie zonder infarct;Medisch;01;Daghosp.;97
047;Transitoire cerebrale ischemie (TIA);Medisch;01;Klass. hosp;8000
047;Transitoire cerebrale ischemie (TIA);Medisch;01;Daghosp.;24
048;Stoornissen van de perifere, craniale en autonome zenuwen;Medisch;01;Klass. hosp;4276
048;Stoornissen van de perifere, craniale en autonome zenuwen;Medisch;01;Daghosp.;5558
049;Bacteriële en tuberculeuze infecties van het zenuwstelsel;Medisch;01;Klass. hosp;688
049;Bacteriële en tuberculeuze infecties van het zenuwstelsel;Medisch;01;Daghosp.;7
050;Niet bacteriële infecties van het zenuwstelsel behalve virale meningitis;Medisch;01;Klass. hosp;953
050;Niet bacteriële infecties van het zenuwstelsel behalve virale meningitis;Medisch;01;Daghosp.;40
051;Virale meningitis;Medisch;01;Klass. hosp;1632
051;Virale meningitis;Medisch;01;Daghosp.;6
052;Niet-traumatische stupor en coma;Medisch;01;Klass. hosp;2604
052;Niet-traumatische stupor en coma;Medisch;01;Daghosp.;46
053;Epileptisch insult;Medisch;01;Klass. hosp;16857
053;Epileptisch insult;Medisch;01;Daghosp.;338
054;Migraine en andere hoofdpijn;Medisch;01;Klass. hosp;6933
054;Migraine en andere hoofdpijn;Medisch;01;Daghosp.;342
055;Hoofdtrauma met coma > 1 uur of met hemorragie;Medisch;01;Klass. hosp;3311
055;Hoofdtrauma met coma > 1 uur of met hemorragie;Medisch;01;Daghosp.;14
056;Cerebrale contusie/laceratie en gecompliceerde schedelbreuk, met coma < 1 uur of zonder coma;Medisch;01;Klass. hosp;349
057;Hersenschudding, gesloten schedelbreuk niet anders gespecificeerd, niet gecompliceerd intracraniaal letsel, coma < 1 uur of geen coma;Medisch;01;Klass. hosp;9320
057;Hersenschudding, gesloten schedelbreuk niet anders gespecificeerd, niet gecompliceerd intracraniaal letsel, coma < 1 uur of geen coma;Medisch;01;Daghosp.;33
058;Andere stoornissen van het zenuwstelsel;Medisch;01;Klass. hosp;20588
058;Andere stoornissen van het zenuwstelsel;Medisch;01;Daghosp.;1591
070;Procedures op de orbita;Chirurgisch;02;Klass. hosp;574
070;Procedures op de orbita;Chirurgisch;02;Daghosp.;275
073;Procedures op het oog behalve op de orbita;Chirurgisch;02;Klass. hosp;11151
073;Procedures op het oog behalve op de orbita;Chirurgisch;02;Daghosp.;143666
080;Acute majeure ooginfecties;Medisch;02;Klass. hosp;680
080;Acute majeure ooginfecties;Medisch;02;Daghosp.;17
082;Oogstoornissen behalve majeure infecties;Medisch;02;Klass. hosp;3002
082;Oogstoornissen behalve majeure infecties;Medisch;02;Daghosp.;4020
089;Majeure procedures op aangezichts- en schedelbeenderen;Chirurgisch;03;Klass. hosp;1993
089;Majeure procedures op aangezichts- en schedelbeenderen;Chirurgisch;03;Daghosp.;21823
090;Majeure procedures op larynx en trachea;Chirurgisch;03;Klass. hosp;313
090;Majeure procedures op larynx en trachea;Chirurgisch;03;Daghosp.;144
091;Andere majeure procedures op hoofd en hals;Chirurgisch;03;Klass. hosp;685
091;Andere majeure procedures op hoofd en hals;Chirurgisch;03;Daghosp.;53
092;Procedures op aangezichtsbeenderen, behalve majeure procedures op aangezichts- en schedelbeenderen;Chirurgisch;03;Klass. hosp;4819
092;Procedures op aangezichtsbeenderen, behalve majeure procedures op aangezichts- en schedelbeenderen;Chirurgisch;03;Daghosp.;20870
093;Procedures op sinussen en mastoïd;Chirurgisch;03;Klass. hosp;5450
093;Procedures op sinussen en mastoïd;Chirurgisch;03;Daghosp.;3251
095;Palatoplastie en herstel van hazelip;Chirurgisch;03;Klass. hosp;186
095;Palatoplastie en herstel van hazelip;Chirurgisch;03;Daghosp.;24
097;Procedures op tonsillen en adenoïden;Chirurgisch;03;Klass. hosp;7964
097;Procedures op tonsillen en adenoïden;Chirurgisch;03;Daghosp.;33442
098;Andere procedures op oren, neus, mond en keel;Chirurgisch;03;Klass. hosp;14154
098;Andere procedures op oren, neus, mond en keel;Chirurgisch;03;Daghosp.;37329
110;Maligne aandoeningen van oren, neus, mond, keel, schedel/aangezicht;Medisch;03;Klass. hosp;1718
110;Maligne aandoeningen van oren, neus, mond, keel, schedel/aangezicht;Medisch;03;Daghosp.;1474
111;Vertigo en andere labyrintstoornissen;Medisch;03;Klass. hosp;5928
111;Vertigo en andere labyrintstoornissen;Medisch;03;Daghosp.;46
113;Infecties bovenste luchtwegen;Medisch;03;Klass. hosp;20067
113;Infecties bovenste luchtwegen;Medisch;03;Daghosp.;974
114;Dentale en orale ziekten en letsels;Medisch;03;Klass. hosp;4543
114;Dentale en orale ziekten en letsels;Medisch;03;Daghosp.;116531
115;Andere diagnosen van oren, neus, mond, keel en schedel/aangezicht;Medisch;03;Klass. hosp;57674
115;Andere diagnosen van oren, neus, mond, keel en schedel/aangezicht;Medisch;03;Daghosp.;7349
120;Majeure thoracale en respiratoire procedures;Chirurgisch;04;Klass. hosp;3177
120;Majeure thoracale en respiratoire procedures;Chirurgisch;04;Daghosp.;214
121;Andere respiratoire en thoracale procedures;Chirurgisch;04;Klass. hosp;3952
