code;beschrijving;medisch_of_chirurgicsh;mdc;soort_hospitalisatie;aantal_verblijven
001;Lever- en/of darmtransplantatie;Chirurgisch;PP;Klass. hosp;273
002;Hart- en/of longtransplantatie;Chirurgisch;PP;Klass. hosp;206
003;Beenmergtransplantatie;Chirurgisch;PP;Klass. hosp;941
003;Beenmergtransplantatie;Chirurgisch;PP;Daghosp.;10
004;ECMO of tracheostomie met langdurige mechanische ventilatie met extensieve procedure;Chirurgisch;PP;Klass. hosp;1284
005;Tracheostomie met langdurige mechanische ventilatie zonder extensieve procedure;Chirurgisch;PP;Klass. hosp;818
006;Pancreastransplantatie;Chirurgisch;PP;Klass. hosp;11
020;Craniotomie voor trauma;Chirurgisch;01;Klass. hosp;878
020;Craniotomie voor trauma;Chirurgisch;01;Daghosp.;2
021;Craniotomie behalve voor trauma;Chirurgisch;01;Klass. hosp;3996
021;Craniotomie behalve voor trauma;Chirurgisch;01;Daghosp.;15
022;Procedures op een ventriculaire shunt;Chirurgisch;01;Klass. hosp;1014
022;Procedures op een ventriculaire shunt;Chirurgisch;01;Daghosp.;15
023;Spinale procedures;Chirurgisch;01;Klass. hosp;1869
023;Spinale procedures;Chirurgisch;01;Daghosp.;112
024;Extracraniale vasculaire procedures;Chirurgisch;01;Klass. hosp;4820
024;Extracraniale vasculaire procedures;Chirurgisch;01;Daghosp.;42
026;Andere procedures op het zenuwstelsel en gerelateerde procedures;Chirurgisch;01;Klass. hosp;3685
026;Andere procedures op het zenuwstelsel en gerelateerde procedures;Chirurgisch;01;Daghosp.;34929
040;Spinale stoornissen en letsels;Medisch;01;Klass. hosp;478
040;Spinale stoornissen en letsels;Medisch;01;Daghosp.;51
041;Maligniteit van het zenuwstelsel;Medisch;01;Klass. hosp;3143
041;Maligniteit van het zenuwstelsel;Medisch;01;Daghosp.;430
042;Degeneratieve stoornissen van het zenuwstelsel met uitzondering van multipele sclerose;Medisch;01;Klass. hosp;12729
042;Degeneratieve stoornissen van het zenuwstelsel met uitzondering van multipele sclerose;Medisch;01;Daghosp.;152
043;Multipele sclerose en andere demyeliniserende ziekten;Medisch;01;Klass. hosp;3400
043;Multipele sclerose en andere demyeliniserende ziekten;Medisch;01;Daghosp.;479
044;Intracraniële hemorragie;Medisch;01;Klass. hosp;3300
044;Intracraniële hemorragie;Medisch;01;Daghosp.;42
045;CVA en precerebrale occlusie met infarct;Medisch;01;Klass. hosp;15602
045;CVA en precerebrale occlusie met infarct;Medisch;01;Daghosp.;18
046;Niet specifieke CVA en precerebrale occlusie zonder infarct;Medisch;01;Klass. hosp;1114
046;Niet specifieke CVA en precerebrale occlusie zonder infarct;Medisch;01;Daghosp.;92
047;Transitoire (cerebrale) ischemie (TIA);Medisch;01;Klass. hosp;7170
047;Transitoire (cerebrale) ischemie (TIA);Medisch;01;Daghosp.;49
048;Stoornissen van de perifere, craniale en autonome zenuwen;Medisch;01;Klass. hosp;4131
048;Stoornissen van de perifere, craniale en autonome zenuwen;Medisch;01;Daghosp.;9790
049;Bacteriele en tuberculeuze infecties van het zenuwstelsel;Medisch;01;Klass. hosp;726
049;Bacteriele en tuberculeuze infecties van het zenuwstelsel;Medisch;01;Daghosp.;9
050;Niet bacteriele infecties van het zenuwstelsel behalve virale meningitis;Medisch;01;Klass. hosp;745
050;Niet bacteriele infecties van het zenuwstelsel behalve virale meningitis;Medisch;01;Daghosp.;67
051;Virale meningitis;Medisch;01;Klass. hosp;1347
051;Virale meningitis;Medisch;01;Daghosp.;1
052;Niet-traumatische stupor en coma;Medisch;01;Klass. hosp;2859
052;Niet-traumatische stupor en coma;Medisch;01;Daghosp.;45
053;Epileptisch insult;Medisch;01;Klass. hosp;15506
053;Epileptisch insult;Medisch;01;Daghosp.;309
054;Migraine en andere hoofdpijn;Medisch;01;Klass. hosp;5940
054;Migraine en andere hoofdpijn;Medisch;01;Daghosp.;661
055;Hoofdtrauma met coma > 1 uur of met hemorragie;Medisch;01;Klass. hosp;2875
055;Hoofdtrauma met coma > 1 uur of met hemorragie;Medisch;01;Daghosp.;11
056;Cerebrale contusie/laceratie en gecompliceerde schedelbreuk, met coma < 1 uur of zonder coma;Medisch;01;Klass. hosp;878
056;Cerebrale contusie/laceratie en gecompliceerde schedelbreuk, met coma < 1 uur of zonder coma;Medisch;01;Daghosp.;5
057;Hersenschudding, gesloten schedelbreuk niet anders gespecificeerd, niet gecompliceerd intracraniaal letsel, coma < 1 uur of geen coma;Medisch;01;Klass. hosp;9790
057;Hersenschudding, gesloten schedelbreuk niet anders gespecificeerd, niet gecompliceerd intracraniaal letsel, coma < 1 uur of geen coma;Medisch;01;Daghosp.;48
058;Andere stoornissen van het zenuwstelsel;Medisch;01;Klass. hosp;15880
058;Andere stoornissen van het zenuwstelsel;Medisch;01;Daghosp.;1675
070;Procedures op de orbita;Chirurgisch;02;Klass. hosp;598
070;Procedures op de orbita;Chirurgisch;02;Daghosp.;164
073;Procedures op het oog behalve op de orbita;Chirurgisch;02;Klass. hosp;12109
073;Procedures op het oog behalve op de orbita;Chirurgisch;02;Daghosp.;131292
080;Acute majeure ooginfecties;Medisch;02;Klass. hosp;712
