drg_34;drg_beschrijving;mdc_34;mdc_beschrijving;soort_diagnose;klassieke_hospitalisatie;daghospitalisatie
1;Lever- en/of darmtransplantatie;PP;Pre-MDC;Chirurgisch;311;0
2;Hart- en/of longtransplantatie;PP;Pre-MDC;Chirurgisch;185;0
3;Beenmergtransplantatie;PP;Pre-MDC;Chirurgisch;956;< 5
4;Extracorporele membraanoxygenatie of tracheostomie met langdurige mechanische ventilatie met extensieve procedure;PP;Pre-MDC;Chirurgisch;1.563;< 5
5;Tracheostomie met langdurige mechanische ventilatie zonder extensieve procedure;PP;Pre-MDC;Chirurgisch;348;0
6;Pancreastransplantatie;PP;Pre-MDC;Chirurgisch;17;0
20;Craniotomie voor trauma;1;Zenuwstelsel;Chirurgisch;785;7
21;Craniotomie behalve voor trauma;1;Zenuwstelsel;Chirurgisch;4.906;26
22;Procedures op een ventriculaire shunt;1;Zenuwstelsel;Chirurgisch;625;< 5
23;Spinale procedures;1;Zenuwstelsel;Chirurgisch;1.339;81
24;Extracraniale vasculaire procedures;1;Zenuwstelsel;Chirurgisch;5.343;80
26;Andere procedures op het zenuwstelsel en gerelateerde procedures;1;Zenuwstelsel;Chirurgisch;3.223;37.354
40;Spinale stoornissen en letsels;1;Zenuwstelsel;Medisch;552;94
41;Maligniteit van het zenuwstelsel;1;Zenuwstelsel;Medisch;3.100;411
42;Degeneratieve stoornissen van het zenuwstelsel met uitzondering van multipele sclerose;1;Zenuwstelsel;Medisch;12.842;218
43;Multipele sclerose en andere demyeliniserende ziekten;1;Zenuwstelsel;Medisch;4.431;492
44;Intracraniële hemorragie;1;Zenuwstelsel;Medisch;3.309;43
45;CVA en precerebrale occlusie met infarct;1;Zenuwstelsel;Medisch;15.545;58
46;Niet specifieke CVA en precerebrale occlusie zonder infarct;1;Zenuwstelsel;Medisch;612;132
47;Transitoire cerebrale ischemie (TIA);1;Zenuwstelsel;Medisch;7.286;36
48;Stoornissen van de perifere, craniale en autonome zenuwen;1;Zenuwstelsel;Medisch;4.288;3.991
49;Bacteriële en tuberculeuze infecties van het zenuwstelsel;1;Zenuwstelsel;Medisch;717;10
50;Niet bacteriële infecties van het zenuwstelsel behalve virale meningitis;1;Zenuwstelsel;Medisch;1.010;66
51;Virale meningitis;1;Zenuwstelsel;Medisch;1.191;< 5
52;Niet-traumatische stupor en coma;1;Zenuwstelsel;Medisch;2.630;52
53;Epileptisch insult;1;Zenuwstelsel;Medisch;17.266;379
54;Migraine en andere hoofdpijn;1;Zenuwstelsel;Medisch;6.524;332
55;Hoofdtrauma met coma > 1 uur of met hemorragie;1;Zenuwstelsel;Medisch;3.687;14
56;Cerebrale contusie/laceratie en gecompliceerde schedelbreuk, met coma < 1 uur of zonder coma;1;Zenuwstelsel;Medisch;300;< 5
57;Hersenschudding, gesloten schedelbreuk niet anders gespecificeerd, niet gecompliceerd intracraniaal letsel, coma < 1 uur of geen coma;1;Zenuwstelsel;Medisch;8.825;40
58;Andere stoornissen van het zenuwstelsel;1;Zenuwstelsel;Medisch;20.323;1.565
70;Procedures op de orbita;2;Oogaandoeningen;Chirurgisch;543;440
73;Procedures op het oog behalve op de orbita;2;Oogaandoeningen;Chirurgisch;10.337;145.158
80;Acute majeure ooginfecties;2;Oogaandoeningen;Medisch;626;17
82;Oogstoornissen behalve majeure infecties;2;Oogaandoeningen;Medisch;2.984;2.993
89;Majeure procedures op aangezichts- en schedelbeenderen;3;Neus, keel en oren;Chirurgisch;1.968;25.133
90;Majeure procedures op larynx en trachea;3;Neus, keel en oren;Chirurgisch;364;140
91;Andere majeure procedures op hoofd en hals;3;Neus, keel en oren;Chirurgisch;661;56
92;Procedures op aangezichtsbeenderen, behalve majeure procedures op aangezichts- en schedelbeenderen;3;Neus, keel en oren;Chirurgisch;5.395;23.110
