région;drg_34;libellé_drg;mdc_34;type_de_diagnostic;hospitalisation_classique;hospitalisation_de_jour
Région flamande;1;Transplantation hépatique et/ou intestinale;PP;Chirurgical;120;0
Région flamande;2;Transplantation cardiaque et/ou pulmonaire;PP;Chirurgical;118;0
Région flamande;3;Transplantation de moelle osseuse;PP;Chirurgical;619;< 5
Région flamande;4;Oxygénation par membrane extracorporelle ou trachéostomie avec ventilation mécanique de longue durée et procédure extensive;PP;Chirurgical;851;< 5
Région flamande;5;Trachéostomie avec ventilation mécanique de longue durée sans intervention extensive;PP;Chirurgical;198;0
Région flamande;6;Transplantation du pancréas;PP;Chirurgical;6;0
Région flamande;20;Craniotomie pour traumatisme;1;Chirurgical;394;< 5
Région flamande;21;Craniotomie excepté pour traumatisme;1;Chirurgical;2816;19
Région flamande;22;Procédures concernant un shunt ventriculaire;1;Chirurgical;298;< 5
Région flamande;23;Procédures au niveau de la colonne vertébrale et de la moelle épinière;1;Chirurgical;970;78
Région flamande;24;Procédures vasculaires extracrâniennes;1;Chirurgical;3090;61
Région flamande;26;Autres procédures du système nerveux et procédures apparentées;1;Chirurgical;1773;22143
Région flamande;40;Troubles et lésions de la colonne vertébrale et de la moelle épinière;1;Médical;271;50
Région flamande;41;Malignité du système nerveux;1;Médical;1850;243
Région flamande;42;Troubles dégénératifs du système nerveux excepté la sclérose en plaques;1;Médical;7350;142
Région flamande;43;Sclérose en plaques et autres maladies démyélinisantes;1;Médical;2204;189
Région flamande;44;Hémorragie intracrânienne;1;Médical;1877;27
Région flamande;45;Accident vasculaire cérébral et occlusion précérébrale avec infarctus;1;Médical;9354;18
Région flamande;46;Accident vasculaire cérébral non spécifique et occlusion précérébrale sans infarctus;1;Médical;297;58
Région flamande;47;Ischémie cérébrale transitoire (TIA);1;Médical;5140;10
Région flamande;48;Troubles des nerfs crâniens, périphériques et autonomes;1;Médical;2561;1630
Région flamande;49;Infections bactériennes et tuberculeuses du système nerveux;1;Médical;379;< 5
Région flamande;50;Infections non-bactériennes du système nerveux, excepté méningite virale;1;Médical;617;50
Région flamande;51;Méningite virale;1;Médical;647;< 5
Région flamande;52;Comas et états stuporeux non traumatiques;1;Médical;1718;18
Région flamande;53;Crise épileptique;1;Médical;9549;186
Région flamande;54;Migraine et autres céphalées;1;Médical;4600;186
Région flamande;55;Traumatisme crânien avec coma > 1 h ou hémorragie;1;Médical;2171;10
Région flamande;56;Contusion ou lacération cérébrale et fracture du crâne compliquée, coma < 1 h ou pas de coma;1;Médical;198;< 5
Région flamande;57;Contusion, fracture du crâne fermée non autrement spécifiée, lésion intracrânienne non compliquée, coma < 1 h ou pas de coma;1;Médical;5401;29
Région flamande;58;Autres troubles du système nerveux;1;Médical;10255;1071
Région flamande;70;Procédures orbitaires;2;Chirurgical;279;118
Région flamande;73;Procédures sur  l'œil excepté sur l'orbite;2;Chirurgical;6325;90347
