région;drg_34;libellé_drg;mdc_34;type_de_diagnostic;hospitalisation_classique;hospitalisation_de_jour
Région flamande;1;Transplantation hépatique et/ou intestinale;PP;Chirurgical;125;0
Région flamande;2;Transplantation cardiaque et/ou pulmonaire;PP;Chirurgical;107;0
Région flamande;3;Transplantation de moelle osseuse;PP;Chirurgical;540;0
Région flamande;4;Oxygénation par membrane extracorporelle ou trachéostomie avec ventilation mécanique de longue durée et procédure extensive;PP;Chirurgical;806;< 5
Région flamande;5;Trachéostomie avec ventilation mécanique de longue durée sans intervention extensive;PP;Chirurgical;183;0
Région flamande;6;Transplantation du pancréas;PP;Chirurgical;5;0
Région flamande;20;Craniotomie pour traumatisme;1;Chirurgical;436;< 5
Région flamande;21;Craniotomie excepté pour traumatisme;1;Chirurgical;2.681;17
Région flamande;22;Procédures concernant un shunt ventriculaire;1;Chirurgical;301;0
Région flamande;23;Procédures au niveau de la colonne vertébrale et de la moelle épinière;1;Chirurgical;1.055;89
Région flamande;24;Procédures vasculaires extracrâniennes;1;Chirurgical;2.874;45
Région flamande;26;Autres procédures du système nerveux et procédures apparentées;1;Chirurgical;1.953;21.786
Région flamande;40;Troubles et lésions de la colonne vertébrale et de la moelle épinière;1;Médical;359;34
Région flamande;41;Malignité du système nerveux;1;Médical;1.864;233
Région flamande;42;Troubles dégénératifs du système nerveux excepté la sclérose en plaques;1;Médical;7.887;95
Région flamande;43;Sclérose en plaques et autres maladies démyélinisantes;1;Médical;2.859;144
Région flamande;44;Hémorragie intracrânienne;1;Médical;2.063;21
Région flamande;45;Accident vasculaire cérébral et occlusion précérébrale avec infarctus;1;Médical;9.377;29
Région flamande;46;Accident vasculaire cérébral non spécifique et occlusion précérébrale sans infarctus;1;Médical;328;42
Région flamande;47;Ischémie cérébrale transitoire (TIA);1;Médical;5.042;27
Région flamande;48;Troubles des nerfs crâniens, périphériques et autonomes;1;Médical;2.607;3.289
Région flamande;49;Infections bactériennes et tuberculeuses du système nerveux;1;Médical;441;< 5
Région flamande;50;Infections non-bactériennes du système nerveux, excepté méningite virale;1;Médical;586;38
Région flamande;51;Méningite virale;1;Médical;820;0
Région flamande;52;Comas et états stuporeux non traumatiques;1;Médical;1.537;18
Région flamande;53;Crise épileptique;1;Médical;9.299;183
Région flamande;54;Migraine et autres céphalées;1;Médical;4.479;188
Région flamande;55;Traumatisme crânien avec coma > 1 h ou hémorragie;1;Médical;1.874;7
Région flamande;56;Contusion ou lacération cérébrale et fracture du crâne compliquée, coma < 1 h ou pas de coma;1;Médical;170;0
Région flamande;57;Contusion, fracture du crâne fermée non autrement spécifiée, lésion intracrânienne non compliquée, coma < 1 h ou pas de coma;1;Médical;6.085;28
Région flamande;58;Autres troubles du système nerveux;1;Médical;11.136;807
Région flamande;70;Procédures orbitaires;2;Chirurgical;256;148
Région flamande;73;Procédures sur  l'œil excepté sur l'orbite;2;Chirurgical;6.168;85.268
Région flamande;80;Infections aiguës majeures de l'œil;2;Médical;416;10
Région flamande;82;Troubles oculaires excepté infections majeures;2;Médical;1.649;2.171
Région flamande;89;Procédures majeures sur les os de la face et du crâne;3;Chirurgical;1.392;20.564
Région flamande;90;Procédures majeures du larynx et de la trachée;3;Chirurgical;177;89
Région flamande;91;Autres procédures majeures de la tête et du cou;3;Chirurgical;358;46
Région flamande;92;Procédures sur les os de la face, excepté procédures majeures des os du crâne ou de la face;3;Chirurgical;3.134;17.458
Région flamande;93;Procédures sur sinus et mastoïde;3;Chirurgical;3.269;2.578
Région flamande;95;Réparation de la fente labiale et du palais;3;Chirurgical;94;21
Région flamande;97;Procédures sur amygdales et végétations;3;Chirurgical;5.127;18.814
Région flamande;98;Autres procédures sur l'oreille, le nez, la bouche et la gorge;3;Chirurgical;7.435;27.949
Région flamande;110;Affections malignes de l'oreille, du nez, de la bouche, de la gorge, du crâne et de la face;3;Médical;752;740
Région flamande;111;Vertige et autres troubles labyrinthiques;3;Médical;4.253;27
Région flamande;113;Infection des voies aériennes supérieures;3;Médical;13.036;688
Région flamande;114;Maladies et lésions dentaires et buccales;3;Médical;2.541;86.283
Région flamande;115;Autres diagnostics de l'oreille, du nez, de la bouche, de la gorge, du crâne et de la face;3;Médical;29.896;4.749
Région flamande;120;Interventions majeures sur le système respiratoire et le thorax;4;Chirurgical;2.011;102
Région flamande;121;Autres interventions sur le système respiratoire et le thorax;4;Chirurgical;2.020;256
Région flamande;130;Affection du système respiratoire avec assistance ventilatoire pendant plus de 96 heures;4;Médical;472;0
Région flamande;131;Mucoviscidose (cystic fibrosis) - maladie pulmonaire;4;Médical;526;18
Région flamande;132;Dysplasie bronchopulmonaire et autres maladies respiratoires chroniques apparaissant en période périnatale;4;Médical;67;< 5
Région flamande;133;Insuffisance respiratoire;4;Médical;483;< 5
Région flamande;134;Embolie pulmonaire;4;Médical;2.874;12
Région flamande;135;Traumatisme majeur thoracique et respiratoire;4;Médical;2.356;9
Région flamande;136;Affection maligne respiratoire;4;Médical;4.547;2.962
Région flamande;137;Inflammations et infections majeures du système respiratoire;4;Médical;4.317;144
Région flamande;138;Bronchiolite et pneumonie à virus respiratoire syncytial (RSV);4;Médical;7.546;30
Région flamande;139;Autre pneumonie;4;Médical;18.502;115
Région flamande;140;Maladie pulmonaire obstructive chronique;4;Médical;16.246;698
Région flamande;141;Asthme;4;Médical;2.998;85
Région flamande;142;Maladie pulmonaire interstitielle et alvéolaire;4;Médical;1.123;223
Région flamande;143;Autres diagnostics respiratoires excepté les signes, symptômes et diagnostics mineurs;4;Médical;2.936;662
Région flamande;144;Signes respiratoires, symptômes et diagnostics mineurs;4;Médical;15.695;2.732
Région flamande;160;Réparation majeure d'anomalie cardiaque par voie cardiothoracique;5;Chirurgical;50;< 5
Région flamande;161;Implantation d'un défibrillateur cardiaque et d'un système d'assistance cardiaque;5;Chirurgical;1.043;< 5
Région flamande;162;Procédures sur les valves cardiaques avec infarctus du myocarde aigu ou diagnostic principal complexe;5;Chirurgical;284;0
Région flamande;163;Procédures sur les valves cardiaques sans cathétérisme cardiaque ni diagnostic principal complexe;5;Chirurgical;2.135;0
Région flamande;165;Pontage coronarien avec infarctus aigu du myocarde ou diagnostic principal complexe;5;Chirurgical;592;0
Région flamande;166;Pontage coronarien sans infarctus aigu du myocarde ni disgnostic principal complexe;5;Chirurgical;2.869;0
Région flamande;167;Autres procédures cardiothoraciques et thoracovasculaires;5;Chirurgical;1.948;75
Région flamande;169;Procédures vasculaires abdominales majeures;5;Chirurgical;1.068;11
Région flamande;170;Implantation de pacemaker permanent avec infarctus aigu du myocarde, décompensation cardiaque ou choc;5;Chirurgical;195;0
Région flamande;171;Implantation de pacemaker permanent sans infarctus aigu du myocarde ni décompensation cardiaque ni choc;5;Chirurgical;3.892;13
Région flamande;174;Procédures coronariennes percutanées avec infarctus aigu du myocarde;5;Chirurgical;5.081;241
Région flamande;175;Procédures coronariennes percutanées sans infarctus aigu du myocarde;5;Chirurgical;16.782;1.606
Région flamande;176;Remplacement de pacemaker et de défibrillateur cardiaque;5;Chirurgical;1.360;175
Région flamande;177;Révision de pacemaker et de défibrillateur cardiaque excepté remplacement d'appareil;5;Chirurgical;416;17
Région flamande;180;Autres procédures sur le système circulatoire;5;Chirurgical;1.561;13.429
Région flamande;181;Procédures sur les artères des membres inférieurs;5;Chirurgical;12.591;1.016
Région flamande;182;Autres procédures sur les vaisseaux périphériques;5;Chirurgical;2.729;3.015
Région flamande;190;Infarctus aigu du myocarde;5;Médical;4.400;409
Région flamande;191;Cathétérisme cardiaque pour maladie coronarienne;5;Médical;8.088;11.548
Région flamande;192;Cathétérisme cardiaque pour autre maladie non coronarienne;5;Médical;8.689;4.487
Région flamande;193;Endocardite aiguë et subaiguë;5;Médical;116;< 5
Région flamande;194;Insuffisance cardiaque;5;Médical;13.367;45
Région flamande;196;Arrêt cardiaque et choc;5;Médical;631;85
Région flamande;197;Troubles vasculaires périphériques et autres;5;Médical;2.866;1.374
Région flamande;198;Angine de poitrine et athérosclérose coronarienne;5;Médical;2.903;44
Région flamande;199;Hypertension;5;Médical;1.428;28
