code;description;médical_ou_chirurgical;mdc;type_d_hospitalisation;nombre_de_séjours
001;Transplantation hépatique et/ou intestinale;Chirurgical;PP;Classique;273
002;Transplantation cardiaque et/ou pulmonaire;Chirurgical;PP;Classique;206
003;Transplantation de moelle osseuse;Chirurgical;PP;Classique;941
003;Transplantation de moelle osseuse;Chirurgical;PP;De jour;10
004;ECMO ou trachéostomie avec ventilation mécanique de longue durée et procédure extensive;Chirurgical;PP;Classique;1284
005;Trachéostomie avec ventilation mécanique de longue durée sans intervention extensive;Chirurgical;PP;Classique;818
006;Transplantation du pancréas;Chirurgical;PP;Classique;11
020;Craniotomie pour traumatisme;Chirurgical;01;Classique;878
020;Craniotomie pour traumatisme;Chirurgical;01;De jour;2
021;Craniotomie excepté pour traumatisme;Chirurgical;01;Classique;3996
021;Craniotomie excepté pour traumatisme;Chirurgical;01;De jour;15
022;Procédures concernant un shunt ventriculaire;Chirurgical;01;Classique;1014
022;Procédures concernant un shunt ventriculaire;Chirurgical;01;De jour;15
023;Procédures au niveau de la colonne vertébrale et de la moelle épinière;Chirurgical;01;Classique;1869
023;Procédures au niveau de la colonne vertébrale et de la moelle épinière;Chirurgical;01;De jour;112
024;Procédures vasculaires extracrâniennes;Chirurgical;01;Classique;4820
024;Procédures vasculaires extracrâniennes;Chirurgical;01;De jour;42
026;Autres procédures du système nerveux et procédures apparentées;Chirurgical;01;Classique;3685
026;Autres procédures du système nerveux et procédures apparentées;Chirurgical;01;De jour;34929
040;Troubles et lésions de la colonne vertébrale et de la moelle épinière;Médical;01;Classique;478
040;Troubles et lésions de la colonne vertébrale et de la moelle épinière;Médical;01;De jour;51
041;Malignité du système nerveux;Médical;01;Classique;3143
041;Malignité du système nerveux;Médical;01;De jour;430
042;Troubles dégénératifs du système nerveux excepté la sclérose en plaques;Médical;01;Classique;12729
042;Troubles dégénératifs du système nerveux excepté la sclérose en plaques;Médical;01;De jour;152
043;Sclérose en plaques et autres maladies démyélinisantes;Médical;01;Classique;3400
043;Sclérose en plaques et autres maladies démyélinisantes;Médical;01;De jour;479
044;Hémorragie intracrânienne;Médical;01;Classique;3300
044;Hémorragie intracrânienne;Médical;01;De jour;42
045;Accident vasculaire cérébral et occlusion précérébrale avec infarctus;Médical;01;Classique;15602
045;Accident vasculaire cérébral et occlusion précérébrale avec infarctus;Médical;01;De jour;18
046;Accident vasculaire cérébral non spécifique et occlusion précérébrale sans infarctus;Médical;01;Classique;1114
046;Accident vasculaire cérébral non spécifique et occlusion précérébrale sans infarctus;Médical;01;De jour;92
047;Ischémie cérébrale transitoire (TIA);Médical;01;Classique;7170
047;Ischémie cérébrale transitoire (TIA);Médical;01;De jour;49
048;Troubles des nerfs crâniens, périphériques et autonomes;Médical;01;Classique;4131
048;Troubles des nerfs crâniens, périphériques et autonomes;Médical;01;De jour;9790
049;Infections bactériennes et tuberculeuses du système nerveux;Médical;01;Classique;726
049;Infections bactériennes et tuberculeuses du système nerveux;Médical;01;De jour;9
050;Infections non-bactériennes du système nerveux, excepté méningite virale;Médical;01;Classique;745
050;Infections non-bactériennes du système nerveux, excepté méningite virale;Médical;01;De jour;67
051;Méningite virale;Médical;01;Classique;1347
051;Méningite virale;Médical;01;De jour;1
052;Comas et états stuporeux non traumatiques;Médical;01;Classique;2859
052;Comas et états stuporeux non traumatiques;Médical;01;De jour;45
053;Crise épileptique;Médical;01;Classique;15506
053;Crise épileptique;Médical;01;De jour;309
054;Migraine et autres céphalées;Médical;01;Classique;5940
054;Migraine et autres céphalées;Médical;01;De jour;661
055;Traumatisme crânien avec coma > 1 heure ou hémorragie;Médical;01;Classique;2875
055;Traumatisme crânien avec coma > 1 heure ou hémorragie;Médical;01;De jour;11
056;Contusion/lacération cérébrale et fracture du crâne compliquée, coma < 1 heure ou pas de coma;Médical;01;Classique;878
056;Contusion/lacération cérébrale et fracture du crâne compliquée, coma < 1 heure ou pas de coma;Médical;01;De jour;5
057;Commotion, fracture du crâne fermée non autrement spécifiée, lésion intracrânienne non compliquée, coma < 1 h ou pas de coma;Médical;01;Classique;9790
057;Commotion, fracture du crâne fermée non autrement spécifiée, lésion intracrânienne non compliquée, coma < 1 h ou pas de coma;Médical;01;De jour;48
058;Autres troubles du système nerveux;Médical;01;Classique;15880
058;Autres troubles du système nerveux;Médical;01;De jour;1675
070;Procédures orbitaires;Chirurgical;02;Classique;598
070;Procédures orbitaires;Chirurgical;02;De jour;164
073;Procédures sur l'œil excepté l'orbite;Chirurgical;02;Classique;12109
073;Procédures sur l'œil excepté l'orbite;Chirurgical;02;De jour;131292
080;Infections aiguës majeures de l'œil;Médical;02;Classique;712
080;Infections aiguës majeures de l'œil;Médical;02;De jour;11
082;Troubles oculaires excepté infections majeures;Médical;02;Classique;2935
082;Troubles oculaires excepté infections majeures;Médical;02;De jour;2050
089;Procédures majeures sur les os de la face et du crâne;Chirurgical;03;Classique;1704
089;Procédures majeures sur les os de la face et du crâne;Chirurgical;03;De jour;370
090;Procédures majeures du larynx et de la trachée;Chirurgical;03;Classique;259
090;Procédures majeures du larynx et de la trachée;Chirurgical;03;De jour;11
091;Autres procédures majeures de la tête et du cou;Chirurgical;03;Classique;604
091;Autres procédures majeures de la tête et du cou;Chirurgical;03;De jour;343
092;Procédures sur les os de la face, excepté procédures majeures des os du crâne/de la face;Chirurgical;03;Classique;3408
092;Procédures sur les os de la face, excepté procédures majeures des os du crâne/de la face;Chirurgical;03;De jour;8456
093;Procédures sur sinus et mastoïde;Chirurgical;03;Classique;7008
093;Procédures sur sinus et mastoïde;Chirurgical;03;De jour;4489
095;Réparation de la fente labiale et du palais;Chirurgical;03;Classique;852
095;Réparation de la fente labiale et du palais;Chirurgical;03;De jour;353
097;Procédures sur amygdales et végétations;Chirurgical;03;Classique;8215
097;Procédures sur amygdales et végétations;Chirurgical;03;De jour;37526
098;Autres procédures sur l'oreille, le nez, la bouche et la gorge;Chirurgical;03;Classique;14927
098;Autres procédures sur l'oreille, le nez, la bouche et la gorge;Chirurgical;03;De jour;69200
110;Affections malignes de l'oreille, du nez, de la bouche, de la gorge, du crâne/de la face;Médical;03;Classique;1991
110;Affections malignes de l'oreille, du nez, de la bouche, de la gorge, du crâne/de la face;Médical;03;De jour;1280
111;Vertige et autres troubles labyrinthiques;Médical;03;Classique;5076
111;Vertige et autres troubles labyrinthiques;Médical;03;De jour;47
113;Infection des voies respiratoires supérieures;Médical;03;Classique;16202
