drg_36;libellé_drg;mdc_36;libellé_mdc;type_de_drg;hospitalisation_classique;hospitalisation_de_jour
001;001 Transplantation hépatique et/ou intestinale;PP;PP pre-MDC;Chirurgical;237;0
002;002 Transplantation cardiaque et/ou pulmonaire;PP;PP pre-MDC;Chirurgical;151;0
004;004 ECMO ou trachéostomie avec ventilation mécanique de longue durée et procédure extensive;PP;PP pre-MDC;Chirurgical;822;0
005;005 Trachéostomie avec ventilation mécanique de longue durée sans procédure extensive;PP;PP pre-MDC;Chirurgical;1 034;0
006;006 Transplantation du pancréas;PP;PP pre-MDC;Chirurgical;7;0
007;007 Transplantation de la moelle osseuse allogénique;PP;PP pre-MDC;Chirurgical;424;< 5
008;008 Transplantation de la moelle osseuse autologue;PP;PP pre-MDC;Chirurgical;542;< 5
009;009 Oxygénation corporelle par membrane (ECMO);PP;PP pre-MDC;Chirurgical;56;< 5
010;010 Traumatisme crânien avec coma profond;PP;PP pre-MDC;Médical;58;0
020;020 Craniotomie pour traumatisme;01;01 Système nerveux;Chirurgical;731;< 5
021;021 Craniotomie excepté pour traumatisme;01;01 Système nerveux;Chirurgical;4 619;26
022;022 Procédures sur le pontage ventriculaire;01;01 Système nerveux;Chirurgical;462;< 5
023;023 Procédures sur la colonne vertébrale et la moelle épinière;01;01 Système nerveux;Chirurgical;1 026;81
024;024 Procédures vasculaires extracrâniennes;01;01 Système nerveux;Chirurgical;4 887;100
026;026 Autres procédures sur le système nerveux et procédures associées;01;01 Système nerveux;Chirurgical;2 242;29 495
040;040 Troubles et traumatismes de la colonne vertebrale et de la moelle épiniere;01;01 Système nerveux;Médical;412;92
041;041 Affection maligne du système nerveux;01;01 Système nerveux;Médical;2 698;438
042;042 Troubles dégenératifs du système nerveux excepté la sclérose en plaques;01;01 Système nerveux;Médical;13 205;325
043;043 Sclérose en plaques et autres maladies démyélinisantes;01;01 Système nerveux;Médical;2 862;441
044;044 Hémorragie intracrânienne;01;01 Système nerveux;Médical;3 167;39
045;045 AVC et occlusion précérébrale avec infarctus;01;01 Système nerveux;Médical;14 731;78
046;046 AVC non spécifique et occlusion précérébrale sans infarctus;01;01 Système nerveux;Médical;542;127
047;047 Ischémie cérébrale transitoire (TIA);01;01 Système nerveux;Médical;6 469;49
048;048 Troubles des nerfs crâniens, périphériques et autonomes;01;01 Système nerveux;Médical;3 249;3 407
049;049 Infections bactériennes et tuberculeuses du système nerveux;01;01 Système nerveux;Médical;563;< 5
050;050 Infections non-bactériennes du système nerveux, excepté la méningite virale;01;01 Système nerveux;Médical;832;76
051;051 Méningite virale;01;01 Système nerveux;Médical;433;< 5
052;052 Altération de la conscience;01;01 Système nerveux;Médical;2 131;35
053;053 Crise épileptique;01;01 Système nerveux;Médical;14 905;318
054;054 Migraine et autres céphalées;01;01 Système nerveux;Médical;4 745;264
055;055 Traumatisme crânien avec coma > 1 heure ou avec hémorragie;01;01 Système nerveux;Médical;3 361;22
056;056 Contusion/lacération cérébrale et fracture du crâne compliquée, coma < 1heure ou sans coma;01;01 Système nerveux;Médical;268;< 5
057;057 Contusion, fract. du crâne fermée non spéc., traumatisme intracrân. non compl., coma < 1hr ou sans coma;01;01 Système nerveux;Médical;7 358;48
058;058 Autres troubles du système nerveux;01;01 Système nerveux;Médical;16 279;1 713
059;059 Lésions cérébrales graves, autres et anoxiques;01;01 Système nerveux;Médical;163;19
073;073 Procédures sur l'oeil et sur l'orbite;02;02 Affections des yeux;Chirurgical;7 556;112 826
082;082 Infections oculaires et autres troubles oculaires;02;02 Affections des yeux;Médical;3 520;3 059
089;089 Procédures majeures sur les os de la face et du crâne;03;03 Nez, gorge, oreilles, crâne et face;Chirurgical;1 514;23 379
