code;beschrijving;medisch_of_chirurgicsh;mdc;soort_hospitalisatie;aantal_verblijven
001;Lever- en/of darmtransplantatie;Chirurgisch;PP;Klass. hosp;259
002;Hart- en/of longtransplantatie;Chirurgisch;PP;Klass. hosp;189
003;Beenmergtransplantatie;Chirurgisch;PP;Klass. hosp;921
003;Beenmergtransplantatie;Chirurgisch;PP;Daghosp.;6
004;ECMO of tracheostomie met langdurige mechanische ventilatie met extensieve procedure;Chirurgisch;PP;Klass. hosp;1125
004;ECMO of tracheostomie met langdurige mechanische ventilatie met extensieve procedure;Chirurgisch;PP;Daghosp.;1
005;Tracheostomie met langdurige mechanische ventilatie zonder extensieve procedure;Chirurgisch;PP;Klass. hosp;607
006;Pancreastransplantatie;Chirurgisch;PP;Klass. hosp;8
006;Pancreastransplantatie;Chirurgisch;PP;Daghosp.;1
020;Craniotomie voor trauma;Chirurgisch;01;Klass. hosp;910
020;Craniotomie voor trauma;Chirurgisch;01;Daghosp.;4
021;Craniotomie behalve voor trauma;Chirurgisch;01;Klass. hosp;4240
021;Craniotomie behalve voor trauma;Chirurgisch;01;Daghosp.;17
022;Procedures op een ventriculaire shunt;Chirurgisch;01;Klass. hosp;952
022;Procedures op een ventriculaire shunt;Chirurgisch;01;Daghosp.;12
023;Spinale procedures;Chirurgisch;01;Klass. hosp;1839
023;Spinale procedures;Chirurgisch;01;Daghosp.;143
024;Extracraniale vasculaire procedures;Chirurgisch;01;Klass. hosp;4591
024;Extracraniale vasculaire procedures;Chirurgisch;01;Daghosp.;43
026;Andere procedures op het zenuwstelsel en gerelateerde procedures;Chirurgisch;01;Klass. hosp;3362
026;Andere procedures op het zenuwstelsel en gerelateerde procedures;Chirurgisch;01;Daghosp.;35061
040;Spinale stoornissen en letsels;Medisch;01;Klass. hosp;484
040;Spinale stoornissen en letsels;Medisch;01;Daghosp.;64
041;Maligniteit van het zenuwstelsel;Medisch;01;Klass. hosp;3195
041;Maligniteit van het zenuwstelsel;Medisch;01;Daghosp.;383
042;Degeneratieve stoornissen van het zenuwstelsel met uitzondering van multipele sclerose;Medisch;01;Klass. hosp;12529
042;Degeneratieve stoornissen van het zenuwstelsel met uitzondering van multipele sclerose;Medisch;01;Daghosp.;123
043;Multipele sclerose en andere demyeliniserende ziekten;Medisch;01;Klass. hosp;3491
043;Multipele sclerose en andere demyeliniserende ziekten;Medisch;01;Daghosp.;610
044;Intracraniële hemorragie;Medisch;01;Klass. hosp;3277
044;Intracraniële hemorragie;Medisch;01;Daghosp.;45
045;CVA en precerebrale occlusie met infarct;Medisch;01;Klass. hosp;15893
045;CVA en precerebrale occlusie met infarct;Medisch;01;Daghosp.;9
046;Niet specifieke CVA en precerebrale occlusie zonder infarct;Medisch;01;Klass. hosp;1009
046;Niet specifieke CVA en precerebrale occlusie zonder infarct;Medisch;01;Daghosp.;94
047;Transitoire (cerebrale) ischemie (TIA);Medisch;01;Klass. hosp;7400
047;Transitoire (cerebrale) ischemie (TIA);Medisch;01;Daghosp.;51
048;Stoornissen van de perifere, craniale en autonome zenuwen;Medisch;01;Klass. hosp;4090
048;Stoornissen van de perifere, craniale en autonome zenuwen;Medisch;01;Daghosp.;5943
049;Bacteriele en tuberculeuze infecties van het zenuwstelsel;Medisch;01;Klass. hosp;697
