apr-drg;apr-drg_label;mdc_label;medisch_of_chirurgisch;soort_hospitalisatie;nis_code;gewest;aantal_verblijven
950;Extensieve procedure zonder verband met de hoofddiagnose;MDC 00 : Restgroep;Chirurgisch;Klass. hosp.;2000;Vlaams Gewest;2 684
950;Extensieve procedure zonder verband met de hoofddiagnose;MDC 00 : Restgroep;Chirurgisch;Klass. hosp.;3000;Waals Gewest;1 904
950;Extensieve procedure zonder verband met de hoofddiagnose;MDC 00 : Restgroep;Chirurgisch;Klass. hosp.;4000;Brussels Hoofdstedelijk Gewest;393
950;Extensieve procedure zonder verband met de hoofddiagnose;MDC 00 : Restgroep;Chirurgisch;Klass. hosp.;0;Buitenlands verblijf;123
950;Extensieve procedure zonder verband met de hoofddiagnose;MDC 00 : Restgroep;Chirurgisch;Klass. hosp.;9999;Zonder vast verblijf;< 5
950;Extensieve procedure zonder verband met de hoofddiagnose;MDC 00 : Restgroep;Chirurgisch;Daghosp.;2000;Vlaams Gewest;861
950;Extensieve procedure zonder verband met de hoofddiagnose;MDC 00 : Restgroep;Chirurgisch;Daghosp.;3000;Waals Gewest;321
950;Extensieve procedure zonder verband met de hoofddiagnose;MDC 00 : Restgroep;Chirurgisch;Daghosp.;4000;Brussels Hoofdstedelijk Gewest;96
950;Extensieve procedure zonder verband met de hoofddiagnose;MDC 00 : Restgroep;Chirurgisch;Daghosp.;0;Buitenlands verblijf;47
951;Matige uitgebreide procedure zonder verband met de hoofddiagnose;MDC 00 : Restgroep;Chirurgisch;Klass. hosp.;2000;Vlaams Gewest;7 337
951;Matige uitgebreide procedure zonder verband met de hoofddiagnose;MDC 00 : Restgroep;Chirurgisch;Klass. hosp.;3000;Waals Gewest;4 340
951;Matige uitgebreide procedure zonder verband met de hoofddiagnose;MDC 00 : Restgroep;Chirurgisch;Klass. hosp.;4000;Brussels Hoofdstedelijk Gewest;1 044
951;Matige uitgebreide procedure zonder verband met de hoofddiagnose;MDC 00 : Restgroep;Chirurgisch;Klass. hosp.;0;Buitenlands verblijf;243
951;Matige uitgebreide procedure zonder verband met de hoofddiagnose;MDC 00 : Restgroep;Chirurgisch;Klass. hosp.;9999;Zonder vast verblijf;< 5
951;Matige uitgebreide procedure zonder verband met de hoofddiagnose;MDC 00 : Restgroep;Chirurgisch;Daghosp.;2000;Vlaams Gewest;2 109
951;Matige uitgebreide procedure zonder verband met de hoofddiagnose;MDC 00 : Restgroep;Chirurgisch;Daghosp.;3000;Waals Gewest;946
951;Matige uitgebreide procedure zonder verband met de hoofddiagnose;MDC 00 : Restgroep;Chirurgisch;Daghosp.;4000;Brussels Hoofdstedelijk Gewest;214
951;Matige uitgebreide procedure zonder verband met de hoofddiagnose;MDC 00 : Restgroep;Chirurgisch;Daghosp.;0;Buitenlands verblijf;56
951;Matige uitgebreide procedure zonder verband met de hoofddiagnose;MDC 00 : Restgroep;Chirurgisch;Daghosp.;9999;Zonder vast verblijf;< 5
952;Niet-extensieve procedure zonder verband met de hoofddiagnose;MDC 00 : Restgroep;Chirurgisch;Klass. hosp.;2000;Vlaams Gewest;3 476
952;Niet-extensieve procedure zonder verband met de hoofddiagnose;MDC 00 : Restgroep;Chirurgisch;Klass. hosp.;3000;Waals Gewest;1 895
952;Niet-extensieve procedure zonder verband met de hoofddiagnose;MDC 00 : Restgroep;Chirurgisch;Klass. hosp.;4000;Brussels Hoofdstedelijk Gewest;369
952;Niet-extensieve procedure zonder verband met de hoofddiagnose;MDC 00 : Restgroep;Chirurgisch;Klass. hosp.;0;Buitenlands verblijf;86
952;Niet-extensieve procedure zonder verband met de hoofddiagnose;MDC 00 : Restgroep;Chirurgisch;Daghosp.;2000;Vlaams Gewest;1 914
952;Niet-extensieve procedure zonder verband met de hoofddiagnose;MDC 00 : Restgroep;Chirurgisch;Daghosp.;3000;Waals Gewest;872
952;Niet-extensieve procedure zonder verband met de hoofddiagnose;MDC 00 : Restgroep;Chirurgisch;Daghosp.;4000;Brussels Hoofdstedelijk Gewest;257
952;Niet-extensieve procedure zonder verband met de hoofddiagnose;MDC 00 : Restgroep;Chirurgisch;Daghosp.;0;Buitenlands verblijf;48
955;Hoofddiagnose niet geldig als ontslagdiagnose;MDC 00 : Restgroep;Andere;Klass. hosp.;2000;Vlaams Gewest;24
955;Hoofddiagnose niet geldig als ontslagdiagnose;MDC 00 : Restgroep;Andere;Klass. hosp.;3000;Waals Gewest;37
955;Hoofddiagnose niet geldig als ontslagdiagnose;MDC 00 : Restgroep;Andere;Klass. hosp.;4000;Brussels Hoofdstedelijk Gewest;< 5
955;Hoofddiagnose niet geldig als ontslagdiagnose;MDC 00 : Restgroep;Andere;Klass. hosp.;0;Buitenlands verblijf;< 5
955;Hoofddiagnose niet geldig als ontslagdiagnose;MDC 00 : Restgroep;Andere;Daghosp.;2000;Vlaams Gewest;10
955;Hoofddiagnose niet geldig als ontslagdiagnose;MDC 00 : Restgroep;Andere;Daghosp.;3000;Waals Gewest;25
955;Hoofddiagnose niet geldig als ontslagdiagnose;MDC 00 : Restgroep;Andere;Daghosp.;4000;Brussels Hoofdstedelijk Gewest;< 5
956;Niet te groeperen verblijven;MDC 00 : Restgroep;Andere;Klass. hosp.;2000;Vlaams Gewest;37
956;Niet te groeperen verblijven;MDC 00 : Restgroep;Andere;Klass. hosp.;3000;Waals Gewest;78
956;Niet te groeperen verblijven;MDC 00 : Restgroep;Andere;Klass. hosp.;4000;Brussels Hoofdstedelijk Gewest;12
956;Niet te groeperen verblijven;MDC 00 : Restgroep;Andere;Klass. hosp.;0;Buitenlands verblijf;< 5
956;Niet te groeperen verblijven;MDC 00 : Restgroep;Andere;Daghosp.;2000;Vlaams Gewest;53
956;Niet te groeperen verblijven;MDC 00 : Restgroep;Andere;Daghosp.;3000;Waals Gewest;26
956;Niet te groeperen verblijven;MDC 00 : Restgroep;Andere;Daghosp.;4000;Brussels Hoofdstedelijk Gewest;< 5
956;Niet te groeperen verblijven;MDC 00 : Restgroep;Andere;Daghosp.;0;Buitenlands verblijf;< 5
20;Craniotomie voor trauma;MDC 01 : Zenuwstelsel;Chirurgisch;Klass. hosp.;2000;Vlaams Gewest;455
20;Craniotomie voor trauma;MDC 01 : Zenuwstelsel;Chirurgisch;Klass. hosp.;3000;Waals Gewest;256
20;Craniotomie voor trauma;MDC 01 : Zenuwstelsel;Chirurgisch;Klass. hosp.;4000;Brussels Hoofdstedelijk Gewest;71
20;Craniotomie voor trauma;MDC 01 : Zenuwstelsel;Chirurgisch;Klass. hosp.;0;Buitenlands verblijf;34
20;Craniotomie voor trauma;MDC 01 : Zenuwstelsel;Chirurgisch;Klass. hosp.;9999;Zonder vast verblijf;< 5
20;Craniotomie voor trauma;MDC 01 : Zenuwstelsel;Chirurgisch;Daghosp.;2000;Vlaams Gewest;< 5
20;Craniotomie voor trauma;MDC 01 : Zenuwstelsel;Chirurgisch;Daghosp.;4000;Brussels Hoofdstedelijk Gewest;< 5
21;Craniotomie behalve voor trauma;MDC 01 : Zenuwstelsel;Chirurgisch;Klass. hosp.;2000;Vlaams Gewest;2 795
21;Craniotomie behalve voor trauma;MDC 01 : Zenuwstelsel;Chirurgisch;Klass. hosp.;3000;Waals Gewest;1 540
21;Craniotomie behalve voor trauma;MDC 01 : Zenuwstelsel;Chirurgisch;Klass. hosp.;4000;Brussels Hoofdstedelijk Gewest;397
21;Craniotomie behalve voor trauma;MDC 01 : Zenuwstelsel;Chirurgisch;Klass. hosp.;0;Buitenlands verblijf;233
21;Craniotomie behalve voor trauma;MDC 01 : Zenuwstelsel;Chirurgisch;Klass. hosp.;9999;Zonder vast verblijf;< 5
21;Craniotomie behalve voor trauma;MDC 01 : Zenuwstelsel;Chirurgisch;Daghosp.;2000;Vlaams Gewest;20
21;Craniotomie behalve voor trauma;MDC 01 : Zenuwstelsel;Chirurgisch;Daghosp.;3000;Waals Gewest;7
21;Craniotomie behalve voor trauma;MDC 01 : Zenuwstelsel;Chirurgisch;Daghosp.;4000;Brussels Hoofdstedelijk Gewest;< 5
21;Craniotomie behalve voor trauma;MDC 01 : Zenuwstelsel;Chirurgisch;Daghosp.;0;Buitenlands verblijf;< 5
22;Procedures op een ventriculaire shunt;MDC 01 : Zenuwstelsel;Chirurgisch;Klass. hosp.;2000;Vlaams Gewest;307
