code;beschrijving;medisch_of_chirurgicsh;mdc;soort_hospitalisatie;aantal_verblijven
001;Levertransplantatie;Chirurgisch;p1;Klass. hosp;227
001;Levertransplantatie;Chirurgisch;p1;Daghosp.;1
002;Hart en/of longtransplantatie;Chirurgisch;p4;Klass. hosp;161
003;Beenmergtransplantatie;Chirurgisch;p2;Klass. hosp;768
003;Beenmergtransplantatie;Chirurgisch;p2;Daghosp.;9
004;Tracheostomie behalve voor aandoeningen van gelaat, mond en hals;Chirurgisch;p3;Klass. hosp;2552
004;Tracheostomie behalve voor aandoeningen van gelaat, mond en hals;Chirurgisch;p3;Daghosp.;1
005;Tracheostomie voor aandoeningen van gelaat, mond en hals;Chirurgisch;p3;Klass. hosp;490
005;Tracheostomie voor aandoeningen van gelaat, mond en hals;Chirurgisch;p3;Daghosp.;1
020;Craniotomie na trauma;Chirurgisch;01;Klass. hosp;866
020;Craniotomie na trauma;Chirurgisch;01;Daghosp.;5
021;Craniotomie behalve na trauma;Chirurgisch;01;Klass. hosp;4816
021;Craniotomie behalve na trauma;Chirurgisch;01;Daghosp.;19
022;Ingrepen op ventriculaire shunt;Chirurgisch;01;Klass. hosp;792
022;Ingrepen op ventriculaire shunt;Chirurgisch;01;Daghosp.;4
023;Ingrepen op de wervelzuil en het ruggemerg;Chirurgisch;01;Klass. hosp;1350
023;Ingrepen op de wervelzuil en het ruggemerg;Chirurgisch;01;Daghosp.;75
024;Ingrepen op extracraniale bloedvaten;Chirurgisch;01;Klass. hosp;4343
024;Ingrepen op extracraniale bloedvaten;Chirurgisch;01;Daghosp.;28
025;Ingrepen op neurologisch systeem voor perifere zenuwaandoeningen;Chirurgisch;01;Klass. hosp;2487
025;Ingrepen op neurologisch systeem voor perifere zenuwaandoeningen;Chirurgisch;01;Daghosp.;31595
026;Ingrepen op neurologisch systeem voor craniale zenuwen en overige neurologisch systeem aandoening;Chirurgisch;01;Klass. hosp;1408
026;Ingrepen op neurologisch systeem voor craniale zenuwen en overige neurologisch systeem aandoening;Chirurgisch;01;Daghosp.;77
040;Aandoeningen en letsels van de wervelzuil en het ruggemerg;Medisch;01;Klass. hosp;635
040;Aandoeningen en letsels van de wervelzuil en het ruggemerg;Medisch;01;Daghosp.;486
041;Nieuwvormingen van het zenuwstelsel;Medisch;01;Klass. hosp;3225
041;Nieuwvormingen van het zenuwstelsel;Medisch;01;Daghosp.;155
042;Degeneratieve aandoeningen van het zenuwstelsel;Medisch;01;Klass. hosp;12843
042;Degeneratieve aandoeningen van het zenuwstelsel;Medisch;01;Daghosp.;138
043;Multipel sclerose en cerebellaire ataxie;Medisch;01;Klass. hosp;2866
043;Multipel sclerose en cerebellaire ataxie;Medisch;01;Daghosp.;561
044;Intracraniale hemorragie;Medisch;01;Klass. hosp;3342
044;Intracraniale hemorragie;Medisch;01;Daghosp.;43
045;CVA met herseninfarct;Medisch;01;Klass. hosp;15302
045;CVA met herseninfarct;Medisch;01;Daghosp.;9
046;Niet gespecificeerde CVA en precerebrale occlusie zonder herseninfarct;Medisch;01;Klass. hosp;1382
046;Niet gespecificeerde CVA en precerebrale occlusie zonder herseninfarct;Medisch;01;Daghosp.;154
047;TIA;Medisch;01;Klass. hosp;7463
047;TIA;Medisch;01;Daghosp.;67
048;Aandoeningen van de craniale en perifere zenuwen;Medisch;01;Klass. hosp;5073
048;Aandoeningen van de craniale en perifere zenuwen;Medisch;01;Daghosp.;9366
049;Bacteriële en tuberculeuze infecties van het zenuwstelsel;Medisch;01;Klass. hosp;715
049;Bacteriële en tuberculeuze infecties van het zenuwstelsel;Medisch;01;Daghosp.;22
050;Niet bacteriële infecties van het zenuwstelsel behalve virale meningitis;Medisch;01;Klass. hosp;700
050;Niet bacteriële infecties van het zenuwstelsel behalve virale meningitis;Medisch;01;Daghosp.;92
051;Virale meningitis;Medisch;01;Klass. hosp;1042
051;Virale meningitis;Medisch;01;Daghosp.;1
052;Niet-traumatische stupor en coma;Medisch;01;Klass. hosp;2539
052;Niet-traumatische stupor en coma;Medisch;01;Daghosp.;35
053;Epileptisch insult;Medisch;01;Klass. hosp;15311
053;Epileptisch insult;Medisch;01;Daghosp.;289
054;Migraine en hoofdpijn;Medisch;01;Klass. hosp;5670
054;Migraine en hoofdpijn;Medisch;01;Daghosp.;487
055;Schedeltrauma met coma > 1 uur of met bloeding;Medisch;01;Klass. hosp;2527
055;Schedeltrauma met coma > 1 uur of met bloeding;Medisch;01;Daghosp.;19
056;Schedelbreuk en gespecificeerd intracraniaal letsel, met coma < 1 uur of geen coma;Medisch;01;Klass. hosp;1700
056;Schedelbreuk en gespecificeerd intracraniaal letsel, met coma < 1 uur of geen coma;Medisch;01;Daghosp.;16
057;Hersenschudding en niet gespecificeerd intracraniaal letsel, met coma < 1 uur of geen coma;Medisch;01;Klass. hosp;9879
057;Hersenschudding en niet gespecificeerd intracraniaal letsel, met coma < 1 uur of geen coma;Medisch;01;Daghosp.;10
058;Andere aandoeningen van het zenuwstelsel;Medisch;01;Klass. hosp;15379
058;Andere aandoeningen van het zenuwstelsel;Medisch;01;Daghosp.;913
070;Ingrepen op de orbita;Chirurgisch;02;Klass. hosp;569
070;Ingrepen op de orbita;Chirurgisch;02;Daghosp.;112
071;Intra-oculaire ingrepen behalve op lens;Chirurgisch;02;Klass. hosp;6198
071;Intra-oculaire ingrepen behalve op lens;Chirurgisch;02;Daghosp.;3012
072;Extra-oculaire ingrepen behalve op orbita;Chirurgisch;02;Klass. hosp;1889
072;Extra-oculaire ingrepen behalve op orbita;Chirurgisch;02;Daghosp.;17152
073;Ingrepen op de lens met of zonder vitrectomie;Chirurgisch;02;Klass. hosp;5003
073;Ingrepen op de lens met of zonder vitrectomie;Chirurgisch;02;Daghosp.;101574
080;Belangrijke acute ooginfecties;Medisch;02;Klass. hosp;404
080;Belangrijke acute ooginfecties;Medisch;02;Daghosp.;1
081;Neurologische aandoeningen van het oog;Medisch;02;Klass. hosp;799
081;Neurologische aandoeningen van het oog;Medisch;02;Daghosp.;67
082;Overige aandoeningen van het oog;Medisch;02;Klass. hosp;2371
082;Overige aandoeningen van het oog;Medisch;02;Daghosp.;1934
090;Majeure ingrepen op larynx en trachea, behalve tracheostomie;Chirurgisch;03;Klass. hosp;324
090;Majeure ingrepen op larynx en trachea, behalve tracheostomie;Chirurgisch;03;Daghosp.;56
091;Overige belangrijke ingrepen op hoofd en hals;Chirurgisch;03;Klass. hosp;602
091;Overige belangrijke ingrepen op hoofd en hals;Chirurgisch;03;Daghosp.;614
092;Ingrepen op faciaal bot, behalve majeure ingrepen op hoofd en hals;Chirurgisch;03;Klass. hosp;4020
092;Ingrepen op faciaal bot, behalve majeure ingrepen op hoofd en hals;Chirurgisch;03;Daghosp.;2731
