région;drg_36;libellé_drg;mdc_36;type_de_drg;hospitalisation_classique;hospitalisation_de_jour
Région flamande;001;001 Transplantation hépatique et/ou intestinale;PP;Chirurgical;118;0
Région flamande;002;002 Transplantation cardiaque et/ou pulmonaire;PP;Chirurgical;93;0
Région flamande;004;004 ECMO ou trachéostomie avec ventilation mécanique de longue durée et procédure extensive;PP;Chirurgical;554;0
Région flamande;005;005 Trachéostomie avec ventilation mécanique de longue durée sans procédure extensive;PP;Chirurgical;621;0
Région flamande;006;006 Transplantation du pancréas;PP;Chirurgical;< 5;0
Région flamande;007;007 Transplantation de la moelle osseuse allogénique;PP;Chirurgical;235;0
Région flamande;008;008 Transplantation de la moelle osseuse autologue;PP;Chirurgical;325;0
Région flamande;009;009 Oxygénation corporelle par membrane (ECMO);PP;Chirurgical;18;0
Région flamande;010;010 Traumatisme crânien avec coma profond;PP;Médical;26;0
Région flamande;020;020 Craniotomie pour traumatisme;01;Chirurgical;430;< 5
Région flamande;021;021 Craniotomie excepté pour traumatisme;01;Chirurgical;2 931;20
Région flamande;022;022 Procédures sur le pontage ventriculaire;01;Chirurgical;340;< 5
Région flamande;023;023 Procédures sur la colonne vertébrale et la moelle épinière;01;Chirurgical;807;89
Région flamande;024;024 Procédures vasculaires extracrâniennes;01;Chirurgical;2 899;59
Région flamande;026;026 Autres procédures sur le système nerveux et procédures associées;01;Chirurgical;1 428;22 349
Région flamande;040;040 Troubles et traumatismes de la colonne vertebrale et de la moelle épiniere;01;Médical;224;46
Région flamande;041;041 Affection maligne du système nerveux;01;Médical;1 670;297
Région flamande;042;042 Troubles dégenératifs du système nerveux excepté la sclérose en plaques;01;Médical;8 143;222
Région flamande;043;043 Sclérose en plaques et autres maladies démyélinisantes;01;Médical;1 746;225
Région flamande;044;044 Hémorragie intracrânienne;01;Médical;1 905;26
Région flamande;045;045 AVC et occlusion précérébrale avec infarctus;01;Médical;9 184;36
Région flamande;046;046 AVC non spécifique et occlusion précérébrale sans infarctus;01;Médical;278;52
Région flamande;047;047 Ischémie cérébrale transitoire (TIA);01;Médical;4 579;22
Région flamande;048;048 Troubles des nerfs crâniens, périphériques et autonomes;01;Médical;1 899;1 867
Région flamande;049;049 Infections bactériennes et tuberculeuses du système nerveux;01;Médical;322;7
Région flamande;050;050 Infections non-bactériennes du système nerveux, excepté la méningite virale;01;Médical;571;86
Région flamande;051;051 Méningite virale;01;Médical;354;0
Région flamande;052;052 Altération de la conscience;01;Médical;1 584;24
Région flamande;053;053 Crise épileptique;01;Médical;9 258;207
Région flamande;054;054 Migraine et autres céphalées;01;Médical;3 737;177
Région flamande;055;055 Traumatisme crânien avec coma > 1 heure ou avec hémorragie;01;Médical;2 136;12
Région flamande;056;056 Contusion/lacération cérébrale et fracture du crâne compliquée, coma < 1heure ou sans coma;01;Médical;137;< 5
Région flamande;057;057 Contusion, fract. du crâne fermée non spéc., traumatisme intracrân. non compl., coma < 1hr ou sans coma;01;Médical;5 040;44
Région flamande;058;058 Autres troubles du système nerveux;01;Médical;9 699;1 064
Région flamande;059;059 Lésions cérébrales graves, autres et anoxiques;01;Médical;68;13
Région flamande;073;073 Procédures sur l'oeil et sur l'orbite;02;Chirurgical;4 945;90 772
Région flamande;082;082 Infections oculaires et autres troubles oculaires;02;Médical;2 294;2 922
Région flamande;089;089 Procédures majeures sur les os de la face et du crâne;03;Chirurgical;1 215;23 149
Région flamande;091;091 Autres procédures majeures sur la tête et le cou;03;Chirurgical;546;91
Région flamande;092;092 Procédures sur les os de la face, excepté procédures majeures sur les os du crâne/de la face;03;Chirurgical;4 206;21 140
Région flamande;095;095 Réparation de la fente labiale et la fente palatine;03;Chirurgical;72;26
Région flamande;097;097 Procédures sur les amygdales et les végétations;03;Chirurgical;2 879;14 058
Région flamande;098;098 Autres procédures sur l'oreille, le nez, la bouche et la gorge;03;Chirurgical;8 419;25 188
Région flamande;110;110 Affections malignes de l'oreille, le nez, la bouche, la gorge, le crâne/la face;03;Médical;571;1 011
Région flamande;111;111 Vertige et autres troubles labyrinthiques;03;Médical;3 856;102
Région flamande;113;113 Infections des voies aériennes supérieures;03;Médical;9 550;2 878
Région flamande;114;114 Maladies et troubles dentaires et buccales;03;Médical;871;92 159
Région flamande;115;115 Autres diagnostics de l'oreille, le nez, la bouche, la gorge, le crâne/la face;03;Médical;33 435;11 295
Région flamande;120;120 Procédures majeures sur le système respiratoire et le thorax;04;Chirurgical;956;< 5
Région flamande;121;121  Autres procédures sur le système respiratoire et le thorax;04;Chirurgical;2 695;417
Région flamande;130;130 Affection du système respiratoire avec assistance ventilatoire pendant + de 96 heures;04;Médical;1 436;0
Région flamande;131;131 Mucoviscidose (cystic fibrosis) - maladie pulmonaire;04;Médical;296;32
Région flamande;132;132 Dysplasie broncho-pulmon. et autres maladies respirat.chron.apparaissant en période périnatale;04;Médical;79;6
Région flamande;133;133 Insuffisance respiratoire;04;Médical;1 779;7
Région flamande;134;134 Embolie pulmonaire;04;Médical;3 282;16
Région flamande;135;135 Traumatisme majeur respiratoire et thoracique;04;Médical;2 339;8
Région flamande;136;136 Affection maligne respiratoire;04;Médical;3 941;3 187
Région flamande;137;137 Inflammations et infections majeures du système respiratoire;04;Médical;4 079;111
Région flamande;138;138 Bronchiolite et pneumonie à virus respiratoire syncytial (RSV);04;Médical;10 997;25
Région flamande;139;139 Autre pneumonie;04;Médical;26 718;79
Région flamande;140;140 Maladie pulmonaire obstructive chronique;04;Médical;11 482;294
Région flamande;141;141 Asthme;04;Médical;2 147;45
Région flamande;142;142 Maladies pulmonaires interstitielles et alvéolaires;04;Médical;1 099;300
Région flamande;143;143 Autres diagnostics respiratoires, excepté les signes, symptômes et diagnostics mineurs;04;Médical;2 762;607
Région flamande;144;144 Signes respiratoires, symptômes et diagnostics mineurs;04;Médical;8 940;2 504
Région flamande;145;145 Bronchite aiguë et symptômes associés;04;Médical;3 883;511
Région flamande;160;160 Réparation majeure d'anomalie cardiaque par voie cardiothoracique;05;Chirurgical;59;0
Région flamande;161;161 Implantation d'un défibrillateur cardiaque et d'un système d'assistance cardiaque;05;Chirurgical;1 422;8
Région flamande;162;162 Procédures sur les valves cardiaques avec infarctus du myocarde aigu ou DP complexe;05;Chirurgical;275;0
Région flamande;163;163 Procédures sur les valves cardiaques sans infarctus du myocarde aigu ou DP complexe;05;Chirurgical;2 308;0
Région flamande;165;165 Pontage coronarien avec infarctus aigu du myocarde ou DP complexe;05;Chirurgical;513;< 5
Région flamande;166;166 Pontage coronarien sans infarctus aigu du myocarde ou DP complexe;05;Chirurgical;2 468;0
Région flamande;167;167 Autres procédures cardiothoraciques et thoracovasculaires;05;Chirurgical;1 024;213
Région flamande;169;169 Procédures vasculaires abdominales majeures;05;Chirurgical;989;10
Région flamande;170;170 Implantation du pacemaker permanent avec infarctus aigu du myocard., décomp. cardiaque ou choc;05;Chirurgical;60;0
Région flamande;171;171 Implantation du pacemaker permanent sans infarctus aigu du myocard., décomp. cardiaque ou choc;05;Chirurgical;4 815;17
Région flamande;174;174 Procédures coronariennes percutanées avec infarctus aigu du myocarde;05;Chirurgical;5 169;572
Région flamande;175;175 Procédures coronariennes percutanées sans infarctus aigu du myocarde;05;Chirurgical;17 733;4 108
Région flamande;176;176 Remplacement du pacemaker et du défibrillateur cardiaque;05;Chirurgical;1 094;215
Région flamande;177;177 Révision du pacemaker et du défibrillateur cardiaque, excepté le remplacement de l'appareil;05;Chirurgical;390;7
Région flamande;180;180 Autres procédures sur le système circulatoire;05;Chirurgical;1 124;12 306
Région flamande;181;181 Procédures sur les artères des membres inférieurs;05;Chirurgical;11 558;1 309
Région flamande;182;182 Autres procédures sur les vaisseaux périphériques;05;Chirurgical;2 412;2 318
Région flamande;190;190 Infarctus aigu du myocarde;05;Médical;3 463;563
Région flamande;191;191 Cathétérisme cardiaque pour maladie coronarienne;05;Médical;4 801;16 011
Région flamande;192;192 Cathétérisme cardiaque pour autres affections non coronariennes;05;Médical;7 097;6 485
Région flamande;193;193 Endocardite aiguë et subaiguë;05;Médical;131;< 5
Région flamande;194;194 Insuffisance cardiaque;05;Médical;13 536;80
Région flamande;196;196 Arrêt cardiaque et choc;05;Médical;548;86
Région flamande;197;197 Troubles vasculaires, périphériques et autres;05;Médical;2 290;923
Région flamande;198;198 Angine de poitrine et athérosclérose coronaire;05;Médical;2 015;63
Région flamande;199;199 Hypertension;05;Médical;1 131;40
Région flamande;200;200 Maladies cardiaques structurelles et valvulaires;05;Médical;556;208
