gewest;drg_36;drg_beschrijving;mdc_36;soort_drg;klassieke_hospitalisatie;daghospitalisatie
Vlaams Gewest;001;001 Lever- en/of darmtransplantatie;PP;Chirurgisch;113;0
Vlaams Gewest;002;002 Hart- en/of longtransplantatie;PP;Chirurgisch;88;0
Vlaams Gewest;004;004 ECMO of tracheostomie met langdurige mechanische ventilatie met extensieve procedure;PP;Chirurgisch;520;0
Vlaams Gewest;005;005 Tracheostomie met langdurige mechanische ventilatie zonder extensieve procedure;PP;Chirurgisch;548;0
Vlaams Gewest;006;006 Pancreastransplantatie;PP;Chirurgisch;< 5;0
Vlaams Gewest;007;007 Allogene beenmergtransplantatie;PP;Chirurgisch;250;< 5
Vlaams Gewest;008;008 Autologe beenmergtransplantatie;PP;Chirurgisch;338;< 5
Vlaams Gewest;009;009 Extracorporele membraanoxygenatie (ECMO);PP;Chirurgisch;25;0
Vlaams Gewest;010;010 Hoofdtrauma met diepe coma;PP;Medisch;23;0
Vlaams Gewest;020;020 Craniotomie voor trauma;01;Chirurgisch;429;< 5
Vlaams Gewest;021;021 Craniotomie behalve voor trauma;01;Chirurgisch;2 722;16
Vlaams Gewest;022;022 Procedures op ventriculaire shunt;01;Chirurgisch;283;< 5
Vlaams Gewest;023;023 Spinale procedures;01;Chirurgisch;695;64
Vlaams Gewest;024;024 Extracraniële vasculaire procedures;01;Chirurgisch;2 792;76
Vlaams Gewest;026;026 Andere procedures op zenuwstelsel en gerelateerde procedures;01;Chirurgisch;1 383;18 191
Vlaams Gewest;040;040 Spinale stoornissen en letsels;01;Medisch;230;55
Vlaams Gewest;041;041 Maligne aandoening van zenuwstelsel;01;Medisch;1 626;313
Vlaams Gewest;042;042 Degeneratieve stoornissen van zenuwstelsel met uitzondering van multipele sclerose;01;Medisch;8 513;200
Vlaams Gewest;043;043 Multipele sclerose en andere demyeliniserende ziekten;01;Medisch;1 818;196
Vlaams Gewest;044;044 Intracraniële hemorragie;01;Medisch;1 898;20
Vlaams Gewest;045;045 CVA en precerebrale occlusie met infarct;01;Medisch;9 040;34
Vlaams Gewest;046;046 Niet gespecifieerde CVA en precerebrale occlusie zonder infarct;01;Medisch;260;52
Vlaams Gewest;047;047 Transitoire cerebrale ischemie (TIA);01;Medisch;4 489;19
Vlaams Gewest;048;048 Stoornissen van perifere, craniale en autonome zenuwen;01;Medisch;1 936;1 566
Vlaams Gewest;049;049 Bacteriële en tuberculeuze infecties van zenuwstelsel;01;Medisch;313;< 5
Vlaams Gewest;050;050 Niet bacteriële infecties van zenuwstelsel behalve virale meningitis;01;Medisch;509;60
Vlaams Gewest;051;051 Virale meningitis;01;Medisch;274;< 5
Vlaams Gewest;052;052 Wijziging in bewustzijn;01;Medisch;1 460;24
Vlaams Gewest;053;053 Epileptisch insult;01;Medisch;8 435;167
Vlaams Gewest;054;054 Migraine en andere hoofdpijn;01;Medisch;3 304;145
Vlaams Gewest;055;055 Hoofdtrauma met coma > 1 uur of met hemorragie;01;Medisch;1 940;13
Vlaams Gewest;056;056 Cerebrale contusie/laceratie en gecompliceerde schedelbreuk, met coma < 1 uur of zonder coma;01;Medisch;162;< 5
Vlaams Gewest;057;057 Hersenschud., gesl. schedelbreuk niet aanders gespec., niet gecompl. intracran. letsel, coma < 1u of geen coma;01;Medisch;5 011;28
Vlaams Gewest;058;058 Andere stoornissen van zenuwstelsel;01;Medisch;8 607;980
Vlaams Gewest;059;059 Anoxische en andere ernstige hersenschade;01;Medisch;69;8
Vlaams Gewest;073;073 Procedures op oog en orbita;02;Chirurgisch;4 419;70 885
Vlaams Gewest;082;082 Ooginfecties en andere stoornissen van oog;02;Medisch;2 218;2 175
Vlaams Gewest;089;089 Majeure procedures op aangezichts- en schedelbeenderen;03;Chirurgisch;1 067;20 842
Vlaams Gewest;091;091 Andere majeure procedures op hoofd en hals;03;Chirurgisch;555;78
Vlaams Gewest;092;092 Procedures op aangezichtsbeenderen, behalve maj. proc. op aangezichts-/schedelbeenderen;03;Chirurgisch;3 183;18 578
Vlaams Gewest;095;095 Palatoplastie en herstel van hazenlip;03;Chirurgisch;76;28
Vlaams Gewest;097;097 Procedures op tonsillen en adenoïden;03;Chirurgisch;2 591;9 417
Vlaams Gewest;098;098 Andere procedures op oren, neus, mond en keel;03;Chirurgisch;7 323;19 338
Vlaams Gewest;110;110 Maligne aandoeningen van oren, neus, mond, keel, schedel/aangezicht;03;Medisch;622;999
Vlaams Gewest;111;111 Vertigo en andere labyrinthstoornissen;03;Medisch;3 549;82
Vlaams Gewest;113;113 Infecties bovenste luchtwegen;03;Medisch;10 171;1 662
Vlaams Gewest;114;114 Dentale en orale ziekten en aandoeningen;03;Medisch;870;72 642
Vlaams Gewest;115;115 Andere diagnoses van oren, neus, mond, keel en schedel/aangezicht;03;Medisch;27 210;9 519
Vlaams Gewest;120;120 Majeure thoracale en respiratoire procedures;04;Chirurgisch;937;6
Vlaams Gewest;121;121 Andere respiratoire en thoracale procedures;04;Chirurgisch;2 519;378
Vlaams Gewest;130;130 Diagnose van respiratoire stelsel met kunstmatige beademing 96+uur;04;Medisch;1 403;0
Vlaams Gewest;131;131 Mucoviscidose (cystic fibrosis) - longziekte;04;Medisch;410;17
Vlaams Gewest;132;132 Bronchopulmonale dysplasie en andere chron. resp. ziekten ontstaan in perinatale periode;04;Medisch;61;< 5
Vlaams Gewest;133;133 Respiratoire insufficiëntie;04;Medisch;1 657;< 5
Vlaams Gewest;134;134 Longembolie;04;Medisch;2 871;8
Vlaams Gewest;135;135 Majeur thoracaal en respiratoir trauma;04;Medisch;2 156;16
Vlaams Gewest;136;136 Maligne respiratoire aandoening;04;Medisch;4 014;3 147
Vlaams Gewest;137;137 Majeure respiratoire infecties en inflammaties;04;Medisch;3 657;116
Vlaams Gewest;138;138 Bronchiolitis en RSV pneumonie;04;Medisch;2 286;23
Vlaams Gewest;139;139 Andere pneumonie;04;Medisch;27 968;72
Vlaams Gewest;140;140 Chronische obstructieve longaandoening;04;Medisch;12 052;294
Vlaams Gewest;141;141 Astma;04;Medisch;1 819;47
Vlaams Gewest;142;142 Interstitiële en alveolaire longziekte;04;Medisch;938;249
Vlaams Gewest;143;143 Andere respiratoire diagnosen behalve tekens, symptomen en mineure diagnosen;04;Medisch;2 395;535
Vlaams Gewest;144;144 Respiratoire tekens, symptomen en mineure diagnosen;04;Medisch;8 501;1 910
Vlaams Gewest;145;145 Acute bronchitis en gerelateerde symptomen;04;Medisch;3 277;450
Vlaams Gewest;160;160 Majeur cardiothoracaal herstel van hartanomalie;05;Chirurgisch;64;0
Vlaams Gewest;161;161 Implantatie van hartdefibrillator en hartassistentiesyteem;05;Chirurgisch;1 353;13
Vlaams Gewest;162;162 Procedures op hartkleppen met AMI of complexe hoofddiagnose;05;Chirurgisch;271;0
Vlaams Gewest;163;163 Procedures op hartkleppen zonder AMI of complexe hoofddiagnose;05;Chirurgisch;2 105;0
Vlaams Gewest;165;165 Coronaire overbrugging met AMI of complexe hoofddiagnose;05;Chirurgisch;531;0
Vlaams Gewest;166;166 Coronaire overbrugging zonder AMI of complexe hoofddiagnose;05;Chirurgisch;2 085;0
Vlaams Gewest;167;167 Andere cardiothoracale procedures en thoracovasculaire procedures;05;Chirurgisch;1 055;197
Vlaams Gewest;169;169 Majeure abdominale vasculaire procedures;05;Chirurgisch;902;5
Vlaams Gewest;170;170 Implantatie van permanente pacemaker met AMI, hartdecompensatie of shock;05;Chirurgisch;38;0
Vlaams Gewest;171;171 Implanteren van permanente pacemaker zonder AMI, hartdecompensatie of shock;05;Chirurgisch;4 295;10
Vlaams Gewest;174;174 Percutane coronaire procedures met AMI;05;Chirurgisch;4 918;448
Vlaams Gewest;175;175 Percutane coronaire procedures zonder AMI;05;Chirurgisch;16 451;2 407
Vlaams Gewest;176;176 Vervangen van pacemaker of defibrillator;05;Chirurgisch;1 260;196
Vlaams Gewest;177;177 Revisie van pacemaker of defibrillator behalve vervanging van hulpmiddel;05;Chirurgisch;367;< 5
Vlaams Gewest;180;180 Andere procedures op circulatoir systeem;05;Chirurgisch;1 057;9 271
Vlaams Gewest;181;181 Procedures op arteries van onderste ledematen;05;Chirurgisch;10 226;987
Vlaams Gewest;182;182 Andere perifere vasculaire procedures;05;Chirurgisch;2 259;2 004
Vlaams Gewest;190;190 Acuut myocardinfarct;05;Medisch;3 697;497
Vlaams Gewest;191;191 Hartkatheterisatie voor coronaire ziekten;05;Medisch;4 688;13 525
Vlaams Gewest;192;192 Hartkatheterisatie voor andere niet-coronaire aandoeningen;05;Medisch;6 314;5 529
Vlaams Gewest;193;193 Acute en subacute endocarditis;05;Medisch;129;< 5
Vlaams Gewest;194;194 Hartfalen;05;Medisch;12 656;76
Vlaams Gewest;196;196 Hartstilstand en shock;05;Medisch;514;91
Vlaams Gewest;197;197 Perifere en andere vasculaire stoornissen;05;Medisch;2 134;981
Vlaams Gewest;198;198 Angina pectoris en coronaire atherosclerose;05;Medisch;2 055;37
Vlaams Gewest;199;199 Hypertensie;05;Medisch;1 098;29
Vlaams Gewest;200;200 Structurele hartaandoeningen en kleplijden;05;Medisch;521;180
Vlaams Gewest;201;201 Hartaritmie en geleidingsstoornissen;05;Medisch;9 146;5 471
Vlaams Gewest;203;203 Thoracale pijn;05;Medisch;2 374;72
Vlaams Gewest;204;204 Syncope en collaps;05;Medisch;6 525;97
Vlaams Gewest;205;205 Cardiomyopathie;05;Medisch;167;15
Vlaams Gewest;206;206 Dysfunctie, reactie op en compl. op cardiaal of vasc. hulpmiddel of procedure;05;Medisch;736;313
Vlaams Gewest;207;207 Andere diagnosen van het circulatoir systeem;05;Medisch;3 022;326
Vlaams Gewest;220;220 Majeure procedures op oesofagus, maag en duodenum;06;Chirurgisch;1 637;14
Vlaams Gewest;222;222 Andere procedures op oesofagus, maag, duodenum;06;Chirurgisch;632;160
Vlaams Gewest;223;223 Andere procedures op dunne en dikke darm;06;Chirurgisch;823;1 114
Vlaams Gewest;224;224 Peritoneale adhesiolyse;06;Chirurgisch;1 113;107
Vlaams Gewest;226;226 Procedures op anus;06;Chirurgisch;1 778;4 819
Vlaams Gewest;227;227 Procedures voor hernia behalve voor hernia inguinalis, femoralis en umbilicalis;06;Chirurgisch;2 962;1 744
Vlaams Gewest;228;228 Procedures voor hernia inguinalis, femoralis en umbilicalis;06;Chirurgisch;5 171;7 983
Vlaams Gewest;229;229 Andere procedures op spijsverteringsstelsel en abdomen;06;Chirurgisch;1 468;437
Vlaams Gewest;230;230 Majeure procedures op dunne darm;06;Chirurgisch;3 434;17
Vlaams Gewest;231;231 Majeure procedures op dikke darm;06;Chirurgisch;6 615;185
Vlaams Gewest;232;232 Fundoplicatie van maag;06;Chirurgisch;310;< 5
Vlaams Gewest;233;233 Appendectomie met complexe hoofddiagnose;06;Chirurgisch;1 213;5
Vlaams Gewest;234;234 Appendectomie zonder complexe hoofddiagnose;06;Chirurgisch;6 083;185
Vlaams Gewest;240;240 Maligne aandoeningen van spijsverteringsstelsel;06;Medisch;3 536;5 314
Vlaams Gewest;241;241 Peptisch ulcus en gastritis;06;Medisch;3 776;8 170
Vlaams Gewest;242;242 Majeure slokdarmstoorinissen;06;Medisch;592;381
