gewest;drg_34;drg_beschrijving;mdc_34;soort_diagnose;klassieke_hospitalisatie;daghospitalisatie
Vlaams Gewest;1;Lever- en/of darmtransplantatie;PP;Chirurgisch;116;0
Vlaams Gewest;2;Hart- en/of longtransplantatie;PP;Chirurgisch;102;0
Vlaams Gewest;3;Beenmergtransplantatie;PP;Chirurgisch;540;0
Vlaams Gewest;4;Extracorporele membraanoxygenatie of tracheostomie met langdurige mechanische ventilatie met extensieve procedure;PP;Chirurgisch;870;< 5
Vlaams Gewest;5;Tracheostomie met langdurige mechanische ventilatie zonder extensieve procedure;PP;Chirurgisch;171;0
Vlaams Gewest;6;Pancreastransplantatie;PP;Chirurgisch;10;0
Vlaams Gewest;20;Craniotomie voor trauma;1;Chirurgisch;406;< 5
Vlaams Gewest;21;Craniotomie behalve voor trauma;1;Chirurgisch;2.730;18
Vlaams Gewest;22;Procedures op een ventriculaire shunt;1;Chirurgisch;395;< 5
Vlaams Gewest;23;Spinale procedures;1;Chirurgisch;872;62
Vlaams Gewest;24;Extracraniale vasculaire procedures;1;Chirurgisch;2.957;61
Vlaams Gewest;26;Andere procedures op het zenuwstelsel en gerelateerde procedures;1;Chirurgisch;1.817;22.137
Vlaams Gewest;40;Spinale stoornissen en letsels;1;Medisch;363;53
Vlaams Gewest;41;Maligniteit van het zenuwstelsel;1;Medisch;1.871;234
Vlaams Gewest;42;Degeneratieve stoornissen van het zenuwstelsel met uitzondering van multipele sclerose;1;Medisch;7.927;143
Vlaams Gewest;43;Multipele sclerose en andere demyeliniserende ziekten;1;Medisch;3.108;253
Vlaams Gewest;44;Intracraniële hemorragie;1;Medisch;2.006;21
Vlaams Gewest;45;CVA en precerebrale occlusie met infarct;1;Medisch;9.463;36
Vlaams Gewest;46;Niet specifieke CVA en precerebrale occlusie zonder infarct;1;Medisch;305;40
Vlaams Gewest;47;Transitoire cerebrale ischemie (TIA);1;Medisch;4.749;19
Vlaams Gewest;48;Stoornissen van de perifere, craniale en autonome zenuwen;1;Medisch;2.580;1.693
Vlaams Gewest;49;Bacteriële en tuberculeuze infecties van het zenuwstelsel;1;Medisch;402;6
Vlaams Gewest;50;Niet bacteriële infecties van het zenuwstelsel behalve virale meningitis;1;Medisch;606;53
Vlaams Gewest;51;Virale meningitis;1;Medisch;645;0
Vlaams Gewest;52;Niet-traumatische stupor en coma;1;Medisch;1.682;25
Vlaams Gewest;53;Epileptisch insult;1;Medisch;9.459;194
Vlaams Gewest;54;Migraine en andere hoofdpijn;1;Medisch;4.413;199
Vlaams Gewest;55;Hoofdtrauma met coma > 1 uur of met hemorragie;1;Medisch;1.976;5
Vlaams Gewest;56;Cerebrale contusie/laceratie en gecompliceerde schedelbreuk, met coma < 1 uur of zonder coma;1;Medisch;167;0
Vlaams Gewest;57;Hersenschudding, gesloten schedelbreuk niet anders gespecificeerd, niet gecompliceerd intracraniaal letsel, coma < 1 uur of geen coma;1;Medisch;5.763;22
Vlaams Gewest;58;Andere stoornissen van het zenuwstelsel;1;Medisch;10.940;883
Vlaams Gewest;70;Procedures op de orbita;2;Chirurgisch;244;167
Vlaams Gewest;73;Procedures op het oog behalve op de orbita;2;Chirurgisch;6.050;87.358
Vlaams Gewest;80;Acute majeure ooginfecties;2;Medisch;408;10
Vlaams Gewest;82;Oogstoornissen behalve majeure infecties;2;Medisch;1.639;2.003
Vlaams Gewest;89;Majeure procedures op aangezichts- en schedelbeenderen;3;Chirurgisch;1.335;22.300
Vlaams Gewest;90;Majeure procedures op larynx en trachea;3;Chirurgisch;175;86
Vlaams Gewest;91;Andere majeure procedures op hoofd en hals;3;Chirurgisch;385;47
Vlaams Gewest;92;Procedures op aangezichtsbeenderen, behalve majeure procedures op aangezichts- en schedelbeenderen;3;Chirurgisch;3.464;19.970
Vlaams Gewest;93;Procedures op sinussen en mastoïd;3;Chirurgisch;3.145;2.785
Vlaams Gewest;95;Palatoplastie en herstel van hazelip;3;Chirurgisch;107;13
Vlaams Gewest;97;Procedures op tonsillen en adenoïden;3;Chirurgisch;4.979;17.408
Vlaams Gewest;98;Andere procedures op oren, neus, mond en keel;3;Chirurgisch;7.523;28.411
Vlaams Gewest;110;Maligne aandoeningen van oren, neus, mond, keel, schedel/aangezicht;3;Medisch;727;850
Vlaams Gewest;111;Vertigo en andere labyrintstoornissen;3;Medisch;4.062;31
Vlaams Gewest;113;Infecties bovenste luchtwegen;3;Medisch;15.252;635
Vlaams Gewest;114;Dentale en orale ziekten en letsels;3;Medisch;2.506;87.039
Vlaams Gewest;115;Andere diagnosen van oren, neus, mond, keel en schedel/aangezicht;3;Medisch;31.845;5.133
Vlaams Gewest;120;Majeure thoracale en respiratoire procedures;4;Chirurgisch;2.033;131
Vlaams Gewest;121;Andere respiratoire en thoracale procedures;4;Chirurgisch;2.243;251
Vlaams Gewest;130;Diagnose van het respiratoire stelsel met kunstmatige beademing 96+ uur;4;Medisch;461;0
Vlaams Gewest;131;Mucoviscidose (cystic fibrosis) - longziekte;4;Medisch;540;24
Vlaams Gewest;132;Bronchopulmonale dysplasie en andere chronische respiratoire ziekten ontstaan in de perinatale periode;4;Medisch;66;< 5
Vlaams Gewest;133;Respiratoire insufficiëntie;4;Medisch;496;< 5
Vlaams Gewest;134;Longembolie;4;Medisch;2.779;11
Vlaams Gewest;135;Majeur thoracaal en respiratoir trauma;4;Medisch;2.444;10
Vlaams Gewest;136;Maligne respiratoire aandoening;4;Medisch;4.599;3.132
Vlaams Gewest;137;Majeure respiratoire infecties en inflammaties;4;Medisch;4.352;166
Vlaams Gewest;138;Bronchiolitis en respiratoir syncytiaal virus (RSV) pneumonie;4;Medisch;8.149;27
Vlaams Gewest;139;Andere pneumonie;4;Medisch;19.760;124
Vlaams Gewest;140;Chronische obstructieve longaandoeningen;4;Medisch;17.163;574
Vlaams Gewest;141;Astma;4;Medisch;2.942;77
Vlaams Gewest;142;Interstitiële en alveolaire longziekte;4;Medisch;1.100;262
Vlaams Gewest;143;Andere respiratoire diagnosen behalve tekens, symptomen en mineure diagnosen;4;Medisch;2.958;697
Vlaams Gewest;144;Respiratoire tekens, symptomen en mineure diagnosen;4;Medisch;15.010;2.523
Vlaams Gewest;160;Majeur cardiothoracaal herstel van hartanomalie;5;Chirurgisch;54;0
Vlaams Gewest;161;Inplantatie van hartdefibrillator en hartassistentiesyteem;5;Chirurgisch;1.166;9
Vlaams Gewest;162;Procedures op hartkleppen met acuut myocardinfarct of complexe hoofddiagnose;5;Chirurgisch;293;0
Vlaams Gewest;163;Procedures op hartkleppen zonder acuut myocardinfarct of complexe hoofddiagnose;5;Chirurgisch;2.081;< 5
Vlaams Gewest;165;Coronaire overbrugging met acuut myocardinfarct of complexe hoofddiagnose;5;Chirurgisch;530;0
Vlaams Gewest;166;Coronaire overbrugging zonder acuut myocardinfarct of complexe hoofddiagnose;5;Chirurgisch;2.574;0
Vlaams Gewest;167;Andere cardiothoracale procedures en thoracovasculaire procedures;5;Chirurgisch;1.951;135
Vlaams Gewest;169;Majeure abdominale vasculaire procedures;5;Chirurgisch;1.160;17
Vlaams Gewest;170;Implantatie van permanente pacemaker met AMI, hartdecompensatie of shock;5;Chirurgisch;255;< 5
Vlaams Gewest;171;Implanteren van permanente pacemaker zonder AMI, hartdecompensatie of shock;5;Chirurgisch;3.999;6
Vlaams Gewest;174;Percutane coronaire procedures met acuut myocardinfarct;5;Chirurgisch;4.958;364
Vlaams Gewest;175;Percutane coronaire procedures zonder acuut myocardinfarct;5;Chirurgisch;17.659;1.824
Vlaams Gewest;176;Vervangen van pacemaker of defibrillator;5;Chirurgisch;1.410;187
Vlaams Gewest;177;Revisie van pacemaker of defibrillator behalve toestel vervanging;5;Chirurgisch;435;26
Vlaams Gewest;180;Andere procedures op het circulatoire systeem;5;Chirurgisch;1.569;13.910
Vlaams Gewest;181;Procedures op de arteries van de onderste ledematen;5;Chirurgisch;12.161;1.070
Vlaams Gewest;182;Andere perifere vasculaire procedures;5;Chirurgisch;2.625;2.669
Vlaams Gewest;190;Acuut myocardinfarct;5;Medisch;4.201;456
Vlaams Gewest;191;Hartkatheterisatie voor coronaire condities;5;Medisch;6.675;12.508
Vlaams Gewest;192;Hartkatheterisatie voor andere niet-coronaire condities;5;Medisch;8.577;5.357
Vlaams Gewest;193;Acute en subacute endocarditis;5;Medisch;109;< 5
Vlaams Gewest;194;Hartfalen;5;Medisch;13.706;53
Vlaams Gewest;196;Hartstilstand en shock;5;Medisch;533;67
Vlaams Gewest;197;Perifere en andere vasculaire stoornissen;5;Medisch;2.815;1.250
Vlaams Gewest;198;Angina pectoris en coronaire atherosclerose;5;Medisch;2.471;42
Vlaams Gewest;199;Hypertensie;5;Medisch;1.373;31
Vlaams Gewest;200;Structurele hartaandoeningen en kleplijden;5;Medisch;734;170
Vlaams Gewest;201;Hartaritmie en geleidingsstoornissen;5;Medisch;11.910;5.116
Vlaams Gewest;203;Thoracale pijn;5;Medisch;3.062;75
Vlaams Gewest;204;Syncope en collaps;5;Medisch;8.030;103
Vlaams Gewest;205;Cardiomyopathie;5;Medisch;193;8
Vlaams Gewest;206;Dysfunctie, reactie en complicatie op cardiaal of vasculair toestel of procedure;5;Medisch;780;259
Vlaams Gewest;207;Andere diagnosen van het circulatoir stelsel;5;Medisch;3.275;312
Vlaams Gewest;220;Majeure procedures op oesofagus, maag en duodenum;6;Chirurgisch;1.923;147
Vlaams Gewest;221;Majeure procedures op dunne en dikke darm;6;Chirurgisch;9.582;84
Vlaams Gewest;222;Andere procedures op oesofagus, maag en duodenum;6;Chirurgisch;2.342;341
Vlaams Gewest;223;Andere procedures op dunne en dikke darm;6;Chirurgisch;2.420;1.100
Vlaams Gewest;224;Peritoneale adhesiolyse;6;Chirurgisch;1.072;84
Vlaams Gewest;225;Appendectomie;6;Chirurgisch;7.379;208
Vlaams Gewest;226;Anale procedures;6;Chirurgisch;3.253;6.975
Vlaams Gewest;227;Procedures voor hernia behalve voor hernia inguinalis, femoralis en umbilicalis;6;Chirurgisch;3.911;2.089
Vlaams Gewest;228;Procedures voor hernia inguinalis, femoralis en umbilicalis;6;Chirurgisch;6.949;8.973
Vlaams Gewest;229;Andere procedures op het spijsverteringsstelsel en abdomen;6;Chirurgisch;1.726;463
Vlaams Gewest;240;Maligne aandoeningen van het spijsverteringsstelsel;6;Medisch;4.000;5.095
Vlaams Gewest;241;Peptisch ulcus en gastritis;6;Medisch;4.831;7.848
Vlaams Gewest;242;Majeure slokdarmstoornissen;6;Medisch;458;261
Vlaams Gewest;243;Andere slokdarmstoornissen;6;Medisch;3.834;9.261
Vlaams Gewest;244;Diverticulitis en diverticulosis;6;Medisch;5.566;15.600
Vlaams Gewest;245;Inflammatoire darmziekte;6;Medisch;1.957;5.644
Vlaams Gewest;246;Gastro-intestinale vasculaire insufficiëntie;6;Medisch;924;103
Vlaams Gewest;247;Intestinale obstructie;6;Medisch;5.283;233
Vlaams Gewest;248;Majeure gastro-intestinale en peritoneale infecties;6;Medisch;3.282;92
Vlaams Gewest;249;Andere gastro-enteritis, misselijkheid en braken;6;Medisch;20.787;4.867
Vlaams Gewest;251;Abdominale pijn;6;Medisch;3.666;5.055
Vlaams Gewest;252;Dysfunctie, reactie op en complicatie van gastro-intestinaal toestel of procedure;6;Medisch;1.356;496
Vlaams Gewest;253;Andere en niet gespecificeerde gastro-intestinale hemorragie;6;Medisch;1.602;1.192
Vlaams Gewest;254;Andere diagnosen van spijsverteringsstelsel;6;Medisch;12.115;68.024
Vlaams Gewest;260;Majeure pancreas-, lever- en shuntprocedures;7;Chirurgisch;1.539;51
Vlaams Gewest;261;Majeure procedures op de galwegen;7;Chirurgisch;816;73
Vlaams Gewest;262;Cholecystectomie, behalve laparoscopisch;7;Chirurgisch;221;151
Vlaams Gewest;263;Laparoscopische cholecystectomie;7;Chirurgisch;10.795;1.193
Vlaams Gewest;264;Andere procedures op hepatobiliair stelsel en pancreas, abdominaal;7;Chirurgisch;1.430;422
Vlaams Gewest;279;Hepatisch coma en andere majeure acute leverstoornissen;7;Medisch;759;112
Vlaams Gewest;280;Alcoholische leverziekte;7;Medisch;1.703;163
Vlaams Gewest;281;Maligne aandoeningen van het hepatobiliair stelsel en de pancreas;7;Medisch;2.700;1.839
Vlaams Gewest;282;Stoornissen van de pancreas behalve maligne aandoeningen;7;Medisch;3.391;357
Vlaams Gewest;283;Andere leverstoornissen;7;Medisch;1.303;763
Vlaams Gewest;284;Stoornissen van de galblaas en de galwegen;7;Medisch;6.080;537
Vlaams Gewest;301;Vervanging van heupgewricht;8;Chirurgisch;19.020;7
Vlaams Gewest;302;Vervanging van kniegewricht;8;Chirurgisch;16.752;16
Vlaams Gewest;303;Dorsolumbale arthrodese bij wervelkolomafwijkingen;8;Chirurgisch;249;0
Vlaams Gewest;304;Dorsolumbale arthrodese behalve bij wervelkolomafwijkingen;8;Chirurgisch;5.121;0
Vlaams Gewest;305;Amputatie van onderste lidmaat behalve tenen;8;Chirurgisch;614;< 5
Vlaams Gewest;308;Herstellen van heup en femur fracturen;8;Chirurgisch;6.305;7
Vlaams Gewest;309;Andere significante procedures op heup en femur;8;Chirurgisch;2.586;1.505
Vlaams Gewest;310;Excisie en decompressie van discus intervertebralis;8;Chirurgisch;10.689;180
Vlaams Gewest;312;Huidgreffe behalve op de hand, voor musculo-skeletaal en bindweefsel diagnosen;8;Chirurgisch;424;369
Vlaams Gewest;313;Procedures op de knie en het onderbeen, behalve op de voet;8;Chirurgisch;10.496;29.546
Vlaams Gewest;314;Procedures op voet en tenen;8;Chirurgisch;10.337;5.432
Vlaams Gewest;315;Procedures op schouder, arm en voorarm behalve gewrichtsvervanging;8;Chirurgisch;23.769;10.990
Vlaams Gewest;316;Procedures op hand en pols;8;Chirurgisch;3.582;19.778
Vlaams Gewest;317;Procedures op pees, spier en andere weke weefsels;8;Chirurgisch;6.430;7.404
Vlaams Gewest;320;Andere procedures op musculo-skeletaalstelsel en bindweefsel;8;Chirurgisch;7.161;6.632
Vlaams Gewest;321;Cervicale artrodese en andere procedures op nek/rug, behalve excisie/decompressie discus intervertebralis;8;Chirurgisch;4.754;47
