code;description;médical_ou_chirurgical;mdc;type_d_hospitalisation;nombre_de_séjours
001;Transplantation hépatique et/ou intestinale;Chirurgical;PP;Classique;278
002;Transplantation cardiaque et/ou pulmonaire;Chirurgical;PP;Classique;169
003;Transplantation de moelle osseuse;Chirurgical;PP;Classique;910
003;Transplantation de moelle osseuse;Chirurgical;PP;De jour;15
004;ECMO ou trachéostomie avec ventilation mécanique de longue durée et procédure extensive;Chirurgical;PP;Classique;1186
004;ECMO ou trachéostomie avec ventilation mécanique de longue durée et procédure extensive;Chirurgical;PP;De jour;5
005;Trachéostomie avec ventilation mécanique de longue durée sans intervention extensive;Chirurgical;PP;Classique;709
006;Transplantation du pancréas;Chirurgical;PP;Classique;9
020;Craniotomie pour traumatisme;Chirurgical;01;Classique;929
020;Craniotomie pour traumatisme;Chirurgical;01;De jour;5
021;Craniotomie excepté pour traumatisme;Chirurgical;01;Classique;4175
021;Craniotomie excepté pour traumatisme;Chirurgical;01;De jour;29
022;Procédures concernant un shunt ventriculaire;Chirurgical;01;Classique;989
022;Procédures concernant un shunt ventriculaire;Chirurgical;01;De jour;13
023;Procédures au niveau de la colonne vertébrale et de la moelle épinière;Chirurgical;01;Classique;1852
023;Procédures au niveau de la colonne vertébrale et de la moelle épinière;Chirurgical;01;De jour;117
024;Procédures vasculaires extracrâniennes;Chirurgical;01;Classique;4596
024;Procédures vasculaires extracrâniennes;Chirurgical;01;De jour;30
026;Autres procédures du système nerveux et procédures apparentées;Chirurgical;01;Classique;3532
026;Autres procédures du système nerveux et procédures apparentées;Chirurgical;01;De jour;35398
040;Troubles et lésions de la colonne vertébrale et de la moelle épinière;Médical;01;Classique;475
040;Troubles et lésions de la colonne vertébrale et de la moelle épinière;Médical;01;De jour;60
041;Malignité du système nerveux;Médical;01;Classique;3077
041;Malignité du système nerveux;Médical;01;De jour;335
042;Troubles dégénératifs du système nerveux excepté la sclérose en plaques;Médical;01;Classique;12870
042;Troubles dégénératifs du système nerveux excepté la sclérose en plaques;Médical;01;De jour;166
043;Sclérose en plaques et autres maladies démyélinisantes;Médical;01;Classique;3385
043;Sclérose en plaques et autres maladies démyélinisantes;Médical;01;De jour;598
044;Hémorragie intracrânienne;Médical;01;Classique;3370
044;Hémorragie intracrânienne;Médical;01;De jour;51
045;Accident vasculaire cérébral et occlusion précérébrale avec infarctus;Médical;01;Classique;15806
045;Accident vasculaire cérébral et occlusion précérébrale avec infarctus;Médical;01;De jour;17
046;Accident vasculaire cérébral non spécifique et occlusion précérébrale sans infarctus;Médical;01;Classique;1104
