drg_36;libellé_drg;mdc_36;libellé_mdc;type_de_drg;hospitalisation_classique;hospitalisation_de_jour
001;001 Transplantation hépatique et/ou intestinale;PP;PP pre-MDC;Chirurgical;262;0
002;002 Transplantation cardiaque et/ou pulmonaire;PP;PP pre-MDC;Chirurgical;145;0
004;004 ECMO ou trachéostomie avec ventilation mécanique de longue durée et procédure extensive;PP;PP pre-MDC;Chirurgical;892;0
005;005 Trachéostomie avec ventilation mécanique de longue durée sans procédure extensive;PP;PP pre-MDC;Chirurgical;1 166;0
006;006 Transplantation du pancréas;PP;PP pre-MDC;Chirurgical;7;0
007;007 Transplantation de la moelle osseuse allogénique;PP;PP pre-MDC;Chirurgical;402;8
008;008 Transplantation de la moelle osseuse autologue;PP;PP pre-MDC;Chirurgical;548;0
009;009 Oxygénation corporelle par membrane (ECMO);PP;PP pre-MDC;Chirurgical;81;0
010;010 Traumatisme crânien avec coma profond;PP;PP pre-MDC;Médical;46;0
020;020 Craniotomie pour traumatisme;01;01 Système nerveux;Chirurgical;736;5
021;021 Craniotomie excepté pour traumatisme;01;01 Système nerveux;Chirurgical;5 115;27
022;022 Procédures sur le pontage ventriculaire;01;01 Système nerveux;Chirurgical;512;< 5
023;023 Procédures sur la colonne vertébrale et la moelle épinière;01;01 Système nerveux;Chirurgical;1 193;103
024;024 Procédures vasculaires extracrâniennes;01;01 Système nerveux;Chirurgical;5 272;85
026;026 Autres procédures sur le système nerveux et procédures associées;01;01 Système nerveux;Chirurgical;2 532;37 728
040;040 Troubles et traumatismes de la colonne vertebrale et de la moelle épiniere;01;01 Système nerveux;Médical;438;99
041;041 Affection maligne du système nerveux;01;01 Système nerveux;Médical;2 709;514
042;042 Troubles dégenératifs du système nerveux excepté la sclérose en plaques;01;01 Système nerveux;Médical;12 927;367
043;043 Sclérose en plaques et autres maladies démyélinisantes;01;01 Système nerveux;Médical;2 711;492
044;044 Hémorragie intracrânienne;01;01 Système nerveux;Médical;3 224;50
045;045 AVC et occlusion précérébrale avec infarctus;01;01 Système nerveux;Médical;14 936;99
046;046 AVC non spécifique et occlusion précérébrale sans infarctus;01;01 Système nerveux;Médical;585;153
047;047 Ischémie cérébrale transitoire (TIA);01;01 Système nerveux;Médical;6 877;64
048;048 Troubles des nerfs crâniens, périphériques et autonomes;01;01 Système nerveux;Médical;3 245;4 023
049;049 Infections bactériennes et tuberculeuses du système nerveux;01;01 Système nerveux;Médical;596;12
050;050 Infections non-bactériennes du système nerveux, excepté la méningite virale;01;01 Système nerveux;Médical;927;100
051;051 Méningite virale;01;01 Système nerveux;Médical;578;0
052;052 Altération de la conscience;01;01 Système nerveux;Médical;2 368;36
053;053 Crise épileptique;01;01 Système nerveux;Médical;16 340;361
054;054 Migraine et autres céphalées;01;01 Système nerveux;Médical;5 323;340
055;055 Traumatisme crânien avec coma > 1 heure ou avec hémorragie;01;01 Système nerveux;Médical;3 600;26
056;056 Contusion/lacération cérébrale et fracture du crâne compliquée, coma < 1heure ou sans coma;01;01 Système nerveux;Médical;247;5
057;057 Contusion, fract. du crâne fermée non spéc., traumatisme intracrân. non compl., coma < 1hr ou sans coma;01;01 Système nerveux;Médical;7 436;76
058;058 Autres troubles du système nerveux;01;01 Système nerveux;Médical;19 045;1 911
059;059 Lésions cérébrales graves, autres et anoxiques;01;01 Système nerveux;Médical;156;25
073;073 Procédures sur l'oeil et sur l'orbite;02;02 Affections des yeux;Chirurgical;8 484;150 172
082;082 Infections oculaires et autres troubles oculaires;02;02 Affections des yeux;Médical;3 650;4 158
089;089 Procédures majeures sur les os de la face et du crâne;03;03 Nez, gorge, oreilles, crâne et face;Chirurgical;1 748;26 369
091;091 Autres procédures majeures sur la tête et le cou;03;03 Nez, gorge, oreilles, crâne et face;Chirurgical;929;136
092;092 Procédures sur les os de la face, excepté procédures majeures sur les os du crâne/de la face;03;03 Nez, gorge, oreilles, crâne et face;Chirurgical;6 454;24 683
095;095 Réparation de la fente labiale et la fente palatine;03;03 Nez, gorge, oreilles, crâne et face;Chirurgical;149;39
097;097 Procédures sur les amygdales et les végétations;03;03 Nez, gorge, oreilles, crâne et face;Chirurgical;4 612;25 013
