drg_34;libellé_drg;mdc_34;libellé_mdc;type_de_diagnostic;hospitalisation_classique;hospitalisation_de_jour
1;Transplantation hépatique et/ou intestinale;PP;Pré-MDC;Chirurgical;294;0
2;Transplantation cardiaque et/ou pulmonaire;PP;Pré-MDC;Chirurgical;195;0
3;Transplantation de moelle osseuse;PP;Pré-MDC;Chirurgical;972;< 5
4;Oxygénation par membrane extracorporelle ou trachéostomie avec ventilation mécanique de longue durée et procédure extensive;PP;Pré-MDC;Chirurgical;1.537;< 5
5;Trachéostomie avec ventilation mécanique de longue durée sans intervention extensive;PP;Pré-MDC;Chirurgical;348;0
6;Transplantation du pancréas;PP;Pré-MDC;Chirurgical;11;0
20;Craniotomie pour traumatisme;1;Système nerveux;Chirurgical;872;5
21;Craniotomie excepté pour traumatisme;1;Système nerveux;Chirurgical;4.939;22
22;Procédures concernant un shunt ventriculaire;1;Système nerveux;Chirurgical;609;0
23;Procédures au niveau de la colonne vertébrale et de la moelle épinière;1;Système nerveux;Chirurgical;1.585;108
24;Procédures vasculaires extracrâniennes;1;Système nerveux;Chirurgical;5.169;63
26;Autres procédures du système nerveux et procédures apparentées;1;Système nerveux;Chirurgical;3.365;37.421
40;Troubles et lésions de la colonne vertébrale et de la moelle épinière;1;Système nerveux;Médical;567;76
41;Malignité du système nerveux;1;Système nerveux;Médical;3.154;416
42;Troubles dégénératifs du système nerveux excepté la sclérose en plaques;1;Système nerveux;Médical;12.976;164
43;Sclérose en plaques et autres maladies démyélinisantes;1;Système nerveux;Médical;4.180;279
44;Hémorragie intracrânienne;1;Système nerveux;Médical;3.508;48
45;Accident vasculaire cérébral et occlusion précérébrale avec infarctus;1;Système nerveux;Médical;15.357;37
46;Accident vasculaire cérébral non spécifique et occlusion précérébrale sans infarctus;1;Système nerveux;Médical;609;94
47;Ischémie cérébrale transitoire (TIA);1;Système nerveux;Médical;7.684;44
48;Troubles des nerfs crâniens, périphériques et autonomes;1;Système nerveux;Médical;4.308;5.485
49;Infections bactériennes et tuberculeuses du système nerveux;1;Système nerveux;Médical;732;20
50;Infections non-bactériennes du système nerveux, excepté méningite virale;1;Système nerveux;Médical;959;51
51;Méningite virale;1;Système nerveux;Médical;1.299;< 5
52;Comas et états stuporeux non traumatiques;1;Système nerveux;Médical;2.577;37
53;Crise épileptique;1;Système nerveux;Médical;16.694;387
54;Migraine et autres céphalées;1;Système nerveux;Médical;6.580;272
55;Traumatisme crânien avec coma > 1 h ou hémorragie;1;Système nerveux;Médical;3.525;13
56;Contusion ou lacération cérébrale et fracture du crâne compliquée, coma < 1 h ou pas de coma;1;Système nerveux;Médical;317;< 5
57;Contusion, fracture du crâne fermée non autrement spécifiée, lésion intracrânienne non compliquée, coma < 1 h ou pas de coma;1;Système nerveux;Médical;9.192;48
58;Autres troubles du système nerveux;1;Système nerveux;Médical;20.019;1.463
70;Procédures orbitaires;2;Affections des yeux;Chirurgical;552;299
73;Procédures sur  l'œil excepté sur l'orbite;2;Affections des yeux;Chirurgical;10.854;141.622
80;Infections aiguës majeures de l'œil;2;Affections des yeux;Médical;658;11
82;Troubles oculaires excepté infections majeures;2;Affections des yeux;Médical;2.951;3.131
89;Procédures majeures sur les os de la face et du crâne;3;Nez, gorge, oreilles;Chirurgical;2.067;23.410
90;Procédures majeures du larynx et de la trachée;3;Nez, gorge, oreilles;Chirurgical;335;156
91;Autres procédures majeures de la tête et du cou;3;Nez, gorge, oreilles;Chirurgical;726;58
92;Procédures sur les os de la face, excepté procédures majeures des os du crâne ou de la face;3;Nez, gorge, oreilles;Chirurgical;5.031;20.676
93;Procédures sur sinus et mastoïde;3;Nez, gorge, oreilles;Chirurgical;4.973;3.584
95;Réparation de la fente labiale et du palais;3;Nez, gorge, oreilles;Chirurgical;171;30
97;Procédures sur amygdales et végétations;3;Nez, gorge, oreilles;Chirurgical;7.784;33.869
98;Autres procédures sur l'oreille, le nez, la bouche et la gorge;3;Nez, gorge, oreilles;Chirurgical;13.403;37.716
110;Affections malignes de l'oreille, du nez, de la bouche, de la gorge, du crâne et de la face;3;Nez, gorge, oreilles;Médical;1.735;1.418
111;Vertige et autres troubles labyrinthiques;3;Nez, gorge, oreilles;Médical;5.869;45
113;Infection des voies aériennes supérieures;3;Nez, gorge, oreilles;Médical;20.529;944
114;Maladies et lésions dentaires et buccales;3;Nez, gorge, oreilles;Médical;4.362;117.270
115;Autres diagnostics de l'oreille, du nez, de la bouche, de la gorge, du crâne et de la face;3;Nez, gorge, oreilles;Médical;59.756;7.401
120;Interventions majeures sur le système respiratoire et le thorax;4;Système respiratoire;Chirurgical;3.585;249
121;Autres interventions sur le système respiratoire et le thorax;4;Système respiratoire;Chirurgical;3.784;418
130;Affection du système respiratoire avec assistance ventilatoire pendant plus de 96 heures;4;Système respiratoire;Médical;971;0
131;Mucoviscidose (cystic fibrosis) - maladie pulmonaire;4;Système respiratoire;Médical;861;47
