code;description;médical_ou_chirurgical;mdc;type_d_hospitalisation;nombre_de_séjours
001;Transplantation hépatique et/ou intestinale;Chirurgical;PP;Classique;295
002;Transplantation cardiaque et/ou pulmonaire;Chirurgical;PP;Classique;213
003;Transplantation de moelle osseuse;Chirurgical;PP;Classique;947
003;Transplantation de moelle osseuse;Chirurgical;PP;De jour;6
004;Oxygénation par membrane extracorporelle ou trachéostomie avec ventilation mécanique de longue durée et procédure extensive;Chirurgical;PP;Classique;1528
004;Oxygénation par membrane extracorporelle ou trachéostomie avec ventilation mécanique de longue durée et procédure extensive;Chirurgical;PP;De jour;1
005;Trachéostomie avec ventilation mécanique de longue durée sans intervention extensive;Chirurgical;PP;Classique;357
006;Transplantation du pancréas;Chirurgical;PP;Classique;11
020;Craniotomie pour traumatisme;Chirurgical;01;Classique;819
020;Craniotomie pour traumatisme;Chirurgical;01;De jour;3
021;Craniotomie excepté pour traumatisme;Chirurgical;01;Classique;4968
021;Craniotomie excepté pour traumatisme;Chirurgical;01;De jour;31
022;Procédures concernant un shunt ventriculaire;Chirurgical;01;Classique;550
022;Procédures concernant un shunt ventriculaire;Chirurgical;01;De jour;1
023;Procédures au niveau de la colonne vertébrale et de la moelle épinière;Chirurgical;01;Classique;1530
023;Procédures au niveau de la colonne vertébrale et de la moelle épinière;Chirurgical;01;De jour;140
024;Procédures vasculaires extracrâniennes;Chirurgical;01;Classique;5134
024;Procédures vasculaires extracrâniennes;Chirurgical;01;De jour;83
026;Autres procédures du système nerveux et procédures apparentées;Chirurgical;01;Classique;3491
026;Autres procédures du système nerveux et procédures apparentées;Chirurgical;01;De jour;37290
040;Troubles et lésions de la colonne vertébrale et de la moelle épinière;Médical;01;Classique;667
040;Troubles et lésions de la colonne vertébrale et de la moelle épinière;Médical;01;De jour;88
041;Malignité du système nerveux;Médical;01;Classique;3103
041;Malignité du système nerveux;Médical;01;De jour;323
042;Troubles dégénératifs du système nerveux excepté la sclérose en plaques;Médical;01;Classique;13477
042;Troubles dégénératifs du système nerveux excepté la sclérose en plaques;Médical;01;De jour;170
043;Sclérose en plaques et autres maladies démyélinisantes;Médical;01;Classique;4120
043;Sclérose en plaques et autres maladies démyélinisantes;Médical;01;De jour;325
044;Hémorragie intracrânienne;Médical;01;Classique;3586
044;Hémorragie intracrânienne;Médical;01;De jour;48
045;Accident vasculaire cérébral et occlusion précérébrale avec infarctus;Médical;01;Classique;15443
045;Accident vasculaire cérébral et occlusion précérébrale avec infarctus;Médical;01;De jour;37
046;Accident vasculaire cérébral non spécifique et occlusion précérébrale sans infarctus;Médical;01;Classique;741
046;Accident vasculaire cérébral non spécifique et occlusion précérébrale sans infarctus;Médical;01;De jour;97
047;Ischémie cérébrale transitoire (TIA);Médical;01;Classique;8000
047;Ischémie cérébrale transitoire (TIA);Médical;01;De jour;24
048;Troubles des nerfs crâniens, périphériques et autonomes;Médical;01;Classique;4276
048;Troubles des nerfs crâniens, périphériques et autonomes;Médical;01;De jour;5558
049;Infections bactériennes et tuberculeuses du système nerveux;Médical;01;Classique;688
049;Infections bactériennes et tuberculeuses du système nerveux;Médical;01;De jour;7
050;Infections non-bactériennes du système nerveux, excepté méningite virale;Médical;01;Classique;953
050;Infections non-bactériennes du système nerveux, excepté méningite virale;Médical;01;De jour;40
051;Méningite virale;Médical;01;Classique;1632
051;Méningite virale;Médical;01;De jour;6
052;Comas et états stuporeux non traumatiques;Médical;01;Classique;2604
052;Comas et états stuporeux non traumatiques;Médical;01;De jour;46
053;Crise épileptique;Médical;01;Classique;16857
053;Crise épileptique;Médical;01;De jour;338
054;Migraine et autres céphalées;Médical;01;Classique;6933
054;Migraine et autres céphalées;Médical;01;De jour;342
055;Traumatisme crânien avec coma > 1 h ou hémorragie;Médical;01;Classique;3311
055;Traumatisme crânien avec coma > 1 h ou hémorragie;Médical;01;De jour;14
056;Contusion ou lacération cérébrale et fracture du crâne compliquée, coma < 1 h ou pas de coma;Médical;01;Classique;349
057;Contusion, fracture du crâne fermée non autrement spécifiée, lésion intracrânienne non compliquée, coma < 1 h ou pas de coma;Médical;01;Classique;9320
057;Contusion, fracture du crâne fermée non autrement spécifiée, lésion intracrânienne non compliquée, coma < 1 h ou pas de coma;Médical;01;De jour;33
058;Autres troubles du système nerveux;Médical;01;Classique;20588
058;Autres troubles du système nerveux;Médical;01;De jour;1591
070;Procédures orbitaires;Chirurgical;02;Classique;574
070;Procédures orbitaires;Chirurgical;02;De jour;275
073;Procédures sur^{unicode 00A0} ^{unicode 006C}^{unicode 0027}^{unicode 0153}il excepté sur l'orbite;Chirurgical;02;Classique;11151
073;Procédures sur^{unicode 00A0} ^{unicode 006C}^{unicode 0027}^{unicode 0153}il excepté sur l'orbite;Chirurgical;02;De jour;143666
080;Infections aiguës majeures de ^{unicode 006C}^{unicode 0027}^{unicode 0153}il;Médical;02;Classique;680
080;Infections aiguës majeures de ^{unicode 006C}^{unicode 0027}^{unicode 0153}il;Médical;02;De jour;17
082;Troubles oculaires excepté infections majeures;Médical;02;Classique;3002
082;Troubles oculaires excepté infections majeures;Médical;02;De jour;4020
089;Procédures majeures sur les os de la face et du crâne;Chirurgical;03;Classique;1993
089;Procédures majeures sur les os de la face et du crâne;Chirurgical;03;De jour;21823
090;Procédures majeures du larynx et de la trachée;Chirurgical;03;Classique;313
090;Procédures majeures du larynx et de la trachée;Chirurgical;03;De jour;144
091;Autres procédures majeures de la tête et du cou;Chirurgical;03;Classique;685
091;Autres procédures majeures de la tête et du cou;Chirurgical;03;De jour;53
092;Procédures sur les os de la face, excepté procédures majeures des os du crâne ou de la face;Chirurgical;03;Classique;4819
092;Procédures sur les os de la face, excepté procédures majeures des os du crâne ou de la face;Chirurgical;03;De jour;20870
093;Procédures sur sinus et mastoïde;Chirurgical;03;Classique;5450
093;Procédures sur sinus et mastoïde;Chirurgical;03;De jour;3251
095;Réparation de la fente labiale et du palais;Chirurgical;03;Classique;186
095;Réparation de la fente labiale et du palais;Chirurgical;03;De jour;24
097;Procédures sur amygdales et végétations;Chirurgical;03;Classique;7964
097;Procédures sur amygdales et végétations;Chirurgical;03;De jour;33442
098;Autres procédures sur l'oreille, le nez, la bouche et la gorge;Chirurgical;03;Classique;14154
098;Autres procédures sur l'oreille, le nez, la bouche et la gorge;Chirurgical;03;De jour;37329
110;Affections malignes de l'oreille, du nez, de la bouche, de la gorge, du crâne et de la face;Médical;03;Classique;1718
110;Affections malignes de l'oreille, du nez, de la bouche, de la gorge, du crâne et de la face;Médical;03;De jour;1474
111;Vertige et autres troubles labyrinthiques;Médical;03;Classique;5928
111;Vertige et autres troubles labyrinthiques;Médical;03;De jour;46
113;Infection des voies aériennes supérieures;Médical;03;Classique;20067
113;Infection des voies aériennes supérieures;Médical;03;De jour;974
114;Maladies et lésions dentaires et buccales;Médical;03;Classique;4543
114;Maladies et lésions dentaires et buccales;Médical;03;De jour;116531
115;Autres diagnostics de l'oreille, du nez, de la bouche, de la gorge, du crâne et de la face;Médical;03;Classique;57674
