région;drg_34;libellé_drg;mdc_34;type_de_diagnostic;hospitalisation_classique;hospitalisation_de_jour
Région flamande;1;Transplantation hépatique et/ou intestinale;PP;Chirurgical;116;0
Région flamande;2;Transplantation cardiaque et/ou pulmonaire;PP;Chirurgical;102;0
Région flamande;3;Transplantation de moelle osseuse;PP;Chirurgical;540;0
Région flamande;4;Oxygénation par membrane extracorporelle ou trachéostomie avec ventilation mécanique de longue durée et procédure extensive;PP;Chirurgical;870;< 5
Région flamande;5;Trachéostomie avec ventilation mécanique de longue durée sans intervention extensive;PP;Chirurgical;171;0
Région flamande;6;Transplantation du pancréas;PP;Chirurgical;10;0
Région flamande;20;Craniotomie pour traumatisme;1;Chirurgical;406;< 5
Région flamande;21;Craniotomie excepté pour traumatisme;1;Chirurgical;2.730;18
Région flamande;22;Procédures concernant un shunt ventriculaire;1;Chirurgical;395;< 5
Région flamande;23;Procédures au niveau de la colonne vertébrale et de la moelle épinière;1;Chirurgical;872;62
Région flamande;24;Procédures vasculaires extracrâniennes;1;Chirurgical;2.957;61
Région flamande;26;Autres procédures du système nerveux et procédures apparentées;1;Chirurgical;1.817;22.137
Région flamande;40;Troubles et lésions de la colonne vertébrale et de la moelle épinière;1;Médical;363;53
Région flamande;41;Malignité du système nerveux;1;Médical;1.871;234
Région flamande;42;Troubles dégénératifs du système nerveux excepté la sclérose en plaques;1;Médical;7.927;143
Région flamande;43;Sclérose en plaques et autres maladies démyélinisantes;1;Médical;3.108;253
Région flamande;44;Hémorragie intracrânienne;1;Médical;2.006;21
Région flamande;45;Accident vasculaire cérébral et occlusion précérébrale avec infarctus;1;Médical;9.463;36
Région flamande;46;Accident vasculaire cérébral non spécifique et occlusion précérébrale sans infarctus;1;Médical;305;40
Région flamande;47;Ischémie cérébrale transitoire (TIA);1;Médical;4.749;19
Région flamande;48;Troubles des nerfs crâniens, périphériques et autonomes;1;Médical;2.580;1.693
Région flamande;49;Infections bactériennes et tuberculeuses du système nerveux;1;Médical;402;6
Région flamande;50;Infections non-bactériennes du système nerveux, excepté méningite virale;1;Médical;606;53
Région flamande;51;Méningite virale;1;Médical;645;0
Région flamande;52;Comas et états stuporeux non traumatiques;1;Médical;1.682;25
Région flamande;53;Crise épileptique;1;Médical;9.459;194
Région flamande;54;Migraine et autres céphalées;1;Médical;4.413;199
Région flamande;55;Traumatisme crânien avec coma > 1 h ou hémorragie;1;Médical;1.976;5
Région flamande;56;Contusion ou lacération cérébrale et fracture du crâne compliquée, coma < 1 h ou pas de coma;1;Médical;167;0
Région flamande;57;Contusion, fracture du crâne fermée non autrement spécifiée, lésion intracrânienne non compliquée, coma < 1 h ou pas de coma;1;Médical;5.763;22
Région flamande;58;Autres troubles du système nerveux;1;Médical;10.940;883
Région flamande;70;Procédures orbitaires;2;Chirurgical;244;167
Région flamande;73;Procédures sur  l'œil excepté sur l'orbite;2;Chirurgical;6.050;87.358
Région flamande;80;Infections aiguës majeures de l'œil;2;Médical;408;10
Région flamande;82;Troubles oculaires excepté infections majeures;2;Médical;1.639;2.003
Région flamande;89;Procédures majeures sur les os de la face et du crâne;3;Chirurgical;1.335;22.300
Région flamande;90;Procédures majeures du larynx et de la trachée;3;Chirurgical;175;86
