drg_34;drg_beschrijving;mdc_34;mdc_beschrijving;soort_diagnose;klassieke_hospitalisatie;daghospitalisatie
1;Lever- en/of darmtransplantatie;PP;Pre-MDC;Chirurgisch;275;0
2;Hart- en/of longtransplantatie;PP;Pre-MDC;Chirurgisch;200;0
3;Beenmergtransplantatie;PP;Pre-MDC;Chirurgisch;999;< 5
4;Extracorporele membraanoxygenatie of tracheostomie met langdurige mechanische ventilatie met extensieve procedure;PP;Pre-MDC;Chirurgisch;1539;< 5
5;Tracheostomie met langdurige mechanische ventilatie zonder extensieve procedure;PP;Pre-MDC;Chirurgisch;338;0
6;Pancreastransplantatie;PP;Pre-MDC;Chirurgisch;11;0
20;Craniotomie voor trauma;1;Zenuwstelsel;Chirurgisch;782;5
21;Craniotomie behalve voor trauma;1;Zenuwstelsel;Chirurgisch;4966;32
22;Procedures op een ventriculaire shunt;1;Zenuwstelsel;Chirurgisch;541;< 5
23;Spinale procedures;1;Zenuwstelsel;Chirurgisch;1436;95
24;Extracraniale vasculaire procedures;1;Zenuwstelsel;Chirurgisch;5606;95
26;Andere procedures op het zenuwstelsel en gerelateerde procedures;1;Zenuwstelsel;Chirurgisch;3147;37564
40;Spinale stoornissen en letsels;1;Zenuwstelsel;Medisch;471;97
41;Maligniteit van het zenuwstelsel;1;Zenuwstelsel;Medisch;3053;383
42;Degeneratieve stoornissen van het zenuwstelsel met uitzondering van multipele sclerose;1;Zenuwstelsel;Medisch;12334;269
43;Multipele sclerose en andere demyeliniserende ziekten;1;Zenuwstelsel;Medisch;3452;448
44;Intracraniële hemorragie;1;Zenuwstelsel;Medisch;3243;46
45;CVA en precerebrale occlusie met infarct;1;Zenuwstelsel;Medisch;15208;65
46;Niet specifieke CVA en precerebrale occlusie zonder infarct;1;Zenuwstelsel;Medisch;593;138
47;Transitoire cerebrale ischemie (TIA);1;Zenuwstelsel;Medisch;7616;29
48;Stoornissen van de perifere, craniale en autonome zenuwen;1;Zenuwstelsel;Medisch;4342;4010
49;Bacteriële en tuberculeuze infecties van het zenuwstelsel;1;Zenuwstelsel;Medisch;705;5
50;Niet bacteriële infecties van het zenuwstelsel behalve virale meningitis;1;Zenuwstelsel;Medisch;1051;63
51;Virale meningitis;1;Zenuwstelsel;Medisch;1119;< 5
52;Niet-traumatische stupor en coma;1;Zenuwstelsel;Medisch;2676;36
53;Epileptisch insult;1;Zenuwstelsel;Medisch;17177;352
54;Migraine en andere hoofdpijn;1;Zenuwstelsel;Medisch;6767;329
55;Hoofdtrauma met coma > 1 uur of met hemorragie;1;Zenuwstelsel;Medisch;3774;23
56;Cerebrale contusie/laceratie en gecompliceerde schedelbreuk, met coma < 1 uur of zonder coma;1;Zenuwstelsel;Medisch;326;< 5
57;Hersenschudding, gesloten schedelbreuk niet anders gespecificeerd, niet gecompliceerd intracraniaal letsel, coma < 1 uur of geen coma;1;Zenuwstelsel;Medisch;8355;50
58;Andere stoornissen van het zenuwstelsel;1;Zenuwstelsel;Medisch;20079;1773
70;Procedures op de orbita;2;Oogaandoeningen;Chirurgisch;571;264
73;Procedures op het oog behalve op de orbita;2;Oogaandoeningen;Chirurgisch;10808;149425
80;Acute majeure ooginfecties;2;Oogaandoeningen;Medisch;659;29
82;Oogstoornissen behalve majeure infecties;2;Oogaandoeningen;Medisch;2886;2967
89;Majeure procedures op aangezichts- en schedelbeenderen;3;Neus, keel en oren;Chirurgisch;1914;27175
90;Majeure procedures op larynx en trachea;3;Neus, keel en oren;Chirurgisch;317;162
91;Andere majeure procedures op hoofd en hals;3;Neus, keel en oren;Chirurgisch;739;52
92;Procedures op aangezichtsbeenderen, behalve majeure procedures op aangezichts- en schedelbeenderen;3;Neus, keel en oren;Chirurgisch;6056;25888
93;Procedures op sinussen en mastoïd;3;Neus, keel en oren;Chirurgisch;4768;4134
95;Palatoplastie en herstel van hazelip;3;Neus, keel en oren;Chirurgisch;159;26
97;Procedures op tonsillen en adenoïden;3;Neus, keel en oren;Chirurgisch;7196;31363
98;Andere procedures op oren, neus, mond en keel;3;Neus, keel en oren;Chirurgisch;13420;38596
110;Maligne aandoeningen van oren, neus, mond, keel, schedel/aangezicht;3;Neus, keel en oren;Medisch;1557;1462
111;Vertigo en andere labyrintstoornissen;3;Neus, keel en oren;Medisch;6086;64
113;Infecties bovenste luchtwegen;3;Neus, keel en oren;Medisch;23870;880
114;Dentale en orale ziekten en letsels;3;Neus, keel en oren;Medisch;4383;124135
115;Andere diagnosen van oren, neus, mond, keel en schedel/aangezicht;3;Neus, keel en oren;Medisch;67850;8685
120;Majeure thoracale en respiratoire procedures;4;Ademhalingsstelsel;Chirurgisch;3929;364
121;Andere respiratoire en thoracale procedures;4;Ademhalingsstelsel;Chirurgisch;4091;454
130;Diagnose van het respiratoire stelsel met kunstmatige beademing 96+ uur;4;Ademhalingsstelsel;Medisch;884;0
131;Mucoviscidose (cystic fibrosis) - longziekte;4;Ademhalingsstelsel;Medisch;884;31
132;Bronchopulmonale dysplasie en andere chronische respiratoire ziekten ontstaan in de perinatale periode;4;Ademhalingsstelsel;Medisch;126;5
133;Respiratoire insufficiëntie;4;Ademhalingsstelsel;Medisch;1242;6
134;Longembolie;4;Ademhalingsstelsel;Medisch;5616;18
135;Majeur thoracaal en respiratoir trauma;4;Ademhalingsstelsel;Medisch;3921;22
136;Maligne respiratoire aandoening;4;Ademhalingsstelsel;Medisch;8143;5042
137;Majeure respiratoire infecties en inflammaties;4;Ademhalingsstelsel;Medisch;8916;198
138;Bronchiolitis en respiratoir syncytiaal virus (RSV) pneumonie;4;Ademhalingsstelsel;Medisch;12168;28
139;Andere pneumonie;4;Ademhalingsstelsel;Medisch;33365;150
140;Chronische obstructieve longaandoeningen;4;Ademhalingsstelsel;Medisch;32386;870
141;Astma;4;Ademhalingsstelsel;Medisch;4990;116
142;Interstitiële en alveolaire longziekte;4;Ademhalingsstelsel;Medisch;2059;449
143;Andere respiratoire diagnosen behalve tekens, symptomen en mineure diagnosen;4;Ademhalingsstelsel;Medisch;5664;1240
144;Respiratoire tekens, symptomen en mineure diagnosen;4;Ademhalingsstelsel;Medisch;21620;4306
160;Majeur cardiothoracaal herstel van hartanomalie;5;Hart en vaatstelsel;Chirurgisch;119;0
161;Inplantatie van hartdefibrillator en hartassistentiesyteem;5;Hart en vaatstelsel;Chirurgisch;1825;21
162;Procedures op hartkleppen met acuut myocardinfarct of complexe hoofddiagnose;5;Hart en vaatstelsel;Chirurgisch;562;0
163;Procedures op hartkleppen zonder acuut myocardinfarct of complexe hoofddiagnose;5;Hart en vaatstelsel;Chirurgisch;3517;0
165;Coronaire overbrugging met acuut myocardinfarct of complexe hoofddiagnose;5;Hart en vaatstelsel;Chirurgisch;1108;< 5
