apr-drg;apr-drg_label;mdc_label;médical_ou_chirurgical;type_d_hospitalisation;code_ins;région;nombre_de_séjours
950;Procédure extensive sans relation avec le diagnostic principal;MDC 00 : Groupe résiduel;Chirurgical;Classique;2000;Région flamande;2 684
950;Procédure extensive sans relation avec le diagnostic principal;MDC 00 : Groupe résiduel;Chirurgical;Classique;3000;Région wallonne;1 904
950;Procédure extensive sans relation avec le diagnostic principal;MDC 00 : Groupe résiduel;Chirurgical;Classique;4000;Région de Bruxelles-Capitale;393
950;Procédure extensive sans relation avec le diagnostic principal;MDC 00 : Groupe résiduel;Chirurgical;Classique;0;Domicile étranger;123
950;Procédure extensive sans relation avec le diagnostic principal;MDC 00 : Groupe résiduel;Chirurgical;Classique;9999;Sans domicile fixe;< 5
950;Procédure extensive sans relation avec le diagnostic principal;MDC 00 : Groupe résiduel;Chirurgical;De jour;2000;Région flamande;861
950;Procédure extensive sans relation avec le diagnostic principal;MDC 00 : Groupe résiduel;Chirurgical;De jour;3000;Région wallonne;321
950;Procédure extensive sans relation avec le diagnostic principal;MDC 00 : Groupe résiduel;Chirurgical;De jour;4000;Région de Bruxelles-Capitale;96
950;Procédure extensive sans relation avec le diagnostic principal;MDC 00 : Groupe résiduel;Chirurgical;De jour;0;Domicile étranger;47
951;Procédure modérément étendue sans relation avec le diagnostic principal;MDC 00 : Groupe résiduel;Chirurgical;Classique;2000;Région flamande;7 337
951;Procédure modérément étendue sans relation avec le diagnostic principal;MDC 00 : Groupe résiduel;Chirurgical;Classique;3000;Région wallonne;4 340
951;Procédure modérément étendue sans relation avec le diagnostic principal;MDC 00 : Groupe résiduel;Chirurgical;Classique;4000;Région de Bruxelles-Capitale;1 044
951;Procédure modérément étendue sans relation avec le diagnostic principal;MDC 00 : Groupe résiduel;Chirurgical;Classique;0;Domicile étranger;243
951;Procédure modérément étendue sans relation avec le diagnostic principal;MDC 00 : Groupe résiduel;Chirurgical;Classique;9999;Sans domicile fixe;< 5
951;Procédure modérément étendue sans relation avec le diagnostic principal;MDC 00 : Groupe résiduel;Chirurgical;De jour;2000;Région flamande;2 109
951;Procédure modérément étendue sans relation avec le diagnostic principal;MDC 00 : Groupe résiduel;Chirurgical;De jour;3000;Région wallonne;946
