drg_36;drg_beschrijving;mdc_36;mdc_beschrijving;soort_drg;klassieke_hospitalisatie;daghospitalisatie
001;001 Lever- en/of darmtransplantatie;PP;PP pre-MDC;Chirurgisch;237;0
002;002 Hart- en/of longtransplantatie;PP;PP pre-MDC;Chirurgisch;151;0
004;004 ECMO of tracheostomie met langdurige mechanische ventilatie met extensieve procedure;PP;PP pre-MDC;Chirurgisch;822;0
005;005 Tracheostomie met langdurige mechanische ventilatie zonder extensieve procedure;PP;PP pre-MDC;Chirurgisch;1 034;0
006;006 Pancreastransplantatie;PP;PP pre-MDC;Chirurgisch;7;0
007;007 Allogene beenmergtransplantatie;PP;PP pre-MDC;Chirurgisch;424;< 5
008;008 Autologe beenmergtransplantatie;PP;PP pre-MDC;Chirurgisch;542;< 5
009;009 Extracorporele membraanoxygenatie (ECMO);PP;PP pre-MDC;Chirurgisch;56;< 5
010;010 Hoofdtrauma met diepe coma;PP;PP pre-MDC;Medisch;58;0
020;020 Craniotomie voor trauma;01;01 Zenuwstelsel;Chirurgisch;731;< 5
021;021 Craniotomie behalve voor trauma;01;01 Zenuwstelsel;Chirurgisch;4 619;26
022;022 Procedures op ventriculaire shunt;01;01 Zenuwstelsel;Chirurgisch;462;< 5
023;023 Spinale procedures;01;01 Zenuwstelsel;Chirurgisch;1 026;81
024;024 Extracraniële vasculaire procedures;01;01 Zenuwstelsel;Chirurgisch;4 887;100
026;026 Andere procedures op zenuwstelsel en gerelateerde procedures;01;01 Zenuwstelsel;Chirurgisch;2 242;29 495
040;040 Spinale stoornissen en letsels;01;01 Zenuwstelsel;Medisch;412;92
041;041 Maligne aandoening van zenuwstelsel;01;01 Zenuwstelsel;Medisch;2 698;438
042;042 Degeneratieve stoornissen van zenuwstelsel met uitzondering van multipele sclerose;01;01 Zenuwstelsel;Medisch;13 205;325
043;043 Multipele sclerose en andere demyeliniserende ziekten;01;01 Zenuwstelsel;Medisch;2 862;441
044;044 Intracraniële hemorragie;01;01 Zenuwstelsel;Medisch;3 167;39
045;045 CVA en precerebrale occlusie met infarct;01;01 Zenuwstelsel;Medisch;14 731;78
046;046 Niet gespecifieerde CVA en precerebrale occlusie zonder infarct;01;01 Zenuwstelsel;Medisch;542;127
047;047 Transitoire cerebrale ischemie (TIA);01;01 Zenuwstelsel;Medisch;6 469;49
048;048 Stoornissen van perifere, craniale en autonome zenuwen;01;01 Zenuwstelsel;Medisch;3 249;3 407
049;049 Bacteriële en tuberculeuze infecties van zenuwstelsel;01;01 Zenuwstelsel;Medisch;563;< 5
050;050 Niet bacteriële infecties van zenuwstelsel behalve virale meningitis;01;01 Zenuwstelsel;Medisch;832;76
051;051 Virale meningitis;01;01 Zenuwstelsel;Medisch;433;< 5
052;052 Wijziging in bewustzijn;01;01 Zenuwstelsel;Medisch;2 131;35
053;053 Epileptisch insult;01;01 Zenuwstelsel;Medisch;14 905;318
054;054 Migraine en andere hoofdpijn;01;01 Zenuwstelsel;Medisch;4 745;264
055;055 Hoofdtrauma met coma > 1 uur of met hemorragie;01;01 Zenuwstelsel;Medisch;3 361;22
056;056 Cerebrale contusie/laceratie en gecompliceerde schedelbreuk, met coma < 1 uur of zonder coma;01;01 Zenuwstelsel;Medisch;268;< 5
057;057 Hersenschud., gesl. schedelbreuk niet aanders gespec., niet gecompl. intracran. letsel, coma < 1u of geen coma;01;01 Zenuwstelsel;Medisch;7 358;48
058;058 Andere stoornissen van zenuwstelsel;01;01 Zenuwstelsel;Medisch;16 279;1 713
059;059 Anoxische en andere ernstige hersenschade;01;01 Zenuwstelsel;Medisch;163;19
073;073 Procedures op oog en orbita;02;02 Oogaandoeningen;Chirurgisch;7 556;112 826
082;082 Ooginfecties en andere stoornissen van oog;02;02 Oogaandoeningen;Medisch;3 520;3 059
089;089 Majeure procedures op aangezichts- en schedelbeenderen;03;03 Neus, keel, oren, schedel en aangezicht;Chirurgisch;1 514;23 379
091;091 Andere majeure procedures op hoofd en hals;03;03 Neus, keel, oren, schedel en aangezicht;Chirurgisch;895;115
092;092 Procedures op aangezichtsbeenderen, behalve maj. proc. op aangezichts-/schedelbeenderen;03;03 Neus, keel, oren, schedel en aangezicht;Chirurgisch;4 764;21 341
095;095 Palatoplastie en herstel van hazenlip;03;03 Neus, keel, oren, schedel en aangezicht;Chirurgisch;158;31
097;097 Procedures op tonsillen en adenoïden;03;03 Neus, keel, oren, schedel en aangezicht;Chirurgisch;3 900;16 261
098;098 Andere procedures op oren, neus, mond en keel;03;03 Neus, keel, oren, schedel en aangezicht;Chirurgisch;12 160;25 617
110;110 Maligne aandoeningen van oren, neus, mond, keel, schedel/aangezicht;03;03 Neus, keel, oren, schedel en aangezicht;Medisch;1 446;1 696
111;111 Vertigo en andere labyrinthstoornissen;03;03 Neus, keel, oren, schedel en aangezicht;Medisch;4 710;160
113;113 Infecties bovenste luchtwegen;03;03 Neus, keel, oren, schedel en aangezicht;Medisch;15 674;2 275
114;114 Dentale en orale ziekten en aandoeningen;03;03 Neus, keel, oren, schedel en aangezicht;Medisch;1 578;96 417
115;115 Andere diagnoses van oren, neus, mond, keel en schedel/aangezicht;03;03 Neus, keel, oren, schedel en aangezicht;Medisch;50 954;13 080
120;120 Majeure thoracale en respiratoire procedures;04;04 Ademhalingsstelsel;Chirurgisch;1 632;7
121;121 Andere respiratoire en thoracale procedures;04;04 Ademhalingsstelsel;Chirurgisch;4 503;573
130;130 Diagnose van respiratoire stelsel met kunstmatige beademing 96+uur;04;04 Ademhalingsstelsel;Medisch;3 364;0
131;131 Mucoviscidose (cystic fibrosis) - longziekte;04;04 Ademhalingsstelsel;Medisch;677;22
132;132 Bronchopulmonale dysplasie en andere chron. resp. ziekten ontstaan in perinatale periode;04;04 Ademhalingsstelsel;Medisch;99;< 5
133;133 Respiratoire insufficiëntie;04;04 Ademhalingsstelsel;Medisch;4 618;14
134;134 Longembolie;04;04 Ademhalingsstelsel;Medisch;5 592;16
135;135 Majeur thoracaal en respiratoir trauma;04;04 Ademhalingsstelsel;Medisch;3 384;29
136;136 Maligne respiratoire aandoening;04;04 Ademhalingsstelsel;Medisch;7 165;5 035
137;137 Majeure respiratoire infecties en inflammaties;04;04 Ademhalingsstelsel;Medisch;8 186;177
138;138 Bronchiolitis en RSV pneumonie;04;04 Ademhalingsstelsel;Medisch;4 479;25
139;139 Andere pneumonie;04;04 Ademhalingsstelsel;Medisch;52 797;132
140;140 Chronische obstructieve longaandoening;04;04 Ademhalingsstelsel;Medisch;22 332;495
141;141 Astma;04;04 Ademhalingsstelsel;Medisch;3 285;67
142;142 Interstitiële en alveolaire longziekte;04;04 Ademhalingsstelsel;Medisch;1 799;451
143;143 Andere respiratoire diagnosen behalve tekens, symptomen en mineure diagnosen;04;04 Ademhalingsstelsel;Medisch;4 790;1 091
144;144 Respiratoire tekens, symptomen en mineure diagnosen;04;04 Ademhalingsstelsel;Medisch;13 049;2 791
145;145 Acute bronchitis en gerelateerde symptomen;04;04 Ademhalingsstelsel;Medisch;5 524;791
160;160 Majeur cardiothoracaal herstel van hartanomalie;05;05 Hart en vaatstelsel;Chirurgisch;157;0
161;161 Implantatie van hartdefibrillator en hartassistentiesyteem;05;05 Hart en vaatstelsel;Chirurgisch;2 024;25
162;162 Procedures op hartkleppen met AMI of complexe hoofddiagnose;05;05 Hart en vaatstelsel;Chirurgisch;471;0
163;163 Procedures op hartkleppen zonder AMI of complexe hoofddiagnose;05;05 Hart en vaatstelsel;Chirurgisch;3 549;0
165;165 Coronaire overbrugging met AMI of complexe hoofddiagnose;05;05 Hart en vaatstelsel;Chirurgisch;963;< 5
166;166 Coronaire overbrugging zonder AMI of complexe hoofddiagnose;05;05 Hart en vaatstelsel;Chirurgisch;3 720;< 5
167;167 Andere cardiothoracale procedures en thoracovasculaire procedures;05;05 Hart en vaatstelsel;Chirurgisch;1 919;250
169;169 Majeure abdominale vasculaire procedures;05;05 Hart en vaatstelsel;Chirurgisch;1 804;11
170;170 Implantatie van permanente pacemaker met AMI, hartdecompensatie of shock;05;05 Hart en vaatstelsel;Chirurgisch;64;0
171;171 Implanteren van permanente pacemaker zonder AMI, hartdecompensatie of shock;05;05 Hart en vaatstelsel;Chirurgisch;7 031;28
174;174 Percutane coronaire procedures met AMI;05;05 Hart en vaatstelsel;Chirurgisch;9 039;609
175;175 Percutane coronaire procedures zonder AMI;05;05 Hart en vaatstelsel;Chirurgisch;27 279;2 885
176;176 Vervangen van pacemaker of defibrillator;05;05 Hart en vaatstelsel;Chirurgisch;2 133;408
177;177 Revisie van pacemaker of defibrillator behalve vervanging van hulpmiddel;05;05 Hart en vaatstelsel;Chirurgisch;604;6
180;180 Andere procedures op circulatoir systeem;05;05 Hart en vaatstelsel;Chirurgisch;1 944;12 934
181;181 Procedures op arteries van onderste ledematen;05;05 Hart en vaatstelsel;Chirurgisch;15 562;1 234
182;182 Andere perifere vasculaire procedures;05;05 Hart en vaatstelsel;Chirurgisch;3 813;3 090
190;190 Acuut myocardinfarct;05;05 Hart en vaatstelsel;Medisch;6 070;667
191;191 Hartkatheterisatie voor coronaire ziekten;05;05 Hart en vaatstelsel;Medisch;9 153;17 483
192;192 Hartkatheterisatie voor andere niet-coronaire aandoeningen;05;05 Hart en vaatstelsel;Medisch;10 892;7 379
193;193 Acute en subacute endocarditis;05;05 Hart en vaatstelsel;Medisch;231;< 5
194;194 Hartfalen;05;05 Hart en vaatstelsel;Medisch;21 790;115
196;196 Hartstilstand en shock;05;05 Hart en vaatstelsel;Medisch;1 141;113
197;197 Perifere en andere vasculaire stoornissen;05;05 Hart en vaatstelsel;Medisch;4 201;1 538
198;198 Angina pectoris en coronaire atherosclerose;05;05 Hart en vaatstelsel;Medisch;3 317;108
199;199 Hypertensie;05;05 Hart en vaatstelsel;Medisch;2 090;70
200;200 Structurele hartaandoeningen en kleplijden;05;05 Hart en vaatstelsel;Medisch;990;212
201;201 Hartaritmie en geleidingsstoornissen;05;05 Hart en vaatstelsel;Medisch;14 645;7 419
203;203 Thoracale pijn;05;05 Hart en vaatstelsel;Medisch;3 402;248
204;204 Syncope en collaps;05;05 Hart en vaatstelsel;Medisch;9 042;141
205;205 Cardiomyopathie;05;05 Hart en vaatstelsel;Medisch;307;17
206;206 Dysfunctie, reactie op en compl. op cardiaal of vasc. hulpmiddel of procedure;05;05 Hart en vaatstelsel;Medisch;1 231;564
207;207 Andere diagnosen van het circulatoir systeem;05;05 Hart en vaatstelsel;Medisch;4 938;474
220;220 Majeure procedures op oesofagus, maag en duodenum;06;06 Spijsverteringsstelsel;Chirurgisch;2 886;45
222;222 Andere procedures op oesofagus, maag, duodenum;06;06 Spijsverteringsstelsel;Chirurgisch;1 220;335
223;223 Andere procedures op dunne en dikke darm;06;06 Spijsverteringsstelsel;Chirurgisch;1 459;1 785
224;224 Peritoneale adhesiolyse;06;06 Spijsverteringsstelsel;Chirurgisch;1 750;125
226;226 Procedures op anus;06;06 Spijsverteringsstelsel;Chirurgisch;3 645;7 349
227;227 Procedures voor hernia behalve voor hernia inguinalis, femoralis en umbilicalis;06;06 Spijsverteringsstelsel;Chirurgisch;6 196;2 605
228;228 Procedures voor hernia inguinalis, femoralis en umbilicalis;06;06 Spijsverteringsstelsel;Chirurgisch;10 766;11 112
229;229 Andere procedures op spijsverteringsstelsel en abdomen;06;06 Spijsverteringsstelsel;Chirurgisch;2 516;667
230;230 Majeure procedures op dunne darm;06;06 Spijsverteringsstelsel;Chirurgisch;6 116;22
231;231 Majeure procedures op dikke darm;06;06 Spijsverteringsstelsel;Chirurgisch;10 489;338
232;232 Fundoplicatie van maag;06;06 Spijsverteringsstelsel;Chirurgisch;824;< 5
233;233 Appendectomie met complexe hoofddiagnose;06;06 Spijsverteringsstelsel;Chirurgisch;2 499;14
234;234 Appendectomie zonder complexe hoofddiagnose;06;06 Spijsverteringsstelsel;Chirurgisch;10 055;263
240;240 Maligne aandoeningen van spijsverteringsstelsel;06;06 Spijsverteringsstelsel;Medisch;6 196;8 326
241;241 Peptisch ulcus en gastritis;06;06 Spijsverteringsstelsel;Medisch;6 077;16 685
242;242 Majeure slokdarmstoorinissen;06;06 Spijsverteringsstelsel;Medisch;997;617
243;243 Andere slokdarmstoornissen;06;06 Spijsverteringsstelsel;Medisch;5 032;18 224
244;244 Diverticulitis en diverticulosis;06;06 Spijsverteringsstelsel;Medisch;8 319;16 098
245;245 Inflammatoire darmziekten;06;06 Spijsverteringsstelsel;Medisch;3 059;9 188
246;246 Gastro-intestinale vasculaire insufficientie;06;06 Spijsverteringsstelsel;Medisch;1 225;136
247;247 Intestinale obstructie;06;06 Spijsverteringsstelsel;Medisch;7 419;285
248;248 Majeure gastro-intestinale en peritoneale infecties;06;06 Spijsverteringsstelsel;Medisch;4 225;188
249;249 Andere gastro-enteritis, misselijkheid en braken;06;06 Spijsverteringsstelsel;Medisch;18 700;7 068
251;251 Abdominale pijn;06;06 Spijsverteringsstelsel;Medisch;4 356;7 160
252;252 Dysfunctie, reactie op en complic, van gastro-intestinaal hulpmiddel of procedure;06;06 Spijsverteringsstelsel;Medisch;2 678;974
253;253 Andere en niet gespecificeerde gastro-intestinale hemorragie;06;06 Spijsverteringsstelsel;Medisch;2 747;1 836
254;254 Andere diagnosen van spijsverteringsstelsel;06;06 Spijsverteringsstelsel;Medisch;18 341;95 579
260;260 Majeure pancreas-, lever- en shuntprocedures;07;07 Hepatobiliair stelsel en pancreas;Chirurgisch;2 083;77
261;261 Majeure procedures op galwegen;07;07 Hepatobiliair stelsel en pancreas;Chirurgisch;358;9
