code;beschrijving;medisch_of_chirurgicsh;mdc;soort_hospitalisatie;aantal_verblijven
001;Lever- en/of darmtransplantatie;Chirurgisch;PP;Klass. hosp;278
002;Hart- en/of longtransplantatie;Chirurgisch;PP;Klass. hosp;169
003;Beenmergtransplantatie;Chirurgisch;PP;Klass. hosp;910
003;Beenmergtransplantatie;Chirurgisch;PP;Daghosp.;15
004;ECMO of tracheostomie met langdurige mechanische ventilatie met extensieve procedure;Chirurgisch;PP;Klass. hosp;1186
004;ECMO of tracheostomie met langdurige mechanische ventilatie met extensieve procedure;Chirurgisch;PP;Daghosp.;5
005;Tracheostomie met langdurige mechanische ventilatie zonder extensieve procedure;Chirurgisch;PP;Klass. hosp;709
006;Pancreastransplantatie;Chirurgisch;PP;Klass. hosp;9
020;Craniotomie voor trauma;Chirurgisch;01;Klass. hosp;929
020;Craniotomie voor trauma;Chirurgisch;01;Daghosp.;5
021;Craniotomie behalve voor trauma;Chirurgisch;01;Klass. hosp;4175
021;Craniotomie behalve voor trauma;Chirurgisch;01;Daghosp.;29
022;Procedures op een ventriculaire shunt;Chirurgisch;01;Klass. hosp;989
022;Procedures op een ventriculaire shunt;Chirurgisch;01;Daghosp.;13
023;Spinale procedures;Chirurgisch;01;Klass. hosp;1852
023;Spinale procedures;Chirurgisch;01;Daghosp.;117
024;Extracraniale vasculaire procedures;Chirurgisch;01;Klass. hosp;4596
024;Extracraniale vasculaire procedures;Chirurgisch;01;Daghosp.;30
026;Andere procedures op het zenuwstelsel en gerelateerde procedures;Chirurgisch;01;Klass. hosp;3532
026;Andere procedures op het zenuwstelsel en gerelateerde procedures;Chirurgisch;01;Daghosp.;35398
040;Spinale stoornissen en letsels;Medisch;01;Klass. hosp;475
040;Spinale stoornissen en letsels;Medisch;01;Daghosp.;60
041;Maligniteit van het zenuwstelsel;Medisch;01;Klass. hosp;3077
041;Maligniteit van het zenuwstelsel;Medisch;01;Daghosp.;335
042;Degeneratieve stoornissen van het zenuwstelsel met uitzondering van multipele sclerose;Medisch;01;Klass. hosp;12870
042;Degeneratieve stoornissen van het zenuwstelsel met uitzondering van multipele sclerose;Medisch;01;Daghosp.;166
043;Multipele sclerose en andere demyeliniserende ziekten;Medisch;01;Klass. hosp;3385
043;Multipele sclerose en andere demyeliniserende ziekten;Medisch;01;Daghosp.;598
044;Intracraniële hemorragie;Medisch;01;Klass. hosp;3370
044;Intracraniële hemorragie;Medisch;01;Daghosp.;51
045;CVA en precerebrale occlusie met infarct;Medisch;01;Klass. hosp;15806
045;CVA en precerebrale occlusie met infarct;Medisch;01;Daghosp.;17
046;Niet specifieke CVA en precerebrale occlusie zonder infarct;Medisch;01;Klass. hosp;1104
046;Niet specifieke CVA en precerebrale occlusie zonder infarct;Medisch;01;Daghosp.;82
047;Transitoire (cerebrale) ischemie (TIA);Medisch;01;Klass. hosp;7410
047;Transitoire (cerebrale) ischemie (TIA);Medisch;01;Daghosp.;18
048;Stoornissen van de perifere, craniale en autonome zenuwen;Medisch;01;Klass. hosp;4174
048;Stoornissen van de perifere, craniale en autonome zenuwen;Medisch;01;Daghosp.;6752
049;Bacteriele en tuberculeuze infecties van het zenuwstelsel;Medisch;01;Klass. hosp;704
049;Bacteriele en tuberculeuze infecties van het zenuwstelsel;Medisch;01;Daghosp.;11
050;Niet bacteriele infecties van het zenuwstelsel behalve virale meningitis;Medisch;01;Klass. hosp;748
050;Niet bacteriele infecties van het zenuwstelsel behalve virale meningitis;Medisch;01;Daghosp.;58
051;Virale meningitis;Medisch;01;Klass. hosp;1464
051;Virale meningitis;Medisch;01;Daghosp.;1
052;Niet-traumatische stupor en coma;Medisch;01;Klass. hosp;2871
052;Niet-traumatische stupor en coma;Medisch;01;Daghosp.;43
053;Epileptisch insult;Medisch;01;Klass. hosp;15962
053;Epileptisch insult;Medisch;01;Daghosp.;323
054;Migraine en andere hoofdpijn;Medisch;01;Klass. hosp;6376
054;Migraine en andere hoofdpijn;Medisch;01;Daghosp.;474
055;Hoofdtrauma met coma > 1 uur of met hemorragie;Medisch;01;Klass. hosp;2959
055;Hoofdtrauma met coma > 1 uur of met hemorragie;Medisch;01;Daghosp.;16
056;Cerebrale contusie/laceratie en gecompliceerde schedelbreuk, met coma < 1 uur of zonder coma;Medisch;01;Klass. hosp;894
056;Cerebrale contusie/laceratie en gecompliceerde schedelbreuk, met coma < 1 uur of zonder coma;Medisch;01;Daghosp.;5
057;Hersenschudding, gesloten schedelbreuk niet anders gespecificeerd, niet gecompliceerd intracraniaal letsel, coma < 1 uur of geen coma;Medisch;01;Klass. hosp;9771
057;Hersenschudding, gesloten schedelbreuk niet anders gespecificeerd, niet gecompliceerd intracraniaal letsel, coma < 1 uur of geen coma;Medisch;01;Daghosp.;42
058;Andere stoornissen van het zenuwstelsel;Medisch;01;Klass. hosp;16654
058;Andere stoornissen van het zenuwstelsel;Medisch;01;Daghosp.;1364
070;Procedures op de orbita;Chirurgisch;02;Klass. hosp;579
070;Procedures op de orbita;Chirurgisch;02;Daghosp.;150
073;Procedures op het oog behalve op de orbita;Chirurgisch;02;Klass. hosp;11805
073;Procedures op het oog behalve op de orbita;Chirurgisch;02;Daghosp.;135250
080;Acute majeure ooginfecties;Medisch;02;Klass. hosp;707
080;Acute majeure ooginfecties;Medisch;02;Daghosp.;7
082;Oogstoornissen behalve majeure infecties;Medisch;02;Klass. hosp;2842
082;Oogstoornissen behalve majeure infecties;Medisch;02;Daghosp.;1920
089;Majeure procedures op aangezichts- en schedelbeenderen;Chirurgisch;03;Klass. hosp;1758
089;Majeure procedures op aangezichts- en schedelbeenderen;Chirurgisch;03;Daghosp.;455
090;Majeure procedures op larynx en trachea;Chirurgisch;03;Klass. hosp;270
090;Majeure procedures op larynx en trachea;Chirurgisch;03;Daghosp.;8
091;Andere majeure procedures op hoofd en hals;Chirurgisch;03;Klass. hosp;654
091;Andere majeure procedures op hoofd en hals;Chirurgisch;03;Daghosp.;225
092;Procedures op aangezichtsbeenderen, behalve majeure procedures op aangezichts- en schedelbeenderen;Chirurgisch;03;Klass. hosp;3527
092;Procedures op aangezichtsbeenderen, behalve majeure procedures op aangezichts- en schedelbeenderen;Chirurgisch;03;Daghosp.;9653
093;Procedures op sinussen en mastoïd;Chirurgisch;03;Klass. hosp;6595
093;Procedures op sinussen en mastoïd;Chirurgisch;03;Daghosp.;4972
095;Palatoplastie en herstel van hazelip;Chirurgisch;03;Klass. hosp;881
095;Palatoplastie en herstel van hazelip;Chirurgisch;03;Daghosp.;350
097;Procedures op tonsillen en adenoïden;Chirurgisch;03;Klass. hosp;7763
097;Procedures op tonsillen en adenoïden;Chirurgisch;03;Daghosp.;34816
098;Andere procedures op oren, neus, mond en keel;Chirurgisch;03;Klass. hosp;14729
098;Andere procedures op oren, neus, mond en keel;Chirurgisch;03;Daghosp.;72481
110;Maligne aandoeningen van oren, neus, mond, keel, schedel/aangezicht;Medisch;03;Klass. hosp;1967
110;Maligne aandoeningen van oren, neus, mond, keel, schedel/aangezicht;Medisch;03;Daghosp.;1563
111;Vertigo en andere labyrinthstoornissen;Medisch;03;Klass. hosp;5219
111;Vertigo en andere labyrinthstoornissen;Medisch;03;Daghosp.;41
113;Infecties bovenste luchtwegen;Medisch;03;Klass. hosp;17323
113;Infecties bovenste luchtwegen;Medisch;03;Daghosp.;909
114;Dentale en orale ziekten en letsels;Medisch;03;Klass. hosp;4207
114;Dentale en orale ziekten en letsels;Medisch;03;Daghosp.;95265
115;Andere diagnosen van oren, neus, mond, keel en schedel/aangezicht;Medisch;03;Klass. hosp;47137
115;Andere diagnosen van oren, neus, mond, keel en schedel/aangezicht;Medisch;03;Daghosp.;6149
120;Majeure thoracale en respiratoire procedures;Chirurgisch;04;Klass. hosp;2482
120;Majeure thoracale en respiratoire procedures;Chirurgisch;04;Daghosp.;11
121;Andere respiratoire en thoracale procedures;Chirurgisch;04;Klass. hosp;4413
121;Andere respiratoire en thoracale procedures;Chirurgisch;04;Daghosp.;379
130;Diagnose van het respiratoire stelsel met kunstmatige beademing 96+ uur;Medisch;04;Klass. hosp;1461
131;Mucoviscidose (cystic fibrosis) - longziekte;Medisch;04;Klass. hosp;793
131;Mucoviscidose (cystic fibrosis) - longziekte;Medisch;04;Daghosp.;18
132;Bronchopulmonale dysplasie en andere chronische respiratoire ziekten ontstaan in de perinatale periode;Medisch;04;Klass. hosp;119
133;Longoedeem en respiratoire insufficiëntie;Medisch;04;Klass. hosp;1226
133;Longoedeem en respiratoire insufficiëntie;Medisch;04;Daghosp.;12
134;Longembolie;Medisch;04;Klass. hosp;5325
134;Longembolie;Medisch;04;Daghosp.;18
135;Majeur thoracaal en respiratoir trauma;Medisch;04;Klass. hosp;3011
135;Majeur thoracaal en respiratoir trauma;Medisch;04;Daghosp.;11
136;Maligne respiratoire aandoening;Medisch;04;Klass. hosp;8789
136;Maligne respiratoire aandoening;Medisch;04;Daghosp.;4740
137;Majeure respiratoire infecties en inflammaties;Medisch;04;Klass. hosp;7461
137;Majeure respiratoire infecties en inflammaties;Medisch;04;Daghosp.;150
138;Bronchiolitis en RSV pneumonie;Medisch;04;Klass. hosp;10673
138;Bronchiolitis en RSV pneumonie;Medisch;04;Daghosp.;25
139;Andere pneumonie;Medisch;04;Klass. hosp;32901
