code;description;médical_ou_chirurgical;mdc;type_d_hospitalisation;nombre_de_séjours
001;Transplantation hépatique;Chirurgical;p1;Classique;233
002;Transplantation du cœur et/ou du poumon;Chirurgical;p4;Classique;153
003;Transplantation de moelle osseuse;Chirurgical;p2;Classique;793
003;Transplantation de moelle osseuse;Chirurgical;p2;De jour;4
004;Trachéostomie excepté pour affections de la face, de la bouche et du cou;Chirurgical;p3;Classique;2575
004;Trachéostomie excepté pour affections de la face, de la bouche et du cou;Chirurgical;p3;De jour;4
005;Trachéostomie pour affections de la face, de la bouche et du cou;Chirurgical;p3;Classique;470
020;Craniotomie pour traumatisme;Chirurgical;01;Classique;876
020;Craniotomie pour traumatisme;Chirurgical;01;De jour;4
021;Craniotomie excepté pour traumatisme;Chirurgical;01;Classique;4627
021;Craniotomie excepté pour traumatisme;Chirurgical;01;De jour;24
022;Interventions sur shunt ventriculaire;Chirurgical;01;Classique;702
022;Interventions sur shunt ventriculaire;Chirurgical;01;De jour;4
023;Interventions sur la colonne vertébrale et la moelle épinière;Chirurgical;01;Classique;1526
023;Interventions sur la colonne vertébrale et la moelle épinière;Chirurgical;01;De jour;79
024;Interventions vasculaires extracrâniennes;Chirurgical;01;Classique;4311
024;Interventions vasculaires extracrâniennes;Chirurgical;01;De jour;34
025;Interventions sur le système nerveux pour affections des nerfs périphériques;Chirurgical;01;Classique;2830
025;Interventions sur le système nerveux pour affections des nerfs périphériques;Chirurgical;01;De jour;31077
026;Interventions sur le système nerveux pour affections des nerfs crâniens et autres affections du système nerveux;Chirurgical;01;Classique;1717
026;Interventions sur le système nerveux pour affections des nerfs crâniens et autres affections du système nerveux;Chirurgical;01;De jour;242
040;Affections et traumatismes de la colonne vertébrale et de la moelle épinière;Médical;01;Classique;612
040;Affections et traumatismes de la colonne vertébrale et de la moelle épinière;Médical;01;De jour;592
041;Néoplasmes du système nerveux;Médical;01;Classique;3261
041;Néoplasmes du système nerveux;Médical;01;De jour;199
042;Maladies dégénératives du système nerveux;Médical;01;Classique;13163
042;Maladies dégénératives du système nerveux;Médical;01;De jour;150
043;Sclérose en plaques et ataxie cérébelleuse;Médical;01;Classique;2913
043;Sclérose en plaques et ataxie cérébelleuse;Médical;01;De jour;413
044;Hémorragie intracrânienne;Médical;01;Classique;3271
044;Hémorragie intracrânienne;Médical;01;De jour;35
045;Accident vasculaire cérébral avec infarctus;Médical;01;Classique;15308
045;Accident vasculaire cérébral avec infarctus;Médical;01;De jour;10
046;Accident vasculaire non spécifique avec occlusion précérébrale sans infarctus;Médical;01;Classique;1697
046;Accident vasculaire non spécifique avec occlusion précérébrale sans infarctus;Médical;01;De jour;205
047;Accident ischémique transitoire;Médical;01;Classique;7655
047;Accident ischémique transitoire;Médical;01;De jour;88
048;Affections des nerfs crâniens et périphériques;Médical;01;Classique;5175
048;Affections des nerfs crâniens et périphériques;Médical;01;De jour;9237
049;Infection bactérienne et tuberculeuse du système nerveux;Médical;01;Classique;747
049;Infection bactérienne et tuberculeuse du système nerveux;Médical;01;De jour;15
050;Infection du système nerveux, excepté méningite virale;Médical;01;Classique;758
050;Infection du système nerveux, excepté méningite virale;Médical;01;De jour;107
051;Méningite virale;Médical;01;Classique;923
052;Comas et états stuporeux non traumatiques;Médical;01;Classique;2506
052;Comas et états stuporeux non traumatiques;Médical;01;De jour;35
053;Attaque;Médical;01;Classique;15372
053;Attaque;Médical;01;De jour;277
054;Migraine et autres céphalées;Médical;01;Classique;5262
054;Migraine et autres céphalées;Médical;01;De jour;457
055;Traumatisme crânien avec coma > 1 heure ou hémorragie;Médical;01;Classique;2474
055;Traumatisme crânien avec coma > 1 heure ou hémorragie;Médical;01;De jour;13
056;Fracture du crâne et traumatisme intracrânien spécifié, avec coma < 1 heure ou sans coma;Médical;01;Classique;1635
056;Fracture du crâne et traumatisme intracrânien spécifié, avec coma < 1 heure ou sans coma;Médical;01;De jour;11
057;Commotion et traumatisme intracrânien non spécifié, avec coma < 1 heure ou sans coma;Médical;01;Classique;10147
057;Commotion et traumatisme intracrânien non spécifié, avec coma < 1 heure ou sans coma;Médical;01;De jour;11
058;Autres affections du système nerveux;Médical;01;Classique;30525
058;Autres affections du système nerveux;Médical;01;De jour;1292
070;Interventions sur l'orbite;Chirurgical;02;Classique;547
070;Interventions sur l'orbite;Chirurgical;02;De jour;124
071;Interventions intraoculaires excepté cristallin;Chirurgical;02;Classique;6067
071;Interventions intraoculaires excepté cristallin;Chirurgical;02;De jour;3005
072;Interventions extra-oculaires excepté sur l'orbite;Chirurgical;02;Classique;2223
072;Interventions extra-oculaires excepté sur l'orbite;Chirurgical;02;De jour;16902
073;Interventions sur le cristallin avec ou sans vitrectomie;Chirurgical;02;Classique;5142
073;Interventions sur le cristallin avec ou sans vitrectomie;Chirurgical;02;De jour;93015
080;Infections majeures de l'œil;Médical;02;Classique;416
080;Infections majeures de l'œil;Médical;02;De jour;1
081;Affections neurologiques de l'œil;Médical;02;Classique;829
081;Affections neurologiques de l'œil;Médical;02;De jour;75
082;Autres affections oculaires;Médical;02;Classique;2352
082;Autres affections oculaires;Médical;02;De jour;1885
090;Interventions majeures sur le larynx et la trachée, excepté trachéostomie;Chirurgical;03;Classique;327
090;Interventions majeures sur le larynx et la trachée, excepté trachéostomie;Chirurgical;03;De jour;56
091;Autres interventions majeures au niveau tête et cou;Chirurgical;03;Classique;663
091;Autres interventions majeures au niveau tête et cou;Chirurgical;03;De jour;694
092;Interventions sur la façade, excepté interventions majeures au niveau tête et cou;Chirurgical;03;Classique;4025
092;Interventions sur la façade, excepté interventions majeures au niveau tête et cou;Chirurgical;03;De jour;2378
093;Interventions sur sinus et mastoïde;Chirurgical;03;Classique;7019
093;Interventions sur sinus et mastoïde;Chirurgical;03;De jour;4146
094;Interventions sur la bouche;Chirurgical;03;Classique;1830
094;Interventions sur la bouche;Chirurgical;03;De jour;28515
095;Palatoplastie et réparation de fente labiale et palatine;Chirurgical;03;Classique;725
095;Palatoplastie et réparation de fente labiale et palatine;Chirurgical;03;De jour;259
096;Interventions sur glande salivaire et sialoadénectomie;Chirurgical;03;Classique;1021
096;Interventions sur glande salivaire et sialoadénectomie;Chirurgical;03;De jour;357
097;Adenoïdectomie et amygdalectomie;Chirurgical;03;Classique;8438
097;Adenoïdectomie et amygdalectomie;Chirurgical;03;De jour;34867
098;Autres interventions sur oreille, nez, bouche, gorge;Chirurgical;03;Classique;13887
098;Autres interventions sur oreille, nez, bouche, gorge;Chirurgical;03;De jour;28040
110;Affections malignes d'oreille, nez, bouche, gorge;Médical;03;Classique;2119
110;Affections malignes d'oreille, nez, bouche, gorge;Médical;03;De jour;1129
111;Troubles de l'équilibre;Médical;03;Classique;4881
111;Troubles de l'équilibre;Médical;03;De jour;46
112;Épistaxis;Médical;03;Classique;1117
112;Épistaxis;Médical;03;De jour;215
113;Épiglottite, otite moyenne, infection des voies respiratoires supérieures et laryngotrachéite;Médical;03;Classique;13907
113;Épiglottite, otite moyenne, infection des voies respiratoires supérieures et laryngotrachéite;Médical;03;De jour;987
114;Pathologies dentaires et buccales;Médical;03;Classique;4590
114;Pathologies dentaires et buccales;Médical;03;De jour;83841
115;Autres affections d'oreille, nez, bouche, gorge;Médical;03;Classique;6495
115;Autres affections d'oreille, nez, bouche, gorge;Médical;03;De jour;4981
120;Interventions majeures sur système respiratoire;Chirurgical;04;Classique;1872
120;Interventions majeures sur système respiratoire;Chirurgical;04;De jour;11
121;Interventions non majeures sur système respiratoire;Chirurgical;04;Classique;4137
121;Interventions non majeures sur système respiratoire;Chirurgical;04;De jour;672
122;Autres interventions sur système respiratoire;Chirurgical;04;Classique;675
122;Autres interventions sur système respiratoire;Chirurgical;04;De jour;277
130;Maladies du système respiratoire avec assistance ventilatoire pendant + de 96 heures;Médical;04;Classique;1826
131;Mucoviscidose;Médical;04;Classique;797
131;Mucoviscidose;Médical;04;De jour;16
132;Dysplasie broncho-pulmonaire et autres maladies respiratoires chroniques durant période périnatale;Médical;04;Classique;93
133;Œdème pulmonaire et insuffisance respiratoire;Médical;04;Classique;2209
133;Œdème pulmonaire et insuffisance respiratoire;Médical;04;De jour;30
134;Embolie pulmonaire;Médical;04;Classique;4779
134;Embolie pulmonaire;Médical;04;De jour;18
135;Traumatisme majeur du thorax;Médical;04;Classique;1890
135;Traumatisme majeur du thorax;Médical;04;De jour;7
136;Affections malignes du système respiratoire;Médical;04;Classique;9801
136;Affections malignes du système respiratoire;Médical;04;De jour;3654
137;Inflammations et infections du système respiratoire;Médical;04;Classique;7570
137;Inflammations et infections du système respiratoire;Médical;04;De jour;198
138;Pneumonie à virus respiratoire syncytial avec toux quinteuse;Médical;04;Classique;676
138;Pneumonie à virus respiratoire syncytial avec toux quinteuse;Médical;04;De jour;1
139;Pneumonie simple;Médical;04;Classique;32637
139;Pneumonie simple;Médical;04;De jour;264
140;Maladie pulmonaire obstructive chronique;Médical;04;Classique;25901
140;Maladie pulmonaire obstructive chronique;Médical;04;De jour;991
141;Bronchiolite et asthme;Médical;04;Classique;15626
141;Bronchiolite et asthme;Médical;04;De jour;443
142;Maladie pulmonaire interstitielle;Médical;04;Classique;1481
142;Maladie pulmonaire interstitielle;Médical;04;De jour;438
143;Pneumothorax, avec épanchement pleural;Médical;04;Classique;3527
143;Pneumothorax, avec épanchement pleural;Médical;04;De jour;89
144;Autres diagnostics, signes et symptômes du système respiratoire;Médical;04;Classique;25650
144;Autres diagnostics, signes et symptômes du système respiratoire;Médical;04;De jour;2569
160;Réparation majeure d'anomalie cardiaque par voie thoracique;Chirurgical;05;Classique;217
161;Implantation d'un défibrillateur cardiaque;Chirurgical;05;Classique;1164
161;Implantation d'un défibrillateur cardiaque;Chirurgical;05;De jour;12
162;Interventions sur valve cardiaque, avec cathétérisme cardiaque;Chirurgical;05;Classique;905
163;Interventions sur valve cardiaque, sans cathétérisme cardiaque;Chirurgical;05;Classique;3226
164;Pontage coronaire avec complication mécanique du pontage coronaire greffé;Chirurgical;05;Classique;1
165;Pontage coronaire sans complication mécanique, avec cathétérisme cardiaque;Chirurgical;05;Classique;2309
166;Pontage coronaire sans complication mécanique, sans cathétérisme cardiaque;Chirurgical;05;Classique;3872
167;Autres interventions cardiaques;Chirurgical;05;Classique;1068
167;Autres interventions cardiaques;Chirurgical;05;De jour;6
168;Interventions vasculaires thoraciques majeures;Chirurgical;05;Classique;3726
168;Interventions vasculaires thoraciques majeures;Chirurgical;05;De jour;57
169;Interventions majeures sur les vaisseaux abdominaux;Chirurgical;05;Classique;858
169;Interventions majeures sur les vaisseaux abdominaux;Chirurgical;05;De jour;4
170;Insertion pacemaker permanent avec infarctus aigu du myocarde, décompensation cardiaque ou choc;Chirurgical;05;Classique;483
171;Insertion pacemaker sans infarctus aigu du myocarde, décompensation cardiaque ou choc;Chirurgical;05;Classique;7059
171;Insertion pacemaker sans infarctus aigu du myocarde, décompensation cardiaque ou choc;Chirurgical;05;De jour;56
172;Amputation pour pathologie circulatoire excepté membre supérieur et orteil;Chirurgical;05;Classique;929
