région;drg_36;libellé_drg;mdc_36;type_de_drg;hospitalisation_classique;hospitalisation_de_jour
Région flamande;001;001 Transplantation hépatique et/ou intestinale;PP;Chirurgical;113;0
Région flamande;002;002 Transplantation cardiaque et/ou pulmonaire;PP;Chirurgical;88;0
Région flamande;004;004 ECMO ou trachéostomie avec ventilation mécanique de longue durée et procédure extensive;PP;Chirurgical;520;0
Région flamande;005;005 Trachéostomie avec ventilation mécanique de longue durée sans procédure extensive;PP;Chirurgical;548;0
Région flamande;006;006 Transplantation du pancréas;PP;Chirurgical;< 5;0
Région flamande;007;007 Transplantation de la moelle osseuse allogénique;PP;Chirurgical;250;< 5
Région flamande;008;008 Transplantation de la moelle osseuse autologue;PP;Chirurgical;338;< 5
Région flamande;009;009 Oxygénation corporelle par membrane (ECMO);PP;Chirurgical;25;0
Région flamande;010;010 Traumatisme crânien avec coma profond;PP;Médical;23;0
Région flamande;020;020 Craniotomie pour traumatisme;01;Chirurgical;429;< 5
Région flamande;021;021 Craniotomie excepté pour traumatisme;01;Chirurgical;2 722;16
Région flamande;022;022 Procédures sur le pontage ventriculaire;01;Chirurgical;283;< 5
Région flamande;023;023 Procédures sur la colonne vertébrale et la moelle épinière;01;Chirurgical;695;64
Région flamande;024;024 Procédures vasculaires extracrâniennes;01;Chirurgical;2 792;76
Région flamande;026;026 Autres procédures sur le système nerveux et procédures associées;01;Chirurgical;1 383;18 191
Région flamande;040;040 Troubles et traumatismes de la colonne vertebrale et de la moelle épiniere;01;Médical;230;55
Région flamande;041;041 Affection maligne du système nerveux;01;Médical;1 626;313
Région flamande;042;042 Troubles dégenératifs du système nerveux excepté la sclérose en plaques;01;Médical;8 513;200
Région flamande;043;043 Sclérose en plaques et autres maladies démyélinisantes;01;Médical;1 818;196
Région flamande;044;044 Hémorragie intracrânienne;01;Médical;1 898;20
Région flamande;045;045 AVC et occlusion précérébrale avec infarctus;01;Médical;9 040;34
Région flamande;046;046 AVC non spécifique et occlusion précérébrale sans infarctus;01;Médical;260;52
Région flamande;047;047 Ischémie cérébrale transitoire (TIA);01;Médical;4 489;19
Région flamande;048;048 Troubles des nerfs crâniens, périphériques et autonomes;01;Médical;1 936;1 566
Région flamande;049;049 Infections bactériennes et tuberculeuses du système nerveux;01;Médical;313;< 5
Région flamande;050;050 Infections non-bactériennes du système nerveux, excepté la méningite virale;01;Médical;509;60
Région flamande;051;051 Méningite virale;01;Médical;274;< 5
Région flamande;052;052 Altération de la conscience;01;Médical;1 460;24
Région flamande;053;053 Crise épileptique;01;Médical;8 435;167
Région flamande;054;054 Migraine et autres céphalées;01;Médical;3 304;145
Région flamande;055;055 Traumatisme crânien avec coma > 1 heure ou avec hémorragie;01;Médical;1 940;13
Région flamande;056;056 Contusion/lacération cérébrale et fracture du crâne compliquée, coma < 1heure ou sans coma;01;Médical;162;< 5
Région flamande;057;057 Contusion, fract. du crâne fermée non spéc., traumatisme intracrân. non compl., coma < 1hr ou sans coma;01;Médical;5 011;28
Région flamande;058;058 Autres troubles du système nerveux;01;Médical;8 607;980
Région flamande;059;059 Lésions cérébrales graves, autres et anoxiques;01;Médical;69;8
Région flamande;073;073 Procédures sur l'oeil et sur l'orbite;02;Chirurgical;4 419;70 885
Région flamande;082;082 Infections oculaires et autres troubles oculaires;02;Médical;2 218;2 175
Région flamande;089;089 Procédures majeures sur les os de la face et du crâne;03;Chirurgical;1 067;20 842
Région flamande;091;091 Autres procédures majeures sur la tête et le cou;03;Chirurgical;555;78
Région flamande;092;092 Procédures sur les os de la face, excepté procédures majeures sur les os du crâne/de la face;03;Chirurgical;3 183;18 578
Région flamande;095;095 Réparation de la fente labiale et la fente palatine;03;Chirurgical;76;28
Région flamande;097;097 Procédures sur les amygdales et les végétations;03;Chirurgical;2 591;9 417
Région flamande;098;098 Autres procédures sur l'oreille, le nez, la bouche et la gorge;03;Chirurgical;7 323;19 338
Région flamande;110;110 Affections malignes de l'oreille, le nez, la bouche, la gorge, le crâne/la face;03;Médical;622;999
Région flamande;111;111 Vertige et autres troubles labyrinthiques;03;Médical;3 549;82
