gewest;drg_34;drg_beschrijving;mdc_34;soort_diagnose;klassieke_hospitalisatie;daghospitalisatie
Vlaams Gewest;1;Lever- en/of darmtransplantatie;PP;Chirurgisch;120;0
Vlaams Gewest;2;Hart- en/of longtransplantatie;PP;Chirurgisch;118;0
Vlaams Gewest;3;Beenmergtransplantatie;PP;Chirurgisch;619;< 5
Vlaams Gewest;4;Extracorporele membraanoxygenatie of tracheostomie met langdurige mechanische ventilatie met extensieve procedure;PP;Chirurgisch;851;< 5
Vlaams Gewest;5;Tracheostomie met langdurige mechanische ventilatie zonder extensieve procedure;PP;Chirurgisch;198;0
Vlaams Gewest;6;Pancreastransplantatie;PP;Chirurgisch;6;0
Vlaams Gewest;20;Craniotomie voor trauma;1;Chirurgisch;394;< 5
Vlaams Gewest;21;Craniotomie behalve voor trauma;1;Chirurgisch;2816;19
Vlaams Gewest;22;Procedures op een ventriculaire shunt;1;Chirurgisch;298;< 5
Vlaams Gewest;23;Spinale procedures;1;Chirurgisch;970;78
Vlaams Gewest;24;Extracraniale vasculaire procedures;1;Chirurgisch;3090;61
Vlaams Gewest;26;Andere procedures op het zenuwstelsel en gerelateerde procedures;1;Chirurgisch;1773;22143
Vlaams Gewest;40;Spinale stoornissen en letsels;1;Medisch;271;50
Vlaams Gewest;41;Maligniteit van het zenuwstelsel;1;Medisch;1850;243
Vlaams Gewest;42;Degeneratieve stoornissen van het zenuwstelsel met uitzondering van multipele sclerose;1;Medisch;7350;142
Vlaams Gewest;43;Multipele sclerose en andere demyeliniserende ziekten;1;Medisch;2204;189
Vlaams Gewest;44;Intracraniële hemorragie;1;Medisch;1877;27
Vlaams Gewest;45;CVA en precerebrale occlusie met infarct;1;Medisch;9354;18
Vlaams Gewest;46;Niet specifieke CVA en precerebrale occlusie zonder infarct;1;Medisch;297;58
Vlaams Gewest;47;Transitoire cerebrale ischemie (TIA);1;Medisch;5140;10
Vlaams Gewest;48;Stoornissen van de perifere, craniale en autonome zenuwen;1;Medisch;2561;1630
Vlaams Gewest;49;Bacteriële en tuberculeuze infecties van het zenuwstelsel;1;Medisch;379;< 5
Vlaams Gewest;50;Niet bacteriële infecties van het zenuwstelsel behalve virale meningitis;1;Medisch;617;50
Vlaams Gewest;51;Virale meningitis;1;Medisch;647;< 5
Vlaams Gewest;52;Niet-traumatische stupor en coma;1;Medisch;1718;18
Vlaams Gewest;53;Epileptisch insult;1;Medisch;9549;186
Vlaams Gewest;54;Migraine en andere hoofdpijn;1;Medisch;4600;186
Vlaams Gewest;55;Hoofdtrauma met coma > 1 uur of met hemorragie;1;Medisch;2171;10
Vlaams Gewest;56;Cerebrale contusie/laceratie en gecompliceerde schedelbreuk, met coma < 1 uur of zonder coma;1;Medisch;198;< 5
Vlaams Gewest;57;Hersenschudding, gesloten schedelbreuk niet anders gespecificeerd, niet gecompliceerd intracraniaal letsel, coma < 1 uur of geen coma;1;Medisch;5401;29
Vlaams Gewest;58;Andere stoornissen van het zenuwstelsel;1;Medisch;10255;1071
Vlaams Gewest;70;Procedures op de orbita;2;Chirurgisch;279;118
Vlaams Gewest;73;Procedures op het oog behalve op de orbita;2;Chirurgisch;6325;90347
Vlaams Gewest;80;Acute majeure ooginfecties;2;Medisch;408;13
Vlaams Gewest;82;Oogstoornissen behalve majeure infecties;2;Medisch;1674;2130
Vlaams Gewest;89;Majeure procedures op aangezichts- en schedelbeenderen;3;Chirurgisch;1296;24124
Vlaams Gewest;90;Majeure procedures op larynx en trachea;3;Chirurgisch;141;88
Vlaams Gewest;91;Andere majeure procedures op hoofd en hals;3;Chirurgisch;446;35
Vlaams Gewest;92;Procedures op aangezichtsbeenderen, behalve majeure procedures op aangezichts- en schedelbeenderen;3;Chirurgisch;3928;22509
Vlaams Gewest;93;Procedures op sinussen en mastoïd;3;Chirurgisch;3091;3023
Vlaams Gewest;95;Palatoplastie en herstel van hazelip;3;Chirurgisch;70;17
Vlaams Gewest;97;Procedures op tonsillen en adenoïden;3;Chirurgisch;4709;17365
Vlaams Gewest;98;Andere procedures op oren, neus, mond en keel;3;Chirurgisch;7523;29176
Vlaams Gewest;110;Maligne aandoeningen van oren, neus, mond, keel, schedel/aangezicht;3;Medisch;664;826
Vlaams Gewest;111;Vertigo en andere labyrintstoornissen;3;Medisch;4400;28
Vlaams Gewest;113;Infecties bovenste luchtwegen;3;Medisch;15278;572
Vlaams Gewest;114;Dentale en orale ziekten en letsels;3;Medisch;2530;90829
Vlaams Gewest;115;Andere diagnosen van oren, neus, mond, keel en schedel/aangezicht;3;Medisch;34637;5632
Vlaams Gewest;120;Majeure thoracale en respiratoire procedures;4;Chirurgisch;2131;121
Vlaams Gewest;121;Andere respiratoire en thoracale procedures;4;Chirurgisch;2127;244
Vlaams Gewest;130;Diagnose van het respiratoire stelsel met kunstmatige beademing 96+ uur;4;Medisch;402;0
Vlaams Gewest;131;Mucoviscidose (cystic fibrosis) - longziekte;4;Medisch;521;25
Vlaams Gewest;132;Bronchopulmonale dysplasie en andere chronische respiratoire ziekten ontstaan in de perinatale periode;4;Medisch;77;< 5
Vlaams Gewest;133;Respiratoire insufficiëntie;4;Medisch;531;< 5
Vlaams Gewest;134;Longembolie;4;Medisch;2985;14
Vlaams Gewest;135;Majeur thoracaal en respiratoir trauma;4;Medisch;2484;10
Vlaams Gewest;136;Maligne respiratoire aandoening;4;Medisch;4563;3142
Vlaams Gewest;137;Majeure respiratoire infecties en inflammaties;4;Medisch;4495;143
Vlaams Gewest;138;Bronchiolitis en respiratoir syncytiaal virus (RSV) pneumonie;4;Medisch;7814;23
Vlaams Gewest;139;Andere pneumonie;4;Medisch;19660;97
Vlaams Gewest;140;Chronische obstructieve longaandoeningen;4;Medisch;17708;442
Vlaams Gewest;141;Astma;4;Medisch;2741;70
Vlaams Gewest;142;Interstitiële en alveolaire longziekte;4;Medisch;1074;254
Vlaams Gewest;143;Andere respiratoire diagnosen behalve tekens, symptomen en mineure diagnosen;4;Medisch;2706;666
Vlaams Gewest;144;Respiratoire tekens, symptomen en mineure diagnosen;4;Medisch;13806;2844
Vlaams Gewest;160;Majeur cardiothoracaal herstel van hartanomalie;5;Chirurgisch;50;0
Vlaams Gewest;161;Inplantatie van hartdefibrillator en hartassistentiesyteem;5;Chirurgisch;1205;10
Vlaams Gewest;162;Procedures op hartkleppen met acuut myocardinfarct of complexe hoofddiagnose;5;Chirurgisch;343;0
Vlaams Gewest;163;Procedures op hartkleppen zonder acuut myocardinfarct of complexe hoofddiagnose;5;Chirurgisch;2002;0
Vlaams Gewest;165;Coronaire overbrugging met acuut myocardinfarct of complexe hoofddiagnose;5;Chirurgisch;547;< 5
